;C1;C12;C13;C14;C16;C18;C2;C4;C7;C8;C9
fichier bn:00021475n;0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 
client bn:00019764n;1; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 
base de donnée bn:00025333n;0; 1; 0; 0; 1; 0; 0; 1; 1; 0; 0; 
donnée bn:00025314n;0; 1; 0; 0; 1; 0; 1; 1; 1; 0; 0; 
php bn:01753580n;0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 
délimiter bn:00086464v;0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 
nombre bn:00058285n;0; 1; 0; 1; 0; 0; 0; 1; 1; 1; 0; 
text bn:14981519n;1; 1; 0; 0; 1; 1; 1; 1; 0; 0; 0; 
zones bn:00005513n;0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 
passwd bn:14874750n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
mysql bn:01225760n;0; 1; 1; 1; 0; 0; 0; 1; 0; 0; 0; 
salaire bn:15928884n;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
site bn:00047172n;1; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 
programmation web bn:03446093n;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
session bn:03751534n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
chaîne bn:00074685n;0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 
script bn:01431715n;0; 0; 1; 1; 1; 0; 1; 0; 0; 0; 0; 
serveur bn:00044916n;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
type bn:00016413n;0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 
classes bn:03608262n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
fonctionnalité bn:00036836n;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
header bn:00043309n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
sauvegarder bn:00093281v;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
web bn:00080772n;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
positionnement bn:00030615n;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
exe bn:14503132n;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
head bn:02338897n;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
attribut bn:00007068n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
valeur bn:00079508n;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
moteur bn:00030850n;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
accéder bn:00082209v;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
