;C11;C15;C17;C19;C3;C5;C6;CJA
éducation bn:00026980n;1; 0; 0; 0; 0; 0; 1; 0; 
technologie bn:00005105n;1; 1; 0; 0; 0; 0; 0; 0; 
javascript bn:00055423n;1; 1; 1; 1; 1; 1; 1; 0; 
php bn:01753580n;1; 1; 1; 1; 1; 1; 1; 0; 
mysql bn:01225760n;1; 1; 1; 1; 1; 1; 1; 0; 
juin bn:00048592n;1; 1; 1; 0; 1; 1; 0; 0; 
secondaire bn:00096261a;1; 0; 0; 0; 0; 0; 0; 0; 
texte bn:00076732n;1; 1; 1; 1; 1; 1; 1; 1; 
fichier bn:00021475n;1; 1; 1; 1; 1; 1; 1; 1; 
bouton bn:03843242n;1; 1; 0; 1; 1; 0; 0; 0; 
simple bn:00110649a;1; 0; 0; 0; 0; 0; 0; 0; 
bouton radio bn:03157702n;1; 1; 0; 0; 0; 0; 1; 0; 
radio bn:00065899n;1; 1; 0; 1; 0; 0; 1; 0; 
bouton de réinitialisation bn:00067307n;1; 0; 0; 0; 0; 0; 0; 0; 
réinitialisation bn:00067306n;1; 0; 0; 0; 0; 0; 0; 0; 
case à cocher bn:03157691n;1; 1; 0; 0; 0; 0; 1; 0; 
cocher bn:00017986n;1; 0; 0; 0; 0; 0; 0; 0; 
données bn:00025314n;1; 1; 1; 1; 1; 1; 1; 1; 
elements bn:02258198n;1; 0; 0; 0; 0; 0; 0; 0; 
focus bn:03248918n;1; 0; 0; 1; 0; 0; 0; 0; 
fonction choix bn:00640192n;1; 0; 0; 0; 0; 0; 0; 0; 
localisation bn:03977550n;1; 0; 0; 0; 0; 0; 0; 0; 
types bn:00016413n;1; 1; 1; 1; 1; 1; 1; 1; 
authentification bn:03253409n;1; 0; 1; 0; 1; 1; 1; 0; 
session bn:03751534n;1; 1; 0; 1; 1; 1; 1; 0; 
base de donnees bn:00025333n;1; 1; 1; 1; 1; 1; 1; 1; 
entités bn:00031027n;1; 1; 1; 0; 1; 1; 1; 1; 
étrangères bn:00096774a;1; 0; 0; 0; 1; 0; 0; 0; 
gestion contenu bn:01533805n;1; 0; 0; 0; 0; 0; 0; 0; 
phpmyadmin bn:03382496n;1; 1; 1; 1; 1; 1; 0; 0; 
communication bn:00021221n;1; 0; 1; 0; 0; 1; 1; 1; 
bilan bn:00008060n;1; 0; 0; 0; 0; 0; 0; 0; 
enonce bn:00079416n;1; 0; 0; 0; 0; 0; 0; 0; 
schema bn:16884119n;1; 0; 0; 0; 0; 0; 0; 0; 
schema conceptuel bn:03558829n;1; 0; 0; 0; 0; 0; 0; 0; 
premier bn:00103006a;1; 1; 0; 1; 1; 0; 1; 1; 
logique bn:00051845n;1; 1; 1; 1; 1; 1; 1; 1; 
utilisabilité bn:02245863n;1; 0; 0; 0; 0; 0; 0; 0; 
site bn:00047172n;1; 1; 1; 1; 1; 1; 1; 1; 
client web bn:00013447n;1; 1; 1; 1; 1; 1; 1; 1; 
dépendant bn:00086606v;1; 1; 0; 0; 1; 0; 1; 1; 
interactifs bn:00105260a;1; 1; 0; 0; 0; 0; 0; 1; 
page web bn:00080778n;1; 1; 1; 1; 1; 1; 1; 1; 
déterminante bn:00101009a;1; 0; 0; 0; 0; 0; 0; 0; 
véhiculer bn:00085769v;1; 0; 0; 0; 0; 0; 0; 0; 
côté serveur bn:03816678n;1; 1; 1; 1; 1; 1; 1; 0; 
langage de script bn:01431715n;1; 1; 1; 1; 1; 1; 1; 0; 
illustrer bn:00087826v;1; 1; 0; 0; 0; 0; 0; 1; 
internet bn:00024712n;1; 1; 0; 1; 1; 1; 1; 1; 
juste bn:00114626r;1; 0; 1; 0; 1; 0; 0; 0; 
client serveur bn:03496583n;1; 1; 1; 1; 0; 1; 1; 0; 
nombre bn:00058285n;1; 1; 1; 1; 1; 1; 1; 1; 
avoir accès bn:00082209v;1; 1; 0; 0; 0; 0; 1; 0; 
cours en ligne bn:03617678n;1; 0; 0; 0; 0; 0; 0; 0; 
zones bn:00005513n;1; 0; 0; 0; 1; 0; 1; 0; 
concerner bn:00083240v;1; 1; 1; 1; 1; 1; 1; 1; 
python bn:01713224n;1; 0; 0; 1; 1; 1; 1; 0; 
moindre bn:00105825a;1; 1; 0; 0; 0; 0; 1; 0; 
perl bn:01723165n;1; 1; 1; 1; 1; 1; 0; 0; 
hit bn:00044278n;1; 0; 0; 0; 0; 0; 0; 0; 
système bn:15125301n;1; 1; 1; 1; 1; 1; 1; 1; 
système de gestion bn:01510781n;1; 1; 0; 0; 1; 1; 1; 0; 
système de gestion de base de donnée bn:14249264n;1; 1; 1; 0; 1; 0; 1; 0; 
sélectionner bn:00084931v;1; 1; 0; 0; 0; 0; 1; 1; 
post bn:01500184n;1; 1; 0; 1; 1; 1; 1; 1; 
méthode get bn:00045088n;1; 1; 1; 1; 1; 1; 1; 1; 
concaténer bn:00085508v;1; 0; 1; 1; 0; 0; 0; 0; 
url bn:00079080n;1; 1; 1; 1; 1; 1; 0; 1; 
sensibles bn:00104681a;1; 0; 1; 0; 1; 1; 1; 0; 
convient bn:00094581v;1; 1; 0; 0; 0; 0; 1; 1; 
circonstances bn:00019220n;1; 0; 0; 0; 0; 0; 0; 0; 
code bn:00020354n;1; 1; 1; 1; 1; 1; 1; 1; 
macromedia bn:01011718n;1; 0; 0; 0; 0; 0; 0; 0; 
macromedia dreamweaver bn:02545116n;1; 0; 0; 0; 0; 0; 0; 0; 
insertion bn:02234787n;1; 1; 1; 1; 1; 0; 0; 0; 
aller bn:00040833n;1; 0; 0; 1; 0; 0; 0; 0; 
zone de texte bn:03113401n;1; 1; 0; 1; 0; 0; 0; 0; 
webmail bn:03631242n;1; 0; 0; 0; 0; 0; 0; 0; 
valeur par défaut bn:03854990n;1; 1; 1; 0; 1; 1; 1; 0; 
finale bn:00102969a;1; 0; 0; 0; 1; 0; 0; 1; 
porter bn:00016278n;1; 0; 0; 0; 1; 0; 1; 1; 
rows bn:03611246n;1; 0; 0; 0; 0; 0; 1; 0; 
menu bn:00021485n;1; 0; 0; 1; 0; 1; 1; 0; 
