;C1.csv;C10.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
page web bn:00080778n;1; 0; 0; 0; 0; 0; 0; 
navigateur bn:00013447n;1; 1; 0; 0; 0; 0; 0; 
serveur web bn:02705179n;0; 1; 0; 0; 0; 0; 0; 
fichier bn:00021475n;0; 0; 1; 0; 0; 0; 0; 
donnée bn:00025314n;0; 1; 0; 0; 0; 1; 1; 
php bn:01753580n;0; 0; 0; 0; 0; 1; 0; 
code bn:00020354n;0; 0; 0; 0; 0; 1; 0; 
texte bn:00076732n;1; 0; 0; 0; 0; 0; 0; 
concerner bn:00083240v;1; 0; 0; 0; 0; 0; 0; 
commentaire bn:00020978n;0; 0; 1; 0; 0; 0; 0; 
délimiter bn:00086464v;1; 0; 1; 0; 0; 0; 0; 
fois bn:00032768n;0; 0; 0; 0; 0; 1; 0; 
url bn:00079080n;0; 0; 0; 0; 1; 0; 0; 
case à cocher bn:03157691n;0; 0; 1; 0; 0; 0; 0; 
post bn:01500184n;0; 0; 0; 0; 0; 1; 0; 
nombre bn:00058285n;1; 0; 1; 0; 0; 0; 1; 
text bn:14981519n;0; 0; 0; 0; 0; 1; 1; 
langage bn:00049910n;0; 0; 0; 0; 1; 0; 0; 
utilisateur bn:00079373n;1; 0; 0; 0; 0; 0; 0; 
case bn:04777941n;0; 0; 0; 0; 1; 0; 0; 
associer bn:00082868v;1; 0; 0; 0; 0; 0; 0; 
personne bn:00046516n;1; 0; 0; 0; 0; 0; 0; 
méthode post bn:00045088n;0; 1; 0; 1; 0; 0; 0; 
fermeture bn:16858148n;0; 0; 0; 0; 1; 0; 0; 
mysql bn:01225760n;1; 0; 0; 0; 0; 0; 0; 
salaire bn:15928884n;1; 0; 0; 0; 0; 0; 0; 
jour bn:00000086n;0; 0; 0; 0; 0; 1; 0; 
site bn:00047172n;0; 0; 0; 0; 0; 1; 0; 
chaîne bn:00074685n;0; 0; 0; 0; 1; 0; 0; 
header bn:00043309n;0; 0; 0; 0; 1; 0; 0; 
paris bn:00015540n;0; 0; 0; 0; 0; 1; 0; 
langage de script bn:01431715n;0; 0; 0; 1; 0; 0; 1; 
côté serveur bn:03816678n;0; 0; 1; 0; 0; 0; 0; 
type bn:00016413n;0; 0; 0; 0; 0; 0; 1; 
foreach bn:03463379n;0; 0; 0; 0; 0; 1; 0; 
cle bn:04756252n;0; 0; 0; 0; 0; 1; 0; 
serveur bn:00044916n;0; 0; 1; 0; 0; 0; 0; 
interpréter bn:00089840v;0; 0; 1; 0; 0; 0; 0; 
classes bn:03608262n;0; 0; 0; 0; 0; 1; 0; 
class bn:03598962n;0; 0; 0; 0; 0; 1; 0; 
mot bn:00081546n;0; 0; 0; 0; 0; 0; 1; 
méthode bn:01641329n;0; 1; 0; 0; 0; 0; 0; 
session bn:03751534n;0; 0; 0; 0; 1; 0; 0; 
visiteur bn:03106425n;0; 0; 0; 0; 0; 0; 1; 
afficher bn:00087013v;0; 0; 0; 0; 0; 0; 1; 
mysqli bn:01438356n;0; 0; 0; 0; 0; 1; 0; 
list bn:04720346n;0; 0; 0; 1; 0; 0; 0; 
