;C3.csv;C5.csv;C6.csv;CJA-automatic.csv
php bn:01753580n;0; 0; 0; 1; 
page bn:00060158n;0; 1; 1; 1; 
script bn:01431715n;0; 0; 0; 1; 
base bn:00008786n;0; 1; 1; 1; 
séparateur bn:03371342n;0; 1; 0; 1; 
bloc bn:03098513n;0; 0; 1; 0; 
commentaires bn:00020978n;0; 0; 1; 0; 
portée bn:03460088n;0; 1; 1; 1; 
booléens bn:00294693n;0; 1; 1; 0; 
supprimer bn:00087533v;0; 1; 1; 1; 
précédence bn:01410322n;0; 1; 1; 0; 
bits bn:00010731n;0; 0; 1; 0; 
comparaison bn:00021304n;0; 1; 1; 0; 
incrémentation bn:01936826n;0; 1; 1; 0; 
opérateur logiques bn:00051853n;0; 1; 0; 1; 
switch bn:01071927n;0; 1; 1; 0; 
valeur de retour bn:03828774n;0; 1; 0; 1; 
strftime bn:03338250n;0; 0; 1; 1; 
mysql bn:01225760n;0; 0; 0; 1; 
phpmyadmin bn:03382496n;0; 0; 1; 1; 
modifier bn:00003127n;0; 1; 1; 1; 
numériques bn:00107651a;0; 1; 1; 1; 
entiers bn:00047009n;0; 0; 1; 0; 
réels bn:00066395n;0; 1; 0; 0; 
enum bn:02324948n;0; 1; 1; 1; 
timestamp bn:03603649n;0; 0; 0; 1; 
time bn:03389905n;0; 0; 1; 1; 
sql bn:02266432n;0; 0; 0; 1; 
innodb bn:01067935n;0; 1; 1; 1; 
fulltext bn:00508617n;0; 1; 1; 1; 
séquence bn:00070574n;0; 1; 0; 0; 
fread bn:13825823n;0; 1; 1; 1; 
fichier par bn:03318531n;0; 1; 1; 1; 
sortie bn:01541423n;0; 1; 1; 0; 
sortie standard bn:01496506n;0; 0; 1; 1; 
ecriture bn:00081714n;0; 0; 1; 0; 
fin de fichier bn:02781064n;0; 1; 1; 1; 
fermer bn:00085170v;0; 1; 0; 1; 
système de fichiers bn:00034429n;0; 1; 1; 1; 
comparer bn:00085450v;0; 1; 1; 1; 
session bn:03751534n;0; 0; 0; 1; 
rectangle bn:00066608n;0; 1; 1; 1; 
polygones bn:00063423n;0; 1; 1; 1; 
programmation objet bn:00058448n;0; 0; 1; 0; 
opérateur bn:16281811n;0; 1; 1; 1; 
polymorphisme bn:01974384n;0; 1; 1; 0; 
self bn:03432485n;0; 0; 1; 1; 
destructeur bn:01558988n;0; 1; 1; 1; 
affectation bn:02806034n;0; 1; 0; 0; 
nouveauté bn:00049321n;0; 1; 1; 1; 
exceptions bn:00032118n;0; 1; 1; 0; 
côté serveur bn:03816678n;0; 0; 0; 1; 
inspirer bn:00084021v;0; 1; 1; 1; 
langage c bn:00014377n;0; 1; 1; 0; 
perl bn:01723165n;0; 0; 1; 1; 
rasmus lerdorf bn:03232211n;0; 0; 1; 1; 
site personnel bn:01605102n;0; 1; 1; 1; 
interpreter bn:00047204n;0; 1; 0; 1; 
personne bn:00046516n;0; 0; 0; 1; 
contributeurs bn:04850445n;0; 1; 1; 1; 
juin bn:00048592n;0; 0; 1; 1; 
zeev suraski bn:00571154n;0; 0; 1; 1; 
modulaire bn:00106842a;0; 0; 1; 1; 
extensible bn:00102618a;0; 1; 1; 1; 
supplémentaires bn:00111488a;0; 0; 0; 1; 
manquer bn:00090161v;0; 1; 0; 1; 
cohérente bn:00099970a;0; 1; 0; 0; 
zend bn:03133191n;0; 0; 1; 1; 
zend engine bn:01337536n;0; 0; 1; 1; 
mai bn:00053941n;0; 1; 1; 1; 
xml bn:02771436n;0; 0; 0; 1; 
forum bn:14251420n;0; 1; 1; 1; 
messagerie bn:00030257n;0; 1; 1; 1; 
commerce électronique bn:00029344n;0; 0; 1; 1; 
banque bn:00008364n;0; 1; 0; 1; 
publication en ligne bn:01180578n;0; 1; 1; 1; 
lamp bn:01708928n;0; 0; 1; 1; 
linux bn:00051427n;0; 0; 0; 1; 
incorporer bn:00089664v;0; 1; 1; 1; 
javascript bn:00055423n;0; 0; 0; 1; 
semblant bn:00045960n;0; 1; 1; 1; 
dédier bn:00085427v;0; 1; 1; 1; 
vitesse bn:00073258n;0; 1; 0; 1; 
côté bn:00110607a;0; 1; 1; 1; 
côté client bn:03163702n;0; 0; 0; 1; 
vbscript bn:02626435n;0; 1; 1; 1; 
