;C1.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
page web bn:00080778n;1; 0; 0; 0; 1; 0; 
page web statiques bn:03576307n;1; 0; 0; 0; 0; 0; 
navigateur bn:00013447n;0; 1; 1; 1; 1; 1; 
serveur web bn:02705179n;0; 1; 1; 0; 0; 1; 
fichier bn:00021475n;1; 0; 1; 1; 1; 0; 
disque dur bn:00073359n;1; 0; 0; 1; 0; 0; 
client bn:00019764n;0; 1; 0; 1; 1; 0; 
client serveur bn:03496583n;1; 0; 0; 0; 0; 1; 
base de donnée bn:00025333n;1; 0; 0; 0; 1; 1; 
donnée bn:00025314n;1; 1; 1; 1; 0; 0; 
ensemble bn:00114766r;1; 0; 0; 0; 0; 0; 
php bn:01753580n;1; 1; 1; 1; 0; 1; 
javascript bn:00055423n;1; 1; 1; 0; 0; 1; 
perl bn:01723165n;1; 0; 1; 0; 0; 1; 
python bn:01713224n;1; 0; 0; 0; 0; 0; 
java bn:00048043n;1; 1; 0; 1; 0; 0; 
code bn:00020354n;1; 1; 1; 1; 0; 1; 
code source bn:00072947n;1; 0; 0; 0; 0; 0; 
fichier texte bn:00028018n;1; 1; 1; 1; 0; 0; 
texte bn:00076732n;0; 1; 1; 1; 0; 1; 
mise en forme bn:01681906n;1; 0; 1; 0; 0; 0; 
concerner bn:00083240v;0; 0; 1; 1; 0; 0; 
commentaire bn:00020978n;1; 0; 1; 0; 1; 1; 
délimiter bn:00086464v;1; 1; 1; 0; 1; 0; 
affichage bn:00010421n;1; 1; 1; 1; 0; 1; 
gras bn:00011848n;1; 0; 1; 0; 0; 0; 
fois bn:00032768n;1; 1; 0; 1; 0; 1; 
chemin bn:03131414n;1; 0; 0; 0; 0; 1; 
lien hypertextes bn:00045513n;1; 1; 1; 0; 1; 1; 
url bn:00079080n;1; 0; 1; 0; 0; 1; 
textuels bn:00111786a;1; 0; 0; 0; 0; 0; 
case à cocher bn:03157691n;1; 0; 1; 0; 0; 1; 
page web dynamique bn:00937946n;1; 0; 0; 0; 0; 0; 
post bn:01500184n;1; 1; 1; 1; 0; 1; 
champ de saisie bn:03113401n;1; 1; 1; 0; 1; 1; 
size bn:03645138n;1; 0; 0; 0; 1; 0; 
nombre bn:00058285n;1; 1; 1; 1; 1; 1; 
text bn:14981519n;1; 1; 1; 0; 0; 0; 
vide bn:00087578v;1; 0; 0; 0; 0; 0; 
liste déroulante bn:00028831n;1; 0; 1; 0; 0; 0; 
sélectionner bn:00084931v;1; 0; 0; 0; 0; 0; 
déclencher bn:00082306v;1; 0; 0; 0; 0; 0; 
réinitialisation bn:00067306n;1; 1; 0; 0; 0; 0; 
langage bn:00049910n;1; 1; 1; 0; 1; 1; 
langage impératif bn:01246770n;1; 0; 0; 0; 0; 0; 
impératif bn:00104644a;1; 0; 0; 0; 0; 0; 
zones bn:00005513n;1; 0; 0; 0; 0; 1; 
utilisateur bn:00079373n;0; 0; 1; 0; 0; 1; 
affectation bn:02806034n;1; 1; 0; 1; 0; 0; 
booléen bn:00294693n;1; 1; 1; 1; 1; 0; 
réalité bn:00066414n;1; 0; 0; 0; 0; 0; 
concatène bn:00085508v;1; 0; 0; 0; 0; 0; 
addition bn:00001296n;1; 0; 0; 0; 0; 1; 
soustraction bn:00055233n;1; 0; 0; 0; 0; 1; 
multiplié bn:00090977v;1; 0; 0; 0; 0; 0; 
modulo bn:00553864n;1; 0; 0; 0; 0; 1; 
égalité bn:00031284n;1; 0; 1; 0; 0; 0; 
logiques bn:00051845n;1; 1; 0; 1; 1; 1; 
syntaxe bn:00062118n;1; 0; 1; 0; 0; 1; 
case bn:04777941n;1; 1; 0; 0; 0; 1; 
associer bn:00082868v;1; 0; 0; 0; 0; 1; 
personne bn:00046516n;0; 0; 1; 0; 1; 1; 
prenom bn:15996005n;1; 0; 0; 1; 1; 1; 
structure de contrôle bn:00047734n;1; 1; 0; 0; 0; 1; 
définition bn:00025928n;1; 0; 1; 0; 0; 1; 
initialiser bn:00089742v;1; 1; 0; 1; 0; 0; 
dépendre bn:00086606v;1; 0; 0; 0; 0; 0; 
méthode post bn:00045088n;1; 1; 0; 1; 1; 1; 
fermeture bn:16858148n;1; 0; 1; 0; 1; 1; 
passwd bn:14874750n;1; 0; 0; 0; 0; 0; 
machine bn:00054050n;1; 0; 0; 0; 0; 0; 
mysql bn:01225760n;0; 0; 0; 0; 0; 1; 
salaire bn:15928884n;1; 0; 0; 0; 1; 0; 
phase bn:00061898n;1; 0; 0; 0; 0; 0; 
être utile bn:00085368v;1; 0; 0; 0; 0; 0; 
boucle while bn:03237310n;1; 0; 0; 0; 1; 1; 
jour bn:00000086n;1; 0; 0; 0; 1; 0; 
euro bn:00031888n;1; 0; 0; 0; 0; 0; 
etc bn:00114282r;1; 0; 0; 0; 0; 1; 
programmation bn:00021493n;1; 1; 1; 0; 0; 1; 
site bn:00047172n;0; 0; 1; 1; 0; 1; 
détruire bn:00084204v;1; 0; 0; 1; 0; 1; 
second bn:00105773a;1; 0; 0; 0; 0; 1; 
ordinateur bn:00021464n;1; 0; 0; 0; 0; 1; 
université de rouen bn:00601230n;0; 1; 0; 0; 0; 0; 
france bn:00036202n;0; 1; 0; 1; 0; 0; 
langage de programmation bn:00064652n;0; 1; 1; 0; 0; 0; 
évolué bn:00084199v;0; 1; 0; 0; 0; 0; 
crée bn:00086008v;0; 1; 0; 0; 0; 0; 
langage de script bn:01431715n;0; 0; 1; 1; 0; 1; 
interpréter bn:00089840v;0; 1; 0; 0; 1; 0; 
côté serveur bn:03816678n;0; 1; 0; 0; 0; 1; 
serveur bn:00044916n;0; 0; 1; 0; 1; 1; 
côté client bn:03163702n;0; 1; 0; 0; 0; 0; 
manuel bn:00099315a;0; 1; 0; 0; 0; 0; 
français bn:00103321a;0; 1; 0; 0; 0; 0; 
typage bn:00016413n;0; 1; 0; 0; 0; 0; 
attention bn:00007020n;0; 1; 0; 0; 0; 0; 
faute de frappe bn:00031482n;0; 1; 0; 0; 0; 0; 
entiers bn:00047009n;0; 1; 0; 1; 0; 1; 
3.14 bn:00062194n;0; 1; 0; 0; 0; 0; 
printf bn:03243783n;0; 1; 0; 0; 0; 1; 
comparaison bn:00021304n;0; 1; 0; 0; 1; 1; 
switch bn:01071927n;0; 1; 1; 1; 1; 1; 
expr bn:03120209n;0; 1; 0; 0; 0; 0; 
spécifique bn:00111003a;0; 1; 0; 0; 0; 0; 
foreach bn:03463379n;0; 1; 1; 1; 0; 1; 
