;C3.csv;C5.csv;C6.csv
php bn:01753580n;1; 0; 0; 
définition bn:00025928n;1; 1; 1; 
page bn:00060158n;1; 0; 0; 
base bn:00008786n;1; 0; 0; 
séparateur bn:03371342n;1; 0; 1; 
bloc bn:03098513n;1; 1; 0; 
commentaires bn:00020978n;1; 1; 0; 
portée bn:03460088n;1; 0; 0; 
type bn:00016413n;1; 1; 1; 
booléens bn:00294693n;1; 0; 0; 
chaîne bn:00074685n;0; 0; 1; 
supprimer bn:00087533v;1; 0; 0; 
précédence bn:01410322n;1; 0; 0; 
bits bn:00010731n;1; 1; 0; 
comparaison bn:00021304n;1; 0; 0; 
incrémentation bn:01936826n;1; 0; 0; 
opérateur logiques bn:00051853n;1; 0; 1; 
logiques bn:00051845n;1; 1; 1; 
structure de contrôle bn:00047734n;1; 1; 1; 
foreach bn:03463379n;1; 1; 1; 
switch bn:01071927n;1; 0; 0; 
syntaxe bn:00062118n;1; 1; 1; 
valeur de retour bn:03828774n;1; 0; 1; 
post bn:01500184n;1; 1; 1; 
strftime bn:03338250n;1; 1; 0; 
mysql bn:01225760n;1; 1; 1; 
phpmyadmin bn:03382496n;1; 1; 0; 
utilisateur bn:00079373n;1; 1; 1; 
modifier bn:00003127n;1; 0; 0; 
numériques bn:00107651a;1; 0; 0; 
entiers bn:00047009n;1; 1; 0; 
réels bn:00066395n;1; 0; 1; 
text bn:14981519n;1; 1; 1; 
enum bn:02324948n;1; 0; 0; 
time bn:03389905n;1; 1; 0; 
sql bn:02266432n;1; 1; 1; 
innodb bn:01067935n;1; 0; 0; 
fulltext bn:00508617n;1; 0; 0; 
séquence bn:00070574n;1; 0; 1; 
fread bn:13825823n;1; 0; 0; 
fichier par bn:03318531n;1; 0; 0; 
sortie bn:01541423n;1; 0; 0; 
sortie standard bn:01496506n;1; 1; 0; 
ecriture bn:00081714n;1; 1; 0; 
fin de fichier bn:02781064n;1; 0; 0; 
fermer bn:00085170v;1; 0; 1; 
système de fichiers bn:00034429n;1; 0; 0; 
code bn:00020354n;0; 1; 0; 
comparer bn:00085450v;1; 0; 0; 
session bn:03751534n;1; 1; 1; 
couleurs bn:00020726n;1; 1; 1; 
rectangle bn:00066608n;1; 0; 0; 
polygones bn:00063423n;1; 0; 0; 
programmation objet bn:00058448n;1; 1; 0; 
opérateur bn:16281811n;1; 0; 0; 
classe bn:03608262n;1; 1; 1; 
héritage bn:00043822n;1; 1; 1; 
polymorphisme bn:01974384n;1; 0; 0; 
self bn:03432485n;1; 1; 0; 
constructeurs bn:03834827n;1; 1; 1; 
destructeur bn:01558988n;1; 0; 0; 
affectation bn:02806034n;1; 0; 1; 
nouveauté bn:00049321n;1; 0; 0; 
exceptions bn:00032118n;1; 0; 0; 
sauvegarder bn:00093281v;1; 1; 1; 
côté serveur bn:03816678n;1; 1; 1; 
inspirer bn:00084021v;1; 0; 0; 
langage c bn:00014377n;1; 0; 0; 
java bn:00048043n;1; 1; 1; 
perl bn:01723165n;1; 1; 0; 
rasmus lerdorf bn:03232211n;1; 1; 0; 
site personnel bn:01605102n;1; 0; 0; 
interpreter bn:00047204n;1; 0; 1; 
contributeurs bn:04850445n;1; 0; 0; 
juin bn:00048592n;1; 1; 0; 
zeev suraski bn:00571154n;1; 1; 0; 
modulaire bn:00106842a;1; 1; 0; 
extensible bn:00102618a;1; 0; 0; 
supplémentaires bn:00111488a;1; 1; 1; 
manquer bn:00090161v;1; 0; 1; 
cohérente bn:00099970a;1; 0; 1; 
serveur web bn:02705179n;1; 1; 1; 
moteur bn:00030850n;1; 1; 1; 
zend bn:03133191n;1; 1; 0; 
zend engine bn:01337536n;1; 1; 0; 
mai bn:00053941n;1; 0; 0; 
c++ bn:03586438n;1; 1; 1; 
forum bn:14251420n;1; 0; 0; 
messagerie bn:00030257n;1; 0; 0; 
commerce électronique bn:00029344n;1; 1; 0; 
banque bn:00008364n;1; 0; 1; 
publication en ligne bn:01180578n;1; 0; 0; 
voulez bn:00095629v;1; 1; 1; 
lamp bn:01708928n;1; 1; 0; 
linux bn:00051427n;1; 1; 1; 
incorporer bn:00089664v;1; 0; 0; 
javascript bn:00055423n;1; 1; 1; 
semblant bn:00045960n;1; 0; 0; 
navigateur bn:00013447n;1; 1; 1; 
dédier bn:00085427v;1; 0; 0; 
lire bn:00066357n;1; 1; 1; 
page web bn:00080778n;1; 1; 1; 
vitesse bn:00073258n;1; 0; 1; 
côté bn:00110607a;1; 0; 0; 
côté client bn:03163702n;1; 1; 1; 
windows bn:00081305n;1; 1; 1; 
