Objects;Weight
page web bn:00080778n;0.015625
page web statiques bn:03576307n;0.5
serveur web bn:02705179n;0.00195312
disque dur bn:00073359n;0.25
client bn:00019764n;0.000976562
client serveur bn:03496583n;0.03125
base de donnée bn:00025333n;0.00195312
donnée bn:00025314n;0.000976562
ensemble bn:00114766r;0.25
javascript bn:00055423n;0.00195312
perl bn:01723165n;0.0625
python bn:01713224n;0.5
java bn:00048043n;0.0078125
code source bn:00072947n;0.0625
fichier texte bn:00028018n;0.0625
texte bn:00076732n;0.000976562
mise en forme bn:01681906n;0.03125
concerner bn:00083240v;0.0625
commentaire bn:00020978n;0.00390625
délimiter bn:00086464v;0.03125
affichage bn:00010421n;0.00195312
gras bn:00011848n;0.0625
fois bn:00032768n;0.00390625
chemin bn:03131414n;0.25
lien hypertextes bn:00045513n;0.00390625
url bn:00079080n;0.00195312
textuels bn:00111786a;0.5
case à cocher bn:03157691n;0.0078125
page web dynamique bn:00937946n;0.25
post bn:01500184n;0.00195312
champ de saisie bn:03113401n;0.0078125
size bn:03645138n;0.25
nombre bn:00058285n;0.000976562
text bn:14981519n;0.000976562
vide bn:00087578v;0.5
liste déroulante bn:00028831n;0.25
sélectionner bn:00084931v;0.5
déclencher bn:00082306v;0.5
réinitialisation bn:00067306n;0.25
langage impératif bn:01246770n;0.5
impératif bn:00104644a;0.5
zones bn:00005513n;0.0625
utilisateur bn:00079373n;0.0078125
affectation bn:02806034n;0.015625
booléen bn:00294693n;0.00195312
réalité bn:00066414n;0.5
concatène bn:00085508v;0.5
addition bn:00001296n;0.0625
soustraction bn:00055233n;0.0625
multiplié bn:00090977v;0.5
modulo bn:00553864n;0.0625
égalité bn:00031284n;0.125
logiques bn:00051845n;0.00390625
syntaxe bn:00062118n;0.015625
case bn:04777941n;0.015625
associer bn:00082868v;0.03125
personne bn:00046516n;0.03125
prenom bn:15996005n;0.03125
structure de contrôle bn:00047734n;0.00390625
définition bn:00025928n;0.0078125
initialiser bn:00089742v;0.125
dépendre bn:00086606v;0.125
méthode post bn:00045088n;0.000976562
fermeture bn:16858148n;0.00390625
passwd bn:14874750n;0.25
machine bn:00054050n;0.0625
mysql bn:01225760n;0.00390625
salaire bn:15928884n;0.25
phase bn:00061898n;0.5
être utile bn:00085368v;0.25
boucle while bn:03237310n;0.03125
jour bn:00000086n;0.0625
euro bn:00031888n;0.25
etc bn:00114282r;0.25
programmation bn:00021493n;0.00390625
détruire bn:00084204v;0.03125
second bn:00105773a;0.25
ordinateur bn:00021464n;0.25
licence bn:00050986n;0.5
licence gnu bn:01157379n;0.5
gnu bn:00324017n;0.25
gnu free documentation licence bn:01157394n;0.5
anglais bn:00030862n;0.0625
free software bn:00182120n;0.25
free software foundation bn:01158352n;0.5
quatrième de couverture bn:00032652n;0.5
copie bn:00087583v;0.5
paris bn:00015540n;0.125
france bn:00036202n;0.125
fax bn:00032653n;0.5
e-mail bn:00029345n;0.5
programmation web bn:03446093n;0.0625
installation bn:03478637n;0.5
configuration bn:03088982n;0.125
session bn:03751534n;0.03125
chaîne bn:00074685n;0.0078125
rappel bn:03490040n;0.0625
document web bn:03606607n;0.5
composer bn:14766022n;0.25
délimiteur bn:03371342n;0.25
coordonnées bn:00022459n;0.25
côté serveur bn:03816678n;0.03125
côté client bn:03163702n;0.0625
applets bn:00005083n;0.5
activex bn:03829972n;0.5
plugins bn:00001275n;0.5
httpd bn:16913184n;0.25
script bn:01431715n;0.00195312
mod_perl bn:01549964n;0.5
servlets bn:03188848n;0.25
bonjour bn:00043620n;0.5
hériter bn:00043823n;0.25
bibliothèques bn:00050969n;0.25
logiciel open source bn:01157392n;0.0625
licence php bn:03293781n;0.5
rasmus lerdorf bn:03232211n;0.25
publique bn:00109211a;0.25
livre d’or bn:03888259n;0.5
compteur bn:00023158n;0.25
zeev suraski bn:00571154n;0.5
netcraft bn:03608511n;0.5
zend bn:03133191n;0.5
société privée bn:00036346n;0.5
interpréter bn:00089840v;0.125
calcul mathématique bn:00014689n;0.5
mathématique bn:00106488a;0.5
licence open source bn:01530143n;0.5
télécharger bn:14037830n;0.5
serveur bn:00044916n;0.00195312
tar.gz bn:16068787n;0.5
help bn:13915186n;0.5
serveur apache bn:01932513n;0.5
httpd.conf bn:03668763n;0.5
debian bn:03704159n;0.5
comportement bn:00009657n;0.0625
complexe bn:00100148a;0.25
gestion bn:00053116n;0.5
relatifs bn:00109123a;0.5
type bn:00016413n;0.0078125
opérateurs bn:16281811n;0.125
nombre entiers bn:00047009n;0.03125
nombre à virgule flottante bn:00035278n;0.125
variable de type bn:02158332n;0.25
base 10 bn:00025700n;0.25
base 8 bn:01534404n;0.5
double bn:00101728a;0.5
backslash bn:00988551n;0.25
valeur numérique bn:00000451n;0.25
numérique bn:00107649a;0.125
list bn:04720346n;0.03125
pointeur bn:03222272n;0.125
cmp bn:00119381n;0.5
cle bn:04756252n;0.0078125
portée bn:03460088n;0.5
globales bn:00103624a;0.0625
affiche bn:15173511n;0.125
bloc bn:03098513n;0.25
statiques bn:00111112a;0.0625
récursives bn:00109560a;0.125
ambiguïté bn:00003266n;0.25
méthode bn:01641329n;0.00390625
disponibles bn:00097848a;0.5
query_string bn:03583474n;0.25
integer bn:00691555n;0.25
string bn:00050078n;0.5
contraire bn:00100398a;0.25
numéro de ligne bn:03406633n;0.5
système d’exploitation bn:00059123n;0.25
linux bn:00051427n;0.125
vrai bn:00078452n;0.5
multiplication bn:00056300n;0.03125
division bn:00027919n;0.125
concaténation bn:03489514n;0.015625
bit bn:00010731n;0.25
opérateur logiques bn:00051853n;0.125
égal bn:00102336a;0.0625
après bn:00114165r;0.5
langage c bn:00014377n;0.125
conditionnelles bn:00100214a;0.125
appel de fonction bn:00036827n;0.5
instruction vide bn:03112071n;0.5
structure bn:00094491v;0.5
lisibilité bn:04849472n;0.5
femme bn:00001530n;0.125
ressembler à bn:00092876v;0.5
premier bn:00103006a;0.25
boucle for bn:03237322n;0.0625
pouvoir bn:00084450v;0.25
foreach bn:03463379n;0.00390625
vouloir bn:00095629v;0.125
switch bn:01071927n;0.000976562
reproduire bn:00092851v;0.5
substitution bn:03342494n;0.25
valeur de retour bn:03828774n;0.03125
correct bn:00100490a;0.25
