X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
page web bn:00080778n ; 0 ; 0.0844156 ; 0.132075 ; 0.109375 ; 0 ; 0.0928571 ; 0 ; 0 ; 0 ; 0.164384 ; 0
navigateur bn:00013447n ; 0 ; 0.226804 ; 0.208861 ; 0.231214 ; 0.196429 ; 0 ; 0.237864 ; 0 ; 0.193548 ; 0.181818 ; 0.205882
serveur web bn:02705179n ; 0 ; 0.309013 ; 0.30303 ; 0.320755 ; 0.318898 ; 0.270742 ; 0.330579 ; 0.319328 ; 0 ; 0 ; 0.351145
fichier bn:00021475n ; 0.106195 ; 0 ; 0.111111 ; 0.100775 ; 0.0765027 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0746269
client bn:00019764n ; 0.0666667 ; 0.047619 ; 0 ; 0.057377 ; 0 ; 0 ; 0 ; 0.0516129 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0.0547945 ; 0 ; 0 ; 0.039548 ; 0 ; 0 ; 0.0448718 ; 0.122807 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0.105263 ; 0 ; 0 ; 0.076087 ; 0 ; 0.0818713 ; 0.0792683 ; 0.2 ; 0 ; 0
php bn:01753580n ; 0 ; 0 ; 0.173554 ; 0.15493 ; 0.123077 ; 0.136364 ; 0 ; 0.125 ; 0 ; 0 ; 0.138756
javascript bn:00055423n ; 0.263682 ; 0.281385 ; 0.283505 ; 0.328431 ; 0.325203 ; 0 ; 0.315126 ; 0.303419 ; 0 ; 0 ; 0.296992
code bn:00020354n ; 0.280543 ; 0.321138 ; 0.213974 ; 0 ; 0.360153 ; 0.32906 ; 0.395918 ; 0.314961 ; 0.140777 ; 0 ; 0.350181
texte bn:00076732n ; 0 ; 0.339806 ; 0 ; 0.236453 ; 0.285714 ; 0.253589 ; 0.302222 ; 0.278027 ; 0.2 ; 0 ; 0.264591
concerner bn:00083240v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0310078 ; 0 ; 0.0263158 ; 0.0754717 ; 0 ; 0
commentaire bn:00020978n ; 0.142857 ; 0.134146 ; 0 ; 0 ; 0.119171 ; 0 ; 0 ; 0.140351 ; 0 ; 0.181818 ; 0.124402
délimiter bn:00086464v ; 0 ; 0.027972 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0263158 ; 0 ; 0.0655738 ; 0
gras bn:00011848n ; 0.039604 ; 0 ; 0.0416667 ; 0 ; 0 ; 0 ; 0 ; 0.0263158 ; 0 ; 0 ; 0
fois bn:00032768n ; 0.19863 ; 0.198895 ; 0 ; 0 ; 0.199029 ; 0.194118 ; 0.225131 ; 0 ; 0.175926 ; 0 ; 0.166667
lien hypertextes bn:00045513n ; 0.172662 ; 0 ; 0.179104 ; 0 ; 0 ; 0.186335 ; 0.150259 ; 0.163043 ; 0 ; 0.149533 ; 0.175926
url bn:00079080n ; 0.285714 ; 0.218274 ; 0 ; 0.242775 ; 0.238532 ; 0.234973 ; 0 ; 0.257576 ; 0 ; 0 ; 0.229787
case à cocher bn:03157691n ; 0.133929 ; 0 ; 0 ; 0.107692 ; 0 ; 0.0992908 ; 0 ; 0.0853659 ; 0 ; 0 ; 0.0792079
post bn:01500184n ; 0 ; 0.0967742 ; 0.138889 ; 0.115385 ; 0 ; 0 ; 0.0935673 ; 0 ; 0 ; 0 ; 0.0735294
nombre bn:00058285n ; 0 ; 0.0993377 ; 0 ; 0.0930233 ; 0 ; 0 ; 0 ; 0.0736196 ; 0.1875 ; 0.166667 ; 0
text bn:14981519n ; 0.209302 ; 0.157895 ; 0 ; 0 ; 0.163265 ; 0.179487 ; 0.155914 ; 0.162921 ; 0 ; 0 ; 0
langage bn:00049910n ; 0.300926 ; 0 ; 0.301887 ; 0.27897 ; 0.342205 ; 0.314894 ; 0.29771 ; 0.312253 ; 0 ; 0.147619 ; 0.419847
zones bn:00005513n ; 0 ; 0 ; 0.0212766 ; 0.0172414 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0.0974026 ; 0 ; 0.107692 ; 0 ; 0.0992908 ; 0 ; 0.0853659 ; 0 ; 0 ; 0.0792079
affectation bn:02806034n ; 0.0810811 ; 0 ; 0 ; 0.0787402 ; 0.0726257 ; 0 ; 0.0718563 ; 0 ; 0.125 ; 0 ; 0
syntaxe bn:00062118n ; 0.141593 ; 0 ; 0 ; 0.123077 ; 0.0864865 ; 0 ; 0 ; 0.097561 ; 0 ; 0 ; 0.0784314
case bn:04777941n ; 0.0761905 ; 0.0544218 ; 0 ; 0 ; 0 ; 0 ; 0.0487805 ; 0 ; 0 ; 0 ; 0.0408163
associer bn:00082868v ; 0 ; 0.047619 ; 0.07 ; 0 ; 0.039548 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0410256
personne bn:00046516n ; 0 ; 0.0544218 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0512821 ; 0 ; 0.123077 ; 0.0408163
structure de contrôle bn:00047734n ; 0.228188 ; 0 ; 0.236111 ; 0.204819 ; 0.208531 ; 0.19209 ; 0.192118 ; 0 ; 0 ; 0 ; 0.223214
méthode post bn:00045088n ; 0 ; 0 ; 0 ; 0 ; 0.0994764 ; 0.121622 ; 0.125714 ; 0 ; 0.184211 ; 0.195122 ; 0.117073
fermeture bn:16858148n ; 0.222973 ; 0.198925 ; 0 ; 0 ; 0.199052 ; 0.215116 ; 0 ; 0.227513 ; 0 ; 0.215517 ; 0.208889
passwd bn:14874750n ; 0.0102041 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
machine bn:00054050n ; 0 ; 0.027972 ; 0 ; 0.0338983 ; 0 ; 0.0310078 ; 0 ; 0 ; 0 ; 0 ; 0
mysql bn:01225760n ; 0 ; 0.0544218 ; 0.08 ; 0.0655738 ; 0 ; 0 ; 0 ; 0.0512821 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0172414 ; 0
jour bn:00000086n ; 0.039604 ; 0 ; 0 ; 0.0338983 ; 0 ; 0.0310078 ; 0 ; 0 ; 0 ; 0 ; 0
programmation bn:00021493n ; 0.166667 ; 0 ; 0.163934 ; 0 ; 0 ; 0.143791 ; 0.131868 ; 0.131429 ; 0 ; 0 ; 0.127962
site bn:00047172n ; 0.186047 ; 0.153846 ; 0 ; 0.172414 ; 0.153846 ; 0 ; 0.139785 ; 0.165714 ; 0 ; 0 ; 0
paris bn:00015540n ; 0 ; 0.0141844 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0105263
france bn:00036202n ; 0 ; 0.0141844 ; 0 ; 0 ; 0 ; 0 ; 0.0126582 ; 0 ; 0 ; 0 ; 0
programmation web bn:03446093n ; 0 ; 0.0141844 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0133333 ; 0 ; 0 ; 0
session bn:03751534n ; 0 ; 0.0544218 ; 0 ; 0.0655738 ; 0 ; 0 ; 0.0487805 ; 0.0512821 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.0491803 ; 0.0397727 ; 0 ; 0 ; 0 ; 0 ; 0.0923077 ; 0.0358974
côté serveur bn:03816678n ; 0 ; 0.0544218 ; 0 ; 0.0655738 ; 0 ; 0.0601504 ; 0 ; 0 ; 0 ; 0 ; 0.0408163
côté client bn:03163702n ; 0 ; 0.027972 ; 0 ; 0.0338983 ; 0 ; 0.0310078 ; 0 ; 0 ; 0 ; 0 ; 0
script bn:01431715n ; 0 ; 0 ; 0.08 ; 0.0655738 ; 0.0451977 ; 0 ; 0.0487805 ; 0 ; 0 ; 0 ; 0
interpréter bn:00089840v ; 0 ; 0.0141844 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0338983 ; 0
serveur bn:00044916n ; 0 ; 0.0909091 ; 0 ; 0 ; 0.0702703 ; 0 ; 0 ; 0.0858896 ; 0 ; 0.178082 ; 0.079602
type bn:00016413n ; 0 ; 0 ; 0 ; 0.0172414 ; 0 ; 0 ; 0 ; 0 ; 0.0392157 ; 0 ; 0
opérateurs bn:16281811n ; 0 ; 0.0141844 ; 0 ; 0 ; 0.0116959 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
list bn:04720346n ; 0 ; 0.0544218 ; 0 ; 0 ; 0 ; 0.0601504 ; 0.0487805 ; 0 ; 0 ; 0 ; 0.0408163
pointeur bn:03222272n ; 0 ; 0.0141844 ; 0 ; 0 ; 0 ; 0.015748 ; 0 ; 0 ; 0 ; 0 ; 0
cle bn:04756252n ; 0 ; 0.103226 ; 0 ; 0 ; 0.0864865 ; 0 ; 0.0930233 ; 0.097561 ; 0 ; 0 ; 0.0784314
méthode bn:01641329n ; 0 ; 0.188571 ; 0 ; 0 ; 0 ; 0.182927 ; 0.159794 ; 0.160428 ; 0.216495 ; 0.223301 ; 0.157658
conditionnelles bn:00100214a ; 0 ; 0.0141844 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0105263
foreach bn:03463379n ; 0 ; 0.103226 ; 0 ; 0 ; 0 ; 0.113475 ; 0.0930233 ; 0.097561 ; 0 ; 0 ; 0.0784314
couleurs bn:00020726n ; 0 ; 0.027972 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0263158 ; 0 ; 0 ; 0.0208333
valeur par défaut bn:03854990n ; 0 ; 0.0544218 ; 0 ; 0 ; 0.0451977 ; 0 ; 0 ; 0.0512821 ; 0 ; 0 ; 0.0408163
classes bn:03608262n ; 0 ; 0.027972 ; 0 ; 0.0338983 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0208333
fonctionnalité bn:00036836n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00793651 ; 0 ; 0 ; 0 ; 0 ; 0
class bn:03598962n ; 0 ; 0.027972 ; 0.0416667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0208333
header bn:00043309n ; 0 ; 0.0141844 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0105263
mot bn:00081546n ; 0 ; 0.103226 ; 0.148148 ; 0.123077 ; 0 ; 0 ; 0.0930233 ; 0.097561 ; 0 ; 0 ; 0
visiteur bn:03106425n ; 0 ; 0.027972 ; 0 ; 0.0338983 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0655738 ; 0
sauvegarder bn:00093281v ; 0 ; 0.00714286 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
