Objects;Weight
page web bn:00080778n;0.0855263
navigateur bn:00013447n;0.3125
serveur web bn:02705179n;0.444079
fichier bn:00021475n;0.0888158
client bn:00019764n;0.0493421
base de donnée bn:00025333n;0.0493421
donnée bn:00025314n;0.0921053
php bn:01753580n;0.154605
javascript bn:00055423n;0.430921
code bn:00020354n;0.0493421
texte bn:00076732n;0.157895
concerner bn:00083240v;0.0263158
commentaire bn:00020978n;0.154605
délimiter bn:00086464v;0.0263158
gras bn:00011848n;0.0263158
fois bn:00032768n;0.279605
lien hypertextes bn:00045513n;0.226974
url bn:00079080n;0.325658
case à cocher bn:03157691n;0.0986842
post bn:01500184n;0.0921053
nombre bn:00058285n;0.0822368
text bn:14981519n;0.177632
langage bn:00049910n;0.246711
zones bn:00005513n;0.0131579
utilisateur bn:00079373n;0.0986842
affectation bn:02806034n;0.0789474
syntaxe bn:00062118n;0.105263
case bn:04777941n;0.0526316
associer bn:00082868v;0.0493421
personne bn:00046516n;0.0526316
structure de contrôle bn:00047734n;0.266447
méthode post bn:00045088n;0.148026
fermeture bn:16858148n;0.273026
passwd bn:14874750n;0.00657895
machine bn:00054050n;0.0263158
mysql bn:01225760n;0.0493421
salaire bn:15928884n;0.00657895
jour bn:00000086n;0.0263158
programmation bn:00021493n;0.164474
site bn:00047172n;0.167763
paris bn:00015540n;0.0131579
france bn:00036202n;0.0131579
programmation web bn:03446093n;0.0131579
session bn:03751534n;0.0263158
chaîne bn:00074685n;0.0460526
côté serveur bn:03816678n;0.0526316
côté client bn:03163702n;0.0263158
script bn:01431715n;0.0493421
interpréter bn:00089840v;0.0131579
serveur bn:00044916n;0.0921053
type bn:00016413n;0.0131579
opérateurs bn:16281811n;0.0131579
list bn:04720346n;0.0526316
pointeur bn:03222272n;0.0131579
cle bn:04756252n;0.0986842
méthode bn:01641329n;0.236842
conditionnelles bn:00100214a;0.0131579
foreach bn:03463379n;0.105263
couleurs bn:00020726n;0.0263158
valeur par défaut bn:03854990n;0.0526316
classes bn:03608262n;0.0263158
fonctionnalité bn:00036836n;0.00657895
class bn:03598962n;0.0263158
header bn:00043309n;0.0131579
mot bn:00081546n;0.0888158
visiteur bn:03106425n;0.0263158
sauvegarder bn:00093281v;0.00657895
null bn:15898583n;0.0263158
web bn:00080772n;0.0131579
positionnement bn:00030615n;0.00657895
affiche bn:00087013v;0.0263158
casse bn:03225002n;0.0131579
internet bn:00024712n;0.0526316
système bn:15125301n;0.0263158
exe bn:14503132n;0.00657895
menu bn:00021485n;0.0131579
id bn:03885719n;0.0131579
mysqli bn:01438356n;0.0131579
head bn:02338897n;0.00657895
attribut bn:00007068n;0.00657895
valeur bn:00079508n;0.00657895
moteur bn:00030850n;0.00657895
timestamp bn:03603649n;0.0131579
accéder bn:00082209v;0.00657895
