Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;8;0;11;;C1,C12,C13,C14,C16,C18,C2,C4,C7,C8,C9,;
1;5;1;5;page web bn:00080778n,;C12,C13,C14,C18,C8,;
2;6;1;8;navigateur bn:00013447n,;C12,C13,C14,C16,C2,C7,C8,C9,;
3;7;1;8;serveur web bn:02705179n,;C12,C13,C14,C16,C18,C2,C4,C9,;
4;5;1;5;donnée bn:00025314n,;C12,C16,C2,C4,C7,;
5;7;1;8;javascript bn:00055423n,;C1,C12,C13,C14,C16,C2,C4,C9,;
6;6;1;6;texte bn:00076732n,;C12,C14,C16,C18,C7,C9,;
7;6;1;7;fois bn:00032768n,;C1,C12,C16,C18,C2,C7,C9,;
8;6;1;7;lien hypertextes bn:00045513n,;C1,C13,C18,C2,C4,C8,C9,;
9;7;1;7;url bn:00079080n,;C1,C12,C14,C16,C18,C4,C9,;
10;4;1;5;nombre bn:00058285n,;C12,C14,C4,C7,C8,;
11;6;1;6;text bn:14981519n,;C1,C12,C16,C18,C2,C4,;
12;7;1;7;langage bn:00049910n,;C1,C14,C16,C18,C2,C8,C9,;
13;5;1;5;affectation bn:02806034n,;C1,C14,C16,C2,C7,;
14;7;1;7;structure de contrôle bn:00047734n,;C1,C13,C14,C16,C18,C2,C9,;
15;6;1;6;méthode post bn:00045088n,;C16,C18,C2,C7,C8,C9,;
16;7;1;7;fermeture bn:16858148n,;C1,C12,C16,C18,C4,C8,C9,;
17;6;1;7;méthode bn:01641329n,;C12,C18,C2,C4,C7,C8,C9,;
18;4;2;4;page web bn:00080778n,navigateur bn:00013447n,;C12,C13,C14,C8,;
19;4;2;4;page web bn:00080778n,serveur web bn:02705179n,;C12,C13,C14,C18,;
20;3;2;3;page web bn:00080778n,lien hypertextes bn:00045513n,;C13,C18,C8,;
21;3;2;3;page web bn:00080778n,langage bn:00049910n,;C14,C18,C8,;
22;5;2;5;navigateur bn:00013447n,texte bn:00076732n,;C12,C14,C16,C7,C9,;
23;5;2;5;navigateur bn:00013447n,fois bn:00032768n,;C12,C16,C2,C7,C9,;
24;4;2;4;navigateur bn:00013447n,lien hypertextes bn:00045513n,;C13,C2,C8,C9,;
25;4;2;4;navigateur bn:00013447n,nombre bn:00058285n,;C12,C14,C7,C8,;
26;5;2;5;navigateur bn:00013447n,langage bn:00049910n,;C14,C16,C2,C8,C9,;
27;4;2;4;navigateur bn:00013447n,affectation bn:02806034n,;C14,C16,C2,C7,;
28;5;2;5;navigateur bn:00013447n,méthode post bn:00045088n,;C16,C2,C7,C8,C9,;
29;5;2;5;navigateur bn:00013447n,méthode bn:01641329n,;C12,C2,C7,C8,C9,;
30;6;2;6;serveur web bn:02705179n,php bn:01753580n,;C13,C14,C16,C18,C4,C9,;
31;6;2;7;serveur web bn:02705179n,javascript bn:00055423n,;C12,C13,C14,C16,C2,C4,C9,;
32;5;2;5;serveur web bn:02705179n,fois bn:00032768n,;C12,C16,C18,C2,C9,;
33;6;2;6;serveur web bn:02705179n,url bn:00079080n,;C12,C14,C16,C18,C4,C9,;
34;5;2;5;serveur web bn:02705179n,text bn:14981519n,;C12,C16,C18,C2,C4,;
35;6;2;6;serveur web bn:02705179n,structure de contrôle bn:00047734n,;C13,C14,C16,C18,C2,C9,;
36;4;2;4;base de donnée bn:00025333n,donnée bn:00025314n,;C12,C16,C4,C7,;
37;4;2;4;donnée bn:00025314n,méthode bn:01641329n,;C12,C2,C4,C7,;
38;5;2;5;javascript bn:00055423n,fois bn:00032768n,;C1,C12,C16,C2,C9,;
39;6;2;6;javascript bn:00055423n,url bn:00079080n,;C1,C12,C14,C16,C4,C9,;
40;6;2;6;javascript bn:00055423n,structure de contrôle bn:00047734n,;C1,C13,C14,C16,C2,C9,;
41;6;2;6;javascript bn:00055423n,site bn:00047172n,;C1,C12,C14,C16,C2,C4,;
42;5;2;5;texte bn:00076732n,fois bn:00032768n,;C12,C16,C18,C7,C9,;
43;3;2;3;concerner bn:00083240v,méthode bn:01641329n,;C18,C4,C7,;
44;6;2;6;commentaire bn:00020978n,fermeture bn:16858148n,;C1,C12,C16,C4,C8,C9,;
45;5;2;5;fois bn:00032768n,text bn:14981519n,;C1,C12,C16,C18,C2,;
46;4;2;4;fois bn:00032768n,affectation bn:02806034n,;C1,C16,C2,C7,;
47;5;2;5;fois bn:00032768n,méthode post bn:00045088n,;C16,C18,C2,C7,C9,;
48;5;2;5;fois bn:00032768n,méthode bn:01641329n,;C12,C18,C2,C7,C9,;
49;5;2;5;lien hypertextes bn:00045513n,langage bn:00049910n,;C1,C18,C2,C8,C9,;
50;5;2;5;lien hypertextes bn:00045513n,fermeture bn:16858148n,;C1,C18,C4,C8,C9,;
51;5;2;6;lien hypertextes bn:00045513n,programmation bn:00021493n,;C1,C13,C18,C2,C4,C9,;
52;5;2;5;lien hypertextes bn:00045513n,méthode bn:01641329n,;C18,C2,C4,C8,C9,;
53;5;2;5;url bn:00079080n,case à cocher bn:03157691n,;C1,C14,C18,C4,C9,;
54;6;2;6;url bn:00079080n,fermeture bn:16858148n,;C1,C12,C16,C18,C4,C9,;
55;4;2;4;nombre bn:00058285n,méthode bn:01641329n,;C12,C4,C7,C8,;
56;6;2;6;langage bn:00049910n,structure de contrôle bn:00047734n,;C1,C14,C16,C18,C2,C9,;
57;5;2;5;langage bn:00049910n,méthode post bn:00045088n,;C16,C18,C2,C8,C9,;
58;5;2;5;langage bn:00049910n,fermeture bn:16858148n,;C1,C16,C18,C8,C9,;
59;5;2;5;méthode post bn:00045088n,méthode bn:01641329n,;C18,C2,C7,C8,C9,;
60;5;2;5;fermeture bn:16858148n,méthode bn:01641329n,;C12,C18,C4,C8,C9,;
61;2;3;2;page web bn:00080778n,navigateur bn:00013447n,lien hypertextes bn:00045513n,;C13,C8,;
62;3;3;3;page web bn:00080778n,fermeture bn:16858148n,méthode bn:01641329n,;C12,C18,C8,;
63;5;3;6;navigateur bn:00013447n,serveur web bn:02705179n,javascript bn:00055423n,;C12,C13,C14,C16,C2,C9,;
64;4;3;4;navigateur bn:00013447n,donnée bn:00025314n,fois bn:00032768n,;C12,C16,C2,C7,;
65;4;3;4;navigateur bn:00013447n,texte bn:00076732n,fois bn:00032768n,;C12,C16,C7,C9,;
66;3;3;3;navigateur bn:00013447n,texte bn:00076732n,nombre bn:00058285n,;C12,C14,C7,;
67;3;3;3;navigateur bn:00013447n,texte bn:00076732n,affectation bn:02806034n,;C14,C16,C7,;
68;4;3;4;navigateur bn:00013447n,fois bn:00032768n,méthode post bn:00045088n,;C16,C2,C7,C9,;
69;4;3;4;navigateur bn:00013447n,fois bn:00032768n,méthode bn:01641329n,;C12,C2,C7,C9,;
70;3;3;3;navigateur bn:00013447n,nombre bn:00058285n,méthode bn:01641329n,;C12,C7,C8,;
71;4;3;4;navigateur bn:00013447n,langage bn:00049910n,méthode post bn:00045088n,;C16,C2,C8,C9,;
72;4;3;4;navigateur bn:00013447n,langage bn:00049910n,chaîne bn:00074685n,;C14,C16,C8,C9,;
73;4;3;4;navigateur bn:00013447n,méthode post bn:00045088n,méthode bn:01641329n,;C2,C7,C8,C9,;
74;5;3;5;serveur web bn:02705179n,php bn:01753580n,javascript bn:00055423n,;C13,C14,C16,C4,C9,;
75;5;3;5;serveur web bn:02705179n,php bn:01753580n,url bn:00079080n,;C14,C16,C18,C4,C9,;
76;5;3;5;serveur web bn:02705179n,php bn:01753580n,structure de contrôle bn:00047734n,;C13,C14,C16,C18,C9,;
77;5;3;5;serveur web bn:02705179n,javascript bn:00055423n,url bn:00079080n,;C12,C14,C16,C4,C9,;
