X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
navigateur bn:00013447n ; 0 ; 0.173228 ; 0.102362 ; 0.133858 ; 0.165354 ; 0 ; 0.133858 ; 0 ; 0.0866142 ; 0.0866142 ; 0.149606
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0.0314961 ; 0.0314961 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0314961
client bn:00019764n ; 0.0551181 ; 0.0551181 ; 0 ; 0.0551181 ; 0 ; 0 ; 0 ; 0.0629921 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0.0629921 ; 0 ; 0 ; 0.0472441 ; 0 ; 0 ; 0.0472441 ; 0.0551181 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0.110236 ; 0 ; 0 ; 0.0944882 ; 0 ; 0.0787402 ; 0.0787402 ; 0.0787402 ; 0 ; 0
php bn:01753580n ; 0 ; 0 ; 0.023622 ; 0.0314961 ; 0.023622 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
code bn:00020354n ; 0 ; 0 ; 0.0314961 ; 0 ; 0 ; 0.0393701 ; 0 ; 0.0472441 ; 0 ; 0 ; 0.0472441
texte bn:00076732n ; 0 ; 0.0314961 ; 0 ; 0 ; 0.0314961 ; 0 ; 0 ; 0 ; 0.0314961 ; 0 ; 0
concerner bn:00083240v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0314961 ; 0 ; 0.0314961 ; 0.0314961 ; 0 ; 0
commentaire bn:00020978n ; 0.0944882 ; 0.141732 ; 0 ; 0 ; 0.11811 ; 0 ; 0 ; 0.102362 ; 0 ; 0.0708661 ; 0.11811
délimiter bn:00086464v ; 0 ; 0.0314961 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.023622 ; 0 ; 0.023622 ; 0
gras bn:00011848n ; 0.023622 ; 0 ; 0.023622 ; 0 ; 0 ; 0 ; 0 ; 0.0314961 ; 0 ; 0 ; 0
