X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
C1 ; 1 ; 0.16 ; 0.0652174 ; 0.109091 ; 0.133333 ; 0.173077 ; 0.145161 ; 0.230769 ; 0.0204082 ; 0.0666667 ; 0.166667
C12 ; 0.16 ; 1 ; 0.101449 ; 0.189189 ; 0.283784 ; 0.113924 ; 0.240506 ; 0.3375 ; 0.149254 ; 0.153846 ; 0.253012
C13 ; 0.0652174 ; 0.101449 ; 1 ; 0.219512 ; 0.0754717 ; 0.0638298 ; 0.153846 ; 0.0952381 ; 0.0540541 ; 0.0571429 ; 0.137931
C14 ; 0.109091 ; 0.189189 ; 0.219512 ; 1 ; 0.0952381 ; 0.127273 ; 0.0746269 ; 0.140845 ; 0.108696 ; 0.139535 ; 0.130435
C16 ; 0.133333 ; 0.283784 ; 0.0754717 ; 0.0952381 ; 1 ; 0.0615385 ; 0.274194 ; 0.142857 ; 0.208333 ; 0.217391 ; 0.231884
C18 ; 0.173077 ; 0.113924 ; 0.0638298 ; 0.127273 ; 0.0615385 ; 1 ; 0.2 ; 0.306452 ; 0.0851064 ; 0.0425532 ; 0.21875
C2 ; 0.145161 ; 0.240506 ; 0.153846 ; 0.0746269 ; 0.274194 ; 0.2 ; 1 ; 0.197368 ; 0.12963 ; 0.0727273 ; 0.275362
C4 ; 0.230769 ; 0.3375 ; 0.0952381 ; 0.140845 ; 0.142857 ; 0.306452 ; 0.197368 ; 1 ; 0.111111 ; 0.0793651 ; 0.25974
C7 ; 0.0204082 ; 0.149254 ; 0.0540541 ; 0.108696 ; 0.208333 ; 0.0851064 ; 0.12963 ; 0.111111 ; 1 ; 0.225806 ; 0.0634921
C8 ; 0.0666667 ; 0.153846 ; 0.0571429 ; 0.139535 ; 0.217391 ; 0.0425532 ; 0.0727273 ; 0.0793651 ; 0.225806 ; 1 ; 0.160714
C9 ; 0.166667 ; 0.253012 ; 0.137931 ; 0.130435 ; 0.231884 ; 0.21875 ; 0.275362 ; 0.25974 ; 0.0634921 ; 0.160714 ; 1
