X ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; délimiter bn:00086464v ; nombre bn:00058285n ; text bn:14981519n ; zones bn:00005513n ; passwd bn:14874750n ; mysql bn:01225760n ; salaire bn:15928884n ; site bn:00047172n ; programmation web bn:03446093n ; session bn:03751534n ; chaîne bn:00074685n ; script bn:01431715n ; serveur bn:00044916n ; type bn:00016413n ; classes bn:03608262n ; fonctionnalité bn:00036836n ; header bn:00043309n ; sauvegarder bn:00093281v ; web bn:00080772n ; positionnement bn:00030615n ; exe bn:14503132n ; head bn:02338897n ; attribut bn:00007068n ; valeur bn:00079508n ; moteur bn:00030850n ; accéder bn:00082209v
fichier bn:00021475n ; 1 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.444444 ; 0.0909091 ; 0.117647 ; 0.0952381 ; 0.25 ; 0.142857 ; 0.153846 ; 0.142857 ; 0.153846 ; 0.111111 ; 0.142857 ; 0.25 ; 0.363636 ; 0.333333 ; 0.25 ; 0.25 ; 0.142857 ; 0.25 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
client bn:00019764n ; 0.142857 ; 1 ; 0.25 ; 0.2 ; 0.133333 ; 0.333333 ; 0.352941 ; 0.35 ; 0.166667 ; 0.2 ; 0.461538 ; 0.0909091 ; 0.266667 ; 0.4 ; 0.2 ; 0.166667 ; 0.117647 ; 0.0909091 ; 0.166667 ; 0.166667 ; 0.0909091 ; 0.166667 ; 0.2 ; 0.166667 ; 0.2 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091
base de donnée bn:00025333n ; 0.142857 ; 0.25 ; 1 ; 0.714286 ; 0.133333 ; 0.333333 ; 0.352941 ; 0.35 ; 0.0769231 ; 0.0909091 ; 0.266667 ; 0.0909091 ; 0.266667 ; 0.4 ; 0.2 ; 0.0769231 ; 0.117647 ; 0.2 ; 0.166667 ; 0.166667 ; 0.0909091 ; 0.166667 ; 0.2 ; 0.166667 ; 0.2 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.2 ; 0.2 ; 0.0909091
donnée bn:00025314n ; 0.111111 ; 0.2 ; 0.714286 ; 1 ; 0.105263 ; 0.25 ; 0.285714 ; 0.47619 ; 0.0588235 ; 0.0666667 ; 0.210526 ; 0.0666667 ; 0.352941 ; 0.285714 ; 0.142857 ; 0.0588235 ; 0.15 ; 0.142857 ; 0.125 ; 0.125 ; 0.0666667 ; 0.125 ; 0.142857 ; 0.125 ; 0.142857 ; 0.0666667 ; 0.142857 ; 0.0666667 ; 0.142857 ; 0.142857 ; 0.0666667
php bn:01753580n ; 0.444444 ; 0.133333 ; 0.133333 ; 0.105263 ; 1 ; 0.0833333 ; 0.111111 ; 0.0909091 ; 0.571429 ; 0.125 ; 0.333333 ; 0.125 ; 0.142857 ; 0.1 ; 0.125 ; 0.222222 ; 0.777778 ; 0.285714 ; 0.222222 ; 0.1 ; 0.125 ; 0.1 ; 0.125 ; 0.1 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.285714 ; 0.285714 ; 0.125
délimiter bn:00086464v ; 0.0909091 ; 0.333333 ; 0.333333 ; 0.25 ; 0.0833333 ; 1 ; 0.461538 ; 0.210526 ; 0.111111 ; 0.142857 ; 0.363636 ; 0.333333 ; 0.153846 ; 0.666667 ; 0.333333 ; 0.25 ; 0.0714286 ; 0.142857 ; 0.111111 ; 0.25 ; 0.142857 ; 0.25 ; 0.333333 ; 0.25 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857
nombre bn:00058285n ; 0.117647 ; 0.352941 ; 0.352941 ; 0.285714 ; 0.111111 ; 0.461538 ; 1 ; 0.153846 ; 0.133333 ; 0.0714286 ; 0.375 ; 0.153846 ; 0.1 ; 0.307692 ; 0.153846 ; 0.307692 ; 0.1 ; 0.0714286 ; 0.307692 ; 0.133333 ; 0.0714286 ; 0.133333 ; 0.153846 ; 0.133333 ; 0.153846 ; 0.0714286 ; 0.153846 ; 0.0714286 ; 0.0714286 ; 0.0714286 ; 0.0714286
text bn:14981519n ; 0.0952381 ; 0.35 ; 0.35 ; 0.47619 ; 0.0909091 ; 0.210526 ; 0.153846 ; 1 ; 0.05 ; 0.117647 ; 0.181818 ; 0.0555556 ; 0.529412 ; 0.235294 ; 0.117647 ; 0.05 ; 0.130435 ; 0.117647 ; 0.05 ; 0.105263 ; 0.117647 ; 0.105263 ; 0.117647 ; 0.235294 ; 0.117647 ; 0.0555556 ; 0.117647 ; 0.0555556 ; 0.117647 ; 0.117647 ; 0.0555556
zones bn:00005513n ; 0.25 ; 0.166667 ; 0.0769231 ; 0.0588235 ; 0.571429 ; 0.111111 ; 0.133333 ; 0.05 ; 1 ; 0.2 ; 0.444444 ; 0.2 ; 0.0833333 ; 0.142857 ; 0.2 ; 0.333333 ; 0.444444 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
passwd bn:14874750n ; 0.142857 ; 0.2 ; 0.0909091 ; 0.0666667 ; 0.125 ; 0.142857 ; 0.0714286 ; 0.117647 ; 0.2 ; 1 ; 0.1 ; 0.333333 ; 0.222222 ; 0.2 ; 0.333333 ; 0.2 ; 0.1 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
mysql bn:01225760n ; 0.153846 ; 0.461538 ; 0.266667 ; 0.210526 ; 0.333333 ; 0.363636 ; 0.375 ; 0.181818 ; 0.444444 ; 0.1 ; 1 ; 0.1 ; 0.125 ; 0.444444 ; 0.222222 ; 0.181818 ; 0.285714 ; 0.1 ; 0.181818 ; 0.181818 ; 0.1 ; 0.181818 ; 0.222222 ; 0.181818 ; 0.222222 ; 0.222222 ; 0.222222 ; 0.1 ; 0.1 ; 0.1 ; 0.1
salaire bn:15928884n ; 0.142857 ; 0.0909091 ; 0.0909091 ; 0.0666667 ; 0.125 ; 0.333333 ; 0.153846 ; 0.0555556 ; 0.2 ; 0.333333 ; 0.1 ; 1 ; 0.1 ; 0.2 ; 0.333333 ; 0.5 ; 0.1 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
site bn:00047172n ; 0.153846 ; 0.266667 ; 0.266667 ; 0.352941 ; 0.142857 ; 0.153846 ; 0.1 ; 0.529412 ; 0.0833333 ; 0.222222 ; 0.125 ; 0.1 ; 1 ; 0.181818 ; 0.222222 ; 0.0833333 ; 0.2 ; 0.222222 ; 0.0833333 ; 0.181818 ; 0.1 ; 0.181818 ; 0.222222 ; 0.181818 ; 0.222222 ; 0.1 ; 0.1 ; 0.1 ; 0.222222 ; 0.222222 ; 0.1
programmation web bn:03446093n ; 0.111111 ; 0.4 ; 0.4 ; 0.285714 ; 0.1 ; 0.666667 ; 0.307692 ; 0.235294 ; 0.142857 ; 0.2 ; 0.444444 ; 0.2 ; 0.181818 ; 1 ; 0.5 ; 0.142857 ; 0.0833333 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2
session bn:03751534n ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 0.125 ; 0.333333 ; 0.153846 ; 0.117647 ; 0.2 ; 0.333333 ; 0.222222 ; 0.333333 ; 0.222222 ; 0.5 ; 1 ; 0.2 ; 0.1 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.5 ; 1 ; 0.5 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
chaîne bn:00074685n ; 0.25 ; 0.166667 ; 0.0769231 ; 0.0588235 ; 0.222222 ; 0.25 ; 0.307692 ; 0.05 ; 0.333333 ; 0.2 ; 0.181818 ; 0.5 ; 0.0833333 ; 0.142857 ; 0.2 ; 1 ; 0.181818 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
script bn:01431715n ; 0.363636 ; 0.117647 ; 0.117647 ; 0.15 ; 0.777778 ; 0.0714286 ; 0.1 ; 0.130435 ; 0.444444 ; 0.1 ; 0.285714 ; 0.1 ; 0.2 ; 0.0833333 ; 0.1 ; 0.181818 ; 1 ; 0.222222 ; 0.181818 ; 0.0833333 ; 0.1 ; 0.0833333 ; 0.1 ; 0.0833333 ; 0.1 ; 0.222222 ; 0.1 ; 0.1 ; 0.222222 ; 0.222222 ; 0.1
serveur bn:00044916n ; 0.333333 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.285714 ; 0.142857 ; 0.0714286 ; 0.117647 ; 0.2 ; 0.333333 ; 0.1 ; 0.333333 ; 0.222222 ; 0.2 ; 0.333333 ; 0.2 ; 0.222222 ; 1 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333
type bn:00016413n ; 0.25 ; 0.166667 ; 0.166667 ; 0.125 ; 0.222222 ; 0.111111 ; 0.307692 ; 0.05 ; 0.333333 ; 0.2 ; 0.181818 ; 0.2 ; 0.0833333 ; 0.142857 ; 0.2 ; 0.333333 ; 0.181818 ; 0.2 ; 1 ; 0.142857 ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
classes bn:03608262n ; 0.25 ; 0.166667 ; 0.166667 ; 0.125 ; 0.1 ; 0.25 ; 0.133333 ; 0.105263 ; 0.142857 ; 0.2 ; 0.181818 ; 0.2 ; 0.181818 ; 0.333333 ; 0.5 ; 0.142857 ; 0.0833333 ; 0.2 ; 0.142857 ; 1 ; 0.2 ; 1 ; 0.5 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.5
fonctionnalité bn:00036836n ; 0.142857 ; 0.0909091 ; 0.0909091 ; 0.0666667 ; 0.125 ; 0.142857 ; 0.0714286 ; 0.117647 ; 0.2 ; 0.333333 ; 0.1 ; 0.333333 ; 0.1 ; 0.2 ; 0.333333 ; 0.2 ; 0.1 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
header bn:00043309n ; 0.25 ; 0.166667 ; 0.166667 ; 0.125 ; 0.1 ; 0.25 ; 0.133333 ; 0.105263 ; 0.142857 ; 0.2 ; 0.181818 ; 0.2 ; 0.181818 ; 0.333333 ; 0.5 ; 0.142857 ; 0.0833333 ; 0.2 ; 0.142857 ; 1 ; 0.2 ; 1 ; 0.5 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.5
sauvegarder bn:00093281v ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 0.125 ; 0.333333 ; 0.153846 ; 0.117647 ; 0.2 ; 0.333333 ; 0.222222 ; 0.333333 ; 0.222222 ; 0.5 ; 1 ; 0.2 ; 0.1 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.5 ; 1 ; 0.5 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
web bn:00080772n ; 0.111111 ; 0.166667 ; 0.166667 ; 0.125 ; 0.1 ; 0.25 ; 0.133333 ; 0.235294 ; 0.142857 ; 0.2 ; 0.181818 ; 0.2 ; 0.181818 ; 0.333333 ; 0.5 ; 0.142857 ; 0.0833333 ; 0.2 ; 0.142857 ; 0.333333 ; 0.5 ; 0.333333 ; 0.5 ; 1 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
positionnement bn:00030615n ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 0.125 ; 0.333333 ; 0.153846 ; 0.117647 ; 0.2 ; 0.333333 ; 0.222222 ; 0.333333 ; 0.222222 ; 0.5 ; 1 ; 0.2 ; 0.1 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.5 ; 1 ; 0.5 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
exe bn:14503132n ; 0.142857 ; 0.0909091 ; 0.0909091 ; 0.0666667 ; 0.285714 ; 0.142857 ; 0.0714286 ; 0.0555556 ; 0.5 ; 0.333333 ; 0.222222 ; 0.333333 ; 0.1 ; 0.2 ; 0.333333 ; 0.2 ; 0.222222 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
head bn:02338897n ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 0.125 ; 0.333333 ; 0.153846 ; 0.117647 ; 0.2 ; 0.333333 ; 0.222222 ; 0.333333 ; 0.1 ; 0.5 ; 0.333333 ; 0.2 ; 0.1 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
attribut bn:00007068n ; 0.333333 ; 0.0909091 ; 0.0909091 ; 0.0666667 ; 0.125 ; 0.142857 ; 0.0714286 ; 0.0555556 ; 0.2 ; 0.333333 ; 0.1 ; 0.333333 ; 0.1 ; 0.2 ; 0.333333 ; 0.2 ; 0.1 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1
valeur bn:00079508n ; 0.333333 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.285714 ; 0.142857 ; 0.0714286 ; 0.117647 ; 0.2 ; 0.333333 ; 0.1 ; 0.333333 ; 0.222222 ; 0.2 ; 0.333333 ; 0.2 ; 0.222222 ; 1 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333
moteur bn:00030850n ; 0.333333 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.285714 ; 0.142857 ; 0.0714286 ; 0.117647 ; 0.2 ; 0.333333 ; 0.1 ; 0.333333 ; 0.222222 ; 0.2 ; 0.333333 ; 0.2 ; 0.222222 ; 1 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333
accéder bn:00082209v ; 0.333333 ; 0.0909091 ; 0.0909091 ; 0.0666667 ; 0.125 ; 0.142857 ; 0.0714286 ; 0.0555556 ; 0.2 ; 0.333333 ; 0.1 ; 0.333333 ; 0.1 ; 0.2 ; 0.333333 ; 0.2 ; 0.1 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1
