X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
page web bn:00080778n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
navigateur bn:00013447n ; 0.0714286 ; 0 ; 0 ; 0 ; 0 ; 0.0714286 ; 0 ; 0 ; 0 ; 0 ; 0
serveur web bn:02705179n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.107143 ; 0 ; 0 ; 0 ; 0.142857 ; 0.107143
php bn:01753580n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0
javascript bn:00055423n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0
texte bn:00076732n ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
concerner bn:00083240v ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
commentaire bn:00020978n ; 0 ; 0 ; 0 ; 0.0714286 ; 0 ; 0 ; 0.0714286 ; 0 ; 0 ; 0 ; 0
délimiter bn:00086464v ; 0.0714286 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0714286 ; 0 ; 0 ; 0 ; 0
gras bn:00011848n ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
fois bn:00032768n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0
lien hypertextes bn:00045513n ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
url bn:00079080n ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
case à cocher bn:03157691n ; 0 ; 0 ; 0 ; 0 ; 0.0714286 ; 0 ; 0.0714286 ; 0 ; 0 ; 0 ; 0
post bn:01500184n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
text bn:14981519n ; 0 ; 0 ; 0.107143 ; 0.0714286 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.142857 ; 0.107143
langage bn:00049910n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0
