X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
C1 ; 1 ; 0.1 ; 0.125 ; 0.111111 ; 0.25 ; 0.222222 ; 0.25 ; 0.111111 ; 0.142857 ; 0.0909091 ; 0.1
C12 ; 0.1 ; 1 ; 0.111111 ; 0.222222 ; 0.222222 ; 0.0909091 ; 0.1 ; 0.571429 ; 0.125 ; 0.0833333 ; 0.2
C13 ; 0.125 ; 0.111111 ; 1 ; 0.285714 ; 0.125 ; 0.111111 ; 0.125 ; 0.125 ; 0.166667 ; 0.375 ; 0.25
C14 ; 0.111111 ; 0.222222 ; 0.285714 ; 1 ; 0.111111 ; 0.1 ; 0.25 ; 0.25 ; 0.142857 ; 0.2 ; 0.222222
C16 ; 0.25 ; 0.222222 ; 0.125 ; 0.111111 ; 1 ; 0.1 ; 0.25 ; 0.111111 ; 0.142857 ; 0.0909091 ; 0.1
C18 ; 0.222222 ; 0.0909091 ; 0.111111 ; 0.1 ; 0.1 ; 1 ; 0.1 ; 0.1 ; 0.285714 ; 0.3 ; 0.2
C2 ; 0.25 ; 0.1 ; 0.125 ; 0.25 ; 0.25 ; 0.1 ; 1 ; 0.111111 ; 0.142857 ; 0.0909091 ; 0.1
C4 ; 0.111111 ; 0.571429 ; 0.125 ; 0.25 ; 0.111111 ; 0.1 ; 0.111111 ; 1 ; 0.142857 ; 0.0909091 ; 0.222222
C7 ; 0.142857 ; 0.125 ; 0.166667 ; 0.142857 ; 0.142857 ; 0.285714 ; 0.142857 ; 0.142857 ; 1 ; 0.111111 ; 0.125
C8 ; 0.0909091 ; 0.0833333 ; 0.375 ; 0.2 ; 0.0909091 ; 0.3 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 1 ; 0.444444
C9 ; 0.1 ; 0.2 ; 0.25 ; 0.222222 ; 0.1 ; 0.2 ; 0.1 ; 0.222222 ; 0.125 ; 0.444444 ; 1
