X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
page web bn:00080778n ; 0 ; 0.0765306 ; 0.119048 ; 0.0698925 ; 0 ; 0.0872483 ; 0 ; 0 ; 0 ; 0.104 ; 0
page web statiques bn:03576307n ; 0.00680272 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
navigateur bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00628931 ; 0 ; 0 ; 0
serveur web bn:02705179n ; 0 ; 0.27037 ; 0.246575 ; 0.298039 ; 0.243137 ; 0.289474 ; 0.266667 ; 0.276 ; 0 ; 0 ; 0.264085
fichier bn:00021475n ; 0.0925926 ; 0.0757576 ; 0.117188 ; 0 ; 0 ; 0.100671 ; 0 ; 0 ; 0 ; 0.129032 ; 0
disque dur bn:00073359n ; 0.0135135 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.025641 ; 0 ; 0
client serveur bn:03496583n ; 0.0802469 ; 0 ; 0 ; 0.0756757 ; 0.0818713 ; 0.0872483 ; 0 ; 0 ; 0 ; 0 ; 0.0707547
base de donnée bn:00025333n ; 0.0519481 ; 0 ; 0.0666667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0683761 ; 0.038835
donnée bn:00025314n ; 0.0135135 ; 0 ; 0.0175439 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
ensemble bn:00114766r ; 0.0135135 ; 0 ; 0 ; 0.0116279 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
php bn:01753580n ; 0.0519481 ; 0 ; 0 ; 0 ; 0 ; 0.0567376 ; 0 ; 0.0481928 ; 0 ; 0 ; 0.038835
javascript bn:00055423n ; 0.282158 ; 0.259124 ; 0.267281 ; 0.326693 ; 0.281124 ; 0 ; 0.274074 ; 0.27381 ; 0 ; 0 ; 0.25784
perl bn:01723165n ; 0.0519481 ; 0.0421053 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0481928 ; 0 ; 0 ; 0.038835
python bn:01713224n ; 0.00680272 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
java bn:00048043n ; 0.157895 ; 0.153153 ; 0.141104 ; 0.178744 ; 0.185567 ; 0 ; 0.180556 ; 0 ; 0.181102 ; 0 ; 0
code bn:00020354n ; 0.119318 ; 0.109524 ; 0 ; 0.116162 ; 0.15 ; 0 ; 0.131707 ; 0 ; 0.198113 ; 0 ; 0
code source bn:00072947n ; 0.0519481 ; 0.0421053 ; 0.0666667 ; 0.0449438 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
