X ; C1 ; C12 ; C13 ; C14 ; C16 ; C18 ; C2 ; C4 ; C7 ; C8 ; C9
C1 ; 1 ; 0.256906 ; 0.197232 ; 0.259939 ; 0.238532 ; 0.190789 ; 0.288571 ; 0.220544 ; 0.1875 ; 0.180921 ; 0.28453
C12 ; 0.256906 ; 1 ; 0.218069 ; 0.336257 ; 0.339286 ; 0.197059 ; 0.351499 ; 0.309038 ; 0.277228 ; 0.20597 ; 0.317829
C13 ; 0.197232 ; 0.218069 ; 1 ; 0.270073 ; 0.136667 ; 0.150579 ; 0.240385 ; 0.236364 ; 0.103175 ; 0.152344 ; 0.15896
C14 ; 0.259939 ; 0.336257 ; 0.270073 ; 1 ; 0.312903 ; 0.133956 ; 0.372727 ; 0.305466 ; 0.150502 ; 0.138801 ; 0.275956
C16 ; 0.238532 ; 0.339286 ; 0.136667 ; 0.312903 ; 1 ; 0.20202 ; 0.331343 ; 0.231481 ; 0.18662 ; 0.183946 ; 0.314286
C18 ; 0.190789 ; 0.197059 ; 0.150579 ; 0.133956 ; 0.20202 ; 1 ; 0.168116 ; 0.186667 ; 0.15748 ; 0.169173 ; 0.315457
C2 ; 0.288571 ; 0.351499 ; 0.240385 ; 0.372727 ; 0.331343 ; 0.168116 ; 1 ; 0.30117 ; 0.293919 ; 0.197605 ; 0.375
C4 ; 0.220544 ; 0.309038 ; 0.236364 ; 0.305466 ; 0.231481 ; 0.186667 ; 0.30117 ; 1 ; 0.146758 ; 0.172757 ; 0.318966
C7 ; 0.1875 ; 0.277228 ; 0.103175 ; 0.150502 ; 0.18662 ; 0.15748 ; 0.293919 ; 0.146758 ; 1 ; 0.150198 ; 0.188623
C8 ; 0.180921 ; 0.20597 ; 0.152344 ; 0.138801 ; 0.183946 ; 0.169173 ; 0.197605 ; 0.172757 ; 0.150198 ; 1 ; 0.235821
C9 ; 0.28453 ; 0.317829 ; 0.15896 ; 0.275956 ; 0.314286 ; 0.315457 ; 0.375 ; 0.318966 ; 0.188623 ; 0.235821 ; 1
