Objects;Weight
php bn:01753580n;0.0444444
mysql bn:01225760n;0.333333
texte bn:00076732n;0.0444444
fichier bn:00021475n;0.0444444
données bn:00025314n;0.0888889
types bn:00016413n;0.616667
session bn:03751534n;0.177778
base de donnees bn:00025333n;0.172222
entités bn:00031027n;0.311111
site bn:00047172n;0.0444444
client web bn:00013447n;0.0888889
langage de script bn:01431715n;0.0444444
nombre bn:00058285n;0.0444444
sélectionner bn:00084931v;0.0444444
post bn:01500184n;0.172222
méthode get bn:00045088n;0.322222
code bn:00020354n;0.177778
utilisateur bn:00079373n;0.561111
afficher bn:00087013v;0.0888889
nécessaire bn:00107182a;0.0888889
serveur bn:00044916n;0.0222222
fois bn:00032768n;0.338889
programmation bn:00021493n;0.311111
class bn:03598962n;0.0888889
commentaires bn:00020978n;0.177778
composer bn:14766022n;0.166667
chaîne bn:00074685n;0.172222
syntaxe bn:00062118n;0.616667
hiérarchie bn:00044017n;0.0111111
définition bn:00025928n;0.572222
langage bn:00049910n;0.177778
mise bn:00016287n;0.0888889
mode bn:00033729n;0.616667
configuration bn:03088982n;0.177778
xml bn:02771436n;0.0888889
postgresql bn:01709156n;0.0888889
web bn:00080772n;0.177778
méthode bn:01641329n;0.0888889
bits bn:00010731n;0.172222
foreach bn:03463379n;0.338889
pouvoir bn:00084450v;0.0222222
information bn:00046705n;0.172222
timestamp bn:03603649n;0.0444444
easyphp bn:14837849n;0.0888889
pouvoir bn:00084451v;0.0222222
impossible bn:00104687a;0.0888889
public bn:00109211a;0.0888889
en-tête bn:00043309n;0.166667
client bn:00019764n;0.177778
java bn:00048043n;0.333333
file bn:00065682n;0.166667
echo bn:03626250n;0.0222222
rue bn:00074595n;0.0111111
void bn:01326821n;0.0111111
classe bn:03608262n;0.333333
exception bn:00032118n;0.0222222
wamp bn:01708928n;0.0222222
symfony bn:02798620n;0.0111111
doctype bn:15839327n;0.0111111
environnement de développement bn:00748100n;0.0111111
realisateur bn:00027369n;0.0111111
