X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
php bn:01753580n ; 0.25 ; 0 ; 0.222222 ; 0 ; 0 ; 0 ; 0 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.272727 ; 0 ; 0 ; 0.1875 ; 0 ; 0.235294
fichier bn:00021475n ; 0.3 ; 0 ; 0 ; 0 ; 0 ; 0.1875 ; 0 ; 0.235294
données bn:00025314n ; 0 ; 0 ; 0 ; 0.307692 ; 0.230769 ; 0.375 ; 0 ; 0.333333
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.2 ; 0.2 ; 0 ; 0.25
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.230769 ; 0.294118 ; 0.307692 ; 0.333333
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.272727 ; 0 ; 0.266667 ; 0.272727 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.272727 ; 0 ; 0.266667 ; 0 ; 0.166667
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.125 ; 0
afficher bn:00087013v ; 0.363636 ; 0 ; 0.333333 ; 0 ; 0.153846 ; 0 ; 0 ; 0.277778
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.222222 ; 0.125
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.222222 ; 0 ; 0.142857 ; 0 ; 0
hiérarchie bn:00044017n ; 0.142857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
pouvoir bn:00084451v ; 0 ; 0.285714 ; 0 ; 0 ; 0 ; 0 ; 0.222222 ; 0
echo bn:03626250n ; 0 ; 0.285714 ; 0 ; 0.222222 ; 0 ; 0 ; 0 ; 0
rue bn:00074595n ; 0 ; 0 ; 0.125 ; 0 ; 0 ; 0 ; 0 ; 0
void bn:01326821n ; 0 ; 0.166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
exception bn:00032118n ; 0 ; 0.285714 ; 0.222222 ; 0 ; 0 ; 0 ; 0 ; 0
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0.125 ; 0 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.125 ; 0 ; 0 ; 0 ; 0
environnement de développement bn:00748100n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0666667
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0769231 ; 0 ; 0
