Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;4;0;6;;C11,C17,C19,C5,C6,CJA,;
1;1;1;1;php bn:01753580n,;C11,;
2;3;1;3;texte bn:00076732n,;C17,C5,CJA,;
3;3;1;3;nombre bn:00058285n,;C19,C5,CJA,;
4;2;1;2;serveur bn:00044916n,;C6,CJA,;
5;2;2;2;texte bn:00076732n,nombre bn:00058285n,;C5,CJA,;
6;2;2;2;nombre bn:00058285n,chaîne bn:00074685n,;C19,C5,;
7;1;2;1;code bn:00020354n,serveur bn:00044916n,;C6,;
8;1;3;1;texte bn:00076732n,nombre bn:00058285n,chaîne bn:00074685n,;C5,;
9;1;4;1;texte bn:00076732n,fichier bn:00021475n,nombre bn:00058285n,serveur bn:00044916n,;CJA,;
10;0;7;0;php bn:01753580n,texte bn:00076732n,fichier bn:00021475n,nombre bn:00058285n,code bn:00020354n,serveur bn:00044916n,chaîne bn:00074685n,;;
