X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
éducation bn:00026980n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
technologie bn:00005105n ; 0 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
javascript bn:00055423n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00775194
php bn:01753580n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00775194
mysql bn:01225760n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00775194
juin bn:00048592n ; 0 ; 0 ; 0 ; 0.030303 ; 0 ; 0 ; 0.030303 ; 0.030303
secondaire bn:00096261a ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
bouton bn:03843242n ; 0 ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235
simple bn:00110649a ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
bouton radio bn:03157702n ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0.111111
radio bn:00065899n ; 0 ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0.0588235 ; 0 ; 0.0588235
bouton de réinitialisation bn:00067307n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
réinitialisation bn:00067306n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
case à cocher bn:03157691n ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0.111111
cocher bn:00017986n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
elements bn:02258198n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
focus bn:03248918n ; 0 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2
fonction choix bn:00640192n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
localisation bn:03977550n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
