X ; php bn:01753580n ; mysql bn:01225760n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; types bn:00016413n ; session bn:03751534n ; base de donnees bn:00025333n ; entités bn:00031027n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; sélectionner bn:00084931v ; post bn:01500184n ; méthode get bn:00045088n ; code bn:00020354n ; utilisateur bn:00079373n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; fois bn:00032768n ; programmation bn:00021493n ; class bn:03598962n ; commentaires bn:00020978n ; composer bn:14766022n ; chaîne bn:00074685n ; syntaxe bn:00062118n ; personne bn:00046516n ; hiérarchie bn:00044017n ; définition bn:00025928n ; langage bn:00049910n ; mise bn:00016287n ; mode bn:00033729n ; configuration bn:03088982n ; xml bn:02771436n ; postgresql bn:01709156n ; web bn:00080772n ; méthode bn:01641329n ; bits bn:00010731n ; foreach bn:03463379n ; pouvoir bn:00084450v ; information bn:00046705n ; timestamp bn:03603649n ; easyphp bn:14837849n ; pouvoir bn:00084451v ; impossible bn:00104687a ; public bn:00109211a ; en-tête bn:00043309n ; client bn:00019764n ; java bn:00048043n ; file bn:00065682n ; echo bn:03626250n ; rue bn:00074595n ; void bn:01326821n ; classe bn:03608262n ; exception bn:00032118n ; wamp bn:01708928n ; symfony bn:02798620n ; doctype bn:15839327n ; environnement de développement bn:00748100n ; realisateur bn:00027369n ; informatique bn:00100175a
php bn:01753580n ; 1 ; 0.0625 ; 0.142857 ; 0.210526 ; 0.0540541 ; 0.0380952 ; 0.111111 ; 0.0540541 ; 0.0540541 ; 0.0666667 ; 0.0666667 ; 0.142857 ; 0.0666667 ; 0.142857 ; 0.0655738 ; 0.145455 ; 0.117647 ; 0.08 ; 0.2 ; 0.0909091 ; 0.031746 ; 0.031746 ; 0.142857 ; 0.0909091 ; 0.0526316 ; 0.258065 ; 0.0909091 ; 0.031746 ; 0.142857 ; 0.25 ; 0.0833333 ; 0.0263158 ; 0.2 ; 0.0380952 ; 0.111111 ; 0.5 ; 0.2 ; 0.0555556 ; 0.2 ; 0.0540541 ; 0.0655738 ; 0.2 ; 0.0540541 ; 0.142857 ; 0.0909091 ; 0.111111 ; 0.0434783 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.0625 ; 0.0909091 ; 0.0909091 ; 0.25 ; 0.111111 ; 0.0625 ; 0.2 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.0909091
mysql bn:01225760n ; 0.0625 ; 1 ; 0.0625 ; 0.056338 ; 0.213333 ; 0.248062 ; 0.210526 ; 0.213333 ; 0.213333 ; 0.0625 ; 0.0625 ; 0.133333 ; 0.0625 ; 0.0625 ; 0.158416 ; 0.161616 ; 0.097561 ; 0.25 ; 0.0555556 ; 0.117647 ; 0.158416 ; 0.158416 ; 0.348837 ; 0.117647 ; 0.210526 ; 0.0963855 ; 0.0666667 ; 0.158416 ; 0.0625 ; 0.0163934 ; 0.258065 ; 0.213333 ; 0.117647 ; 0.248062 ; 0.210526 ; 0.117647 ; 0.117647 ; 0.216216 ; 0.117647 ; 0.0963855 ; 0.158416 ; 0.0322581 ; 0.213333 ; 0.0625 ; 0.117647 ; 0.0333333 ; 0.117647 ; 0.117647 ; 0.210526 ; 0.266667 ; 1 ; 0.117647 ; 0.0666667 ; 0.0333333 ; 0.0333333 ; 1 ; 0.0666667 ; 0.0666667 ; 0.0333333 ; 0.0333333 ; 0.0163934 ; 0.0333333 ; 0.0322581
texte bn:00076732n ; 0.142857 ; 0.0625 ; 1 ; 0.210526 ; 0.258065 ; 0.0380952 ; 0.0526316 ; 0.258065 ; 0.258065 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.0655738 ; 0.0677966 ; 0.117647 ; 0.08 ; 0.2 ; 0.0909091 ; 0.0655738 ; 0.0655738 ; 0.0666667 ; 0.0909091 ; 0.0526316 ; 0.114286 ; 0.2 ; 0.0655738 ; 0.142857 ; 0.111111 ; 0.0833333 ; 0.114286 ; 0.0434783 ; 0.0380952 ; 0.0526316 ; 0.0909091 ; 0.0909091 ; 0.0555556 ; 0.0909091 ; 0.114286 ; 0.0655738 ; 0.0909091 ; 0.258065 ; 0.142857 ; 0.0434783 ; 0.111111 ; 0.2 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.0625 ; 0.2 ; 0.0909091 ; 0.25 ; 0.111111 ; 0.0625 ; 0.2 ; 0.2 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.5
fichier bn:00021475n ; 0.210526 ; 0.056338 ; 0.210526 ; 1 ; 0.0952381 ; 0.148515 ; 0.205128 ; 0.0952381 ; 0.0952381 ; 0.210526 ; 0.210526 ; 0.210526 ; 0.210526 ; 0.210526 ; 0.263158 ; 0.129032 ; 0.5 ; 0.15 ; 0.148148 ; 0.148148 ; 0.125 ; 0.125 ; 0.126984 ; 0.148148 ; 0.0930233 ; 0.210526 ; 0.117647 ; 0.125 ; 0.210526 ; 0.133333 ; 0.15625 ; 0.0952381 ; 0.148148 ; 0.148515 ; 0.0444444 ; 0.148148 ; 0.0689655 ; 0.097561 ; 0.347826 ; 0.210526 ; 0.263158 ; 0.117647 ; 0.0952381 ; 0.210526 ; 0.0689655 ; 0.0625 ; 0.148148 ; 0.148148 ; 0.0930233 ; 0.0333333 ; 0.056338 ; 0.0689655 ; 0.0555556 ; 0.0625 ; 0.0625 ; 0.056338 ; 0.0555556 ; 0.117647 ; 0.0625 ; 0.0625 ; 0.133333 ; 0.133333 ; 0.266667
données bn:00025314n ; 0.0540541 ; 0.213333 ; 0.258065 ; 0.0952381 ; 1 ; 0.137931 ; 0.145455 ; 1 ; 0.347826 ; 0.258065 ; 0.258065 ; 0.114286 ; 0.258065 ; 0.0540541 ; 0.1 ; 0.228571 ; 0.0701754 ; 0.13913 ; 0.205128 ; 0.0930233 ; 0.222222 ; 0.222222 ; 0.101266 ; 0.0930233 ; 0.145455 ; 0.0689655 ; 0.129032 ; 0.222222 ; 0.114286 ; 0.03125 ; 0.322917 ; 0.347826 ; 0.0444444 ; 0.137931 ; 0.145455 ; 0.0930233 ; 0.0930233 ; 0.150943 ; 0.0930233 ; 0.148148 ; 0.1 ; 0.0294118 ; 1 ; 0.0540541 ; 0.0930233 ; 0.03125 ; 0.205128 ; 0.0930233 ; 0.145455 ; 0.205128 ; 0.213333 ; 0.205128 ; 0.0606061 ; 0.0645161 ; 0.03125 ; 0.213333 ; 0.0606061 ; 0.129032 ; 0.0645161 ; 0.0645161 ; 0.0645161 ; 0.0645161 ; 0.129032
types bn:00016413n ; 0.0380952 ; 0.248062 ; 0.0380952 ; 0.148515 ; 0.137931 ; 1 ; 0.316832 ; 0.137931 ; 0.137931 ; 0.0792079 ; 0.0792079 ; 0.0792079 ; 0.0792079 ; 0.0792079 ; 0.564356 ; 0.228346 ; 0.29703 ; 0.395833 ; 0.0733945 ; 0.158416 ; 0.564356 ; 0.564356 ; 0.246032 ; 0.158416 ; 0.316832 ; 0.137931 ; 0.039604 ; 0.564356 ; 0.0792079 ; 0.019802 ; 0.387324 ; 0.306931 ; 0.158416 ; 1 ; 0.136752 ; 0.0733945 ; 0.0733945 ; 0.29703 ; 0.158416 ; 0.306931 ; 0.564356 ; 0.039604 ; 0.137931 ; 0.0792079 ; 0.158416 ; 0.019802 ; 0.158416 ; 0.158416 ; 0.136752 ; 0.0733945 ; 0.248062 ; 0.0733945 ; 0.039604 ; 0.00980392 ; 0.019802 ; 0.248062 ; 0.0194175 ; 0.039604 ; 0.019802 ; 0.019802 ; 0.019802 ; 0.019802 ; 0.039604
session bn:03751534n ; 0.111111 ; 0.210526 ; 0.0526316 ; 0.205128 ; 0.145455 ; 0.316832 ; 1 ; 0.145455 ; 0.0677966 ; 0.111111 ; 0.111111 ; 0.25 ; 0.111111 ; 0.0526316 ; 0.219178 ; 0.225352 ; 0.148148 ; 0.137931 ; 0.0909091 ; 0.0909091 ; 0.219178 ; 0.219178 ; 0.222222 ; 0.2 ; 0.333333 ; 0.0677966 ; 0.125 ; 0.219178 ; 0.25 ; 0.0625 ; 0.333333 ; 0.145455 ; 0.2 ; 0.316832 ; 0.142857 ; 0.2 ; 0.0909091 ; 0.148148 ; 0.5 ; 0.145455 ; 0.219178 ; 0.0588235 ; 0.145455 ; 0.111111 ; 0.2 ; 0.030303 ; 0.0909091 ; 0.2 ; 0.0666667 ; 0.0909091 ; 0.210526 ; 0.0434783 ; 0.0588235 ; 0.030303 ; 0.030303 ; 0.210526 ; 0.0285714 ; 0.125 ; 0.0625 ; 0.0625 ; 0.030303 ; 0.0625 ; 0.0588235
base de donnees bn:00025333n ; 0.0540541 ; 0.213333 ; 0.258065 ; 0.0952381 ; 1 ; 0.137931 ; 0.145455 ; 1 ; 0.347826 ; 0.258065 ; 0.258065 ; 0.114286 ; 0.258065 ; 0.0540541 ; 0.1 ; 0.228571 ; 0.0701754 ; 0.13913 ; 0.205128 ; 0.0930233 ; 0.222222 ; 0.222222 ; 0.101266 ; 0.0930233 ; 0.145455 ; 0.0689655 ; 0.129032 ; 0.222222 ; 0.114286 ; 0.03125 ; 0.322917 ; 0.347826 ; 0.0444444 ; 0.137931 ; 0.145455 ; 0.0930233 ; 0.0930233 ; 0.150943 ; 0.0930233 ; 0.148148 ; 0.1 ; 0.0294118 ; 1 ; 0.0540541 ; 0.0930233 ; 0.03125 ; 0.205128 ; 0.0930233 ; 0.145455 ; 0.205128 ; 0.213333 ; 0.205128 ; 0.0606061 ; 0.0645161 ; 0.03125 ; 0.213333 ; 0.0606061 ; 0.129032 ; 0.0645161 ; 0.0645161 ; 0.0645161 ; 0.0645161 ; 0.129032
entités bn:00031027n ; 0.0540541 ; 0.213333 ; 0.258065 ; 0.0952381 ; 0.347826 ; 0.137931 ; 0.0677966 ; 0.347826 ; 1 ; 0.258065 ; 0.258065 ; 0.0540541 ; 0.114286 ; 0.114286 ; 0.222222 ; 0.102564 ; 0.150943 ; 0.31 ; 0.205128 ; 0.205128 ; 0.222222 ; 0.222222 ; 0.101266 ; 0.0930233 ; 0.145455 ; 0.148148 ; 0.0606061 ; 0.222222 ; 0.114286 ; 0.03125 ; 0.144144 ; 0.347826 ; 0.0930233 ; 0.137931 ; 0.145455 ; 0.0930233 ; 0.0930233 ; 0.150943 ; 0.0444444 ; 0.347826 ; 0.222222 ; 0.0606061 ; 0.347826 ; 0.114286 ; 0.0930233 ; 0.0645161 ; 0.516129 ; 0.205128 ; 0.340426 ; 0.205128 ; 0.213333 ; 0.205128 ; 0.0606061 ; 0.0645161 ; 0.0645161 ; 0.213333 ; 0.129032 ; 0.129032 ; 0.03125 ; 0.03125 ; 0.0645161 ; 0.0645161 ; 0.129032
site bn:00047172n ; 0.0666667 ; 0.0625 ; 0.333333 ; 0.210526 ; 0.258065 ; 0.0792079 ; 0.111111 ; 0.258065 ; 0.258065 ; 1 ; 1 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.140351 ; 0.0677966 ; 0.117647 ; 0.08 ; 0.2 ; 0.2 ; 0.140351 ; 0.140351 ; 0.0322581 ; 0.0909091 ; 0.111111 ; 0.0540541 ; 0.2 ; 0.140351 ; 0.333333 ; 0.111111 ; 0.0833333 ; 0.258065 ; 0.0909091 ; 0.0792079 ; 0.0526316 ; 0.0909091 ; 0.0434783 ; 0.117647 ; 0.0909091 ; 0.258065 ; 0.140351 ; 0.0909091 ; 0.258065 ; 0.142857 ; 0.0909091 ; 0.111111 ; 0.5 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.0625 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.0625 ; 0.0909091 ; 0.5 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.5
