X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
php bn:01753580n ; 0.0117647 ; 0 ; 0.0117647 ; 0 ; 0 ; 0 ; 0 ; 0
mysql bn:01225760n ; 0 ; 0.164706 ; 0.164706 ; 0.164706 ; 0.176471 ; 0.176471 ; 0.176471 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.0235294 ; 0 ; 0 ; 0.0235294 ; 0 ; 0.0235294
fichier bn:00021475n ; 0.0470588 ; 0 ; 0 ; 0 ; 0 ; 0.0411765 ; 0.0411765 ; 0.0411765
données bn:00025314n ; 0 ; 0 ; 0.0882353 ; 0.0882353 ; 0.0941176 ; 0.0882353 ; 0 ; 0.0882353
types bn:00016413n ; 0.282353 ; 0.270588 ; 0 ; 0.258824 ; 0.311765 ; 0.288235 ; 0.258824 ; 0.241176
session bn:03751534n ; 0.0941176 ; 0 ; 0 ; 0.0941176 ; 0.0941176 ; 0.0941176 ; 0.0941176 ; 0
base de donnees bn:00025333n ; 0 ; 0 ; 0.0882353 ; 0.0882353 ; 0.0941176 ; 0.0882353 ; 0 ; 0.0882353
entités bn:00031027n ; 0 ; 0.0882353 ; 0.0882353 ; 0 ; 0.0941176 ; 0.0882353 ; 0 ; 0.0882353
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.0235294 ; 0.0235294 ; 0 ; 0.0235294
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.0235294 ; 0.0235294 ; 0 ; 0.0235294
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.0235294 ; 0 ; 0.0235294 ; 0.0235294 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0235294 ; 0 ; 0.0235294 ; 0 ; 0.0235294
sélectionner bn:00084931v ; 0 ; 0.0235294 ; 0 ; 0 ; 0 ; 0 ; 0.0235294 ; 0.0235294
post bn:01500184n ; 0.170588 ; 0.158824 ; 0 ; 0 ; 0.158824 ; 0.158824 ; 0.152941 ; 0.152941
méthode get bn:00045088n ; 0.152941 ; 0 ; 0.152941 ; 0.135294 ; 0.170588 ; 0 ; 0.152941 ; 0.141176
code bn:00020354n ; 0.0941176 ; 0.0882353 ; 0 ; 0 ; 0 ; 0.0823529 ; 0.0823529 ; 0.0823529
utilisateur bn:00079373n ; 0.264706 ; 0.270588 ; 0.252941 ; 0 ; 0.282353 ; 0.247059 ; 0.282353 ; 0.258824
afficher bn:00087013v ; 0.0470588 ; 0 ; 0.0470588 ; 0 ; 0.0470588 ; 0 ; 0 ; 0.0470588
nécessaire bn:00107182a ; 0 ; 0.0470588 ; 0 ; 0 ; 0.0470588 ; 0 ; 0.0470588 ; 0.0470588
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00588235
fois bn:00032768n ; 0.152941 ; 0.158824 ; 0 ; 0.152941 ; 0.176471 ; 0.170588 ; 0 ; 0.147059
programmation bn:00021493n ; 0.152941 ; 0.152941 ; 0.147059 ; 0.152941 ; 0 ; 0.158824 ; 0.170588 ; 0
class bn:03598962n ; 0.0470588 ; 0.0470588 ; 0 ; 0.0470588 ; 0 ; 0.0470588 ; 0 ; 0
commentaires bn:00020978n ; 0.0941176 ; 0.0941176 ; 0 ; 0.0941176 ; 0.0941176 ; 0.0941176 ; 0 ; 0
composer bn:14766022n ; 0.0882353 ; 0.0882353 ; 0.0882353 ; 0 ; 0 ; 0 ; 0.0941176 ; 0.0882353
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.0117647 ; 0 ; 0.0117647 ; 0 ; 0
syntaxe bn:00062118n ; 0.152941 ; 0.158824 ; 0 ; 0.152941 ; 0.176471 ; 0.170588 ; 0 ; 0.147059
personne bn:00046516n ; 0.0235294 ; 0 ; 0 ; 0 ; 0.0235294 ; 0.0235294 ; 0 ; 0
hiérarchie bn:00044017n ; 0.00588235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
définition bn:00025928n ; 0.258824 ; 0 ; 0.241176 ; 0.247059 ; 0.3 ; 0.241176 ; 0.264706 ; 0.229412
langage bn:00049910n ; 0 ; 0.0882353 ; 0 ; 0.0882353 ; 0.0941176 ; 0.0882353 ; 0 ; 0.0882353
mise bn:00016287n ; 0.0470588 ; 0.0470588 ; 0 ; 0 ; 0.0470588 ; 0 ; 0.0470588 ; 0
mode bn:00033729n ; 0.282353 ; 0.270588 ; 0 ; 0.258824 ; 0.311765 ; 0.288235 ; 0.258824 ; 0.241176
configuration bn:03088982n ; 0.0941176 ; 0.0941176 ; 0.0941176 ; 0.0941176 ; 0.0941176 ; 0 ; 0 ; 0
xml bn:02771436n ; 0.0470588 ; 0 ; 0.0470588 ; 0 ; 0.0470588 ; 0 ; 0.0470588 ; 0
postgresql bn:01709156n ; 0.0470588 ; 0.0470588 ; 0.0470588 ; 0.0470588 ; 0 ; 0 ; 0 ; 0
web bn:00080772n ; 0 ; 0.0882353 ; 0 ; 0.0823529 ; 0.0941176 ; 0 ; 0.0823529 ; 0.0823529
méthode bn:01641329n ; 0.0470588 ; 0 ; 0 ; 0.0470588 ; 0 ; 0.0470588 ; 0.0470588 ; 0
bits bn:00010731n ; 0.0882353 ; 0.0882353 ; 0 ; 0 ; 0.0882353 ; 0.0941176 ; 0 ; 0.0882353
foreach bn:03463379n ; 0.170588 ; 0.158824 ; 0 ; 0 ; 0.158824 ; 0.158824 ; 0.152941 ; 0.152941
pouvoir bn:00084450v ; 0.0117647 ; 0.0117647 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
information bn:00046705n ; 0 ; 0 ; 0.0882353 ; 0.0882353 ; 0.0941176 ; 0.0882353 ; 0 ; 0.0882353
timestamp bn:03603649n ; 0.0235294 ; 0.0235294 ; 0 ; 0 ; 0 ; 0.0235294 ; 0 ; 0
easyphp bn:14837849n ; 0.0470588 ; 0.0470588 ; 0 ; 0.0470588 ; 0.0470588 ; 0 ; 0 ; 0
pouvoir bn:00084451v ; 0 ; 0.00588235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
impossible bn:00104687a ; 0 ; 0.0470588 ; 0 ; 0 ; 0.0470588 ; 0.0470588 ; 0 ; 0.0470588
public bn:00109211a ; 0.0470588 ; 0.0470588 ; 0 ; 0 ; 0.0470588 ; 0.0470588 ; 0 ; 0
en-tête bn:00043309n ; 0 ; 0.0941176 ; 0.0941176 ; 0 ; 0.0941176 ; 0 ; 0.0941176 ; 0.0941176
client bn:00019764n ; 0 ; 0.0470588 ; 0.0470588 ; 0.0470588 ; 0.0470588 ; 0 ; 0 ; 0
java bn:00048043n ; 0 ; 0.164706 ; 0.164706 ; 0.164706 ; 0.176471 ; 0.176471 ; 0.176471 ; 0
file bn:00065682n ; 0 ; 0.0470588 ; 0.0470588 ; 0.0470588 ; 0 ; 0 ; 0 ; 0.0470588
echo bn:03626250n ; 0 ; 0.0117647 ; 0 ; 0.0117647 ; 0 ; 0 ; 0 ; 0
rue bn:00074595n ; 0 ; 0 ; 0.00588235 ; 0 ; 0 ; 0 ; 0 ; 0
void bn:01326821n ; 0 ; 0.00588235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
classe bn:03608262n ; 0 ; 0.164706 ; 0.164706 ; 0.164706 ; 0.176471 ; 0.176471 ; 0.176471 ; 0
exception bn:00032118n ; 0 ; 0.0117647 ; 0.0117647 ; 0 ; 0 ; 0 ; 0 ; 0
wamp bn:01708928n ; 0 ; 0 ; 0 ; 0 ; 0.0117647 ; 0.0117647 ; 0 ; 0
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0.00588235 ; 0 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.00588235 ; 0 ; 0 ; 0 ; 0
environnement de développement bn:00748100n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00588235
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00588235 ; 0 ; 0
informatique bn:00100175a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0117647 ; 0 ; 0.0117647
