Objects;Weight
php bn:01753580n;0.0655738
texte bn:00076732n;0.114754
fichier bn:00021475n;0.213115
données bn:00025314n;0.229508
base de donnees bn:00025333n;0.344262
site bn:00047172n;0.131148
client web bn:00013447n;0.131148
langage de script bn:01431715n;0.114754
nombre bn:00058285n;0.114754
sélectionner bn:00084931v;0.114754
code bn:00020354n;0.360656
afficher bn:00087013v;0.229508
nécessaire bn:00107182a;0.196721
serveur bn:00044916n;0.0327869
fois bn:00032768n;0.639344
class bn:03598962n;0.229508
commentaires bn:00020978n;0.393443
chaîne bn:00074685n;0.0655738
syntaxe bn:00062118n;0.639344
personne bn:00046516n;0.131148
hiérarchie bn:00044017n;0.0327869
langage bn:00049910n;0.409836
méthode bn:01641329n;0.196721
pouvoir bn:00084450v;0.0655738
timestamp bn:03603649n;0.131148
pouvoir bn:00084451v;0.0327869
client bn:00019764n;0.213115
echo bn:03626250n;0.0655738
rue bn:00074595n;0.0327869
void bn:01326821n;0.0327869
exception bn:00032118n;0.0655738
wamp bn:01708928n;0.0655738
symfony bn:02798620n;0.0327869
doctype bn:15839327n;0.0327869
environnement de développement bn:00748100n;0.0327869
realisateur bn:00027369n;0.0327869
informatique bn:00100175a;0.0655738
