X ; php bn:01753580n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; afficher bn:00087013v ; serveur bn:00044916n ; chaîne bn:00074685n ; hiérarchie bn:00044017n ; pouvoir bn:00084451v ; echo bn:03626250n ; rue bn:00074595n ; void bn:01326821n ; exception bn:00032118n ; symfony bn:02798620n ; doctype bn:15839327n ; environnement de développement bn:00748100n ; realisateur bn:00027369n
php bn:01753580n ; 1 ; 0.222222 ; 0.142857 ; 0.0769231 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.1 ; 0.5 ; 0.2 ; 0.142857 ; 0.5 ; 0.2 ; 0.142857 ; 0.5 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2
texte bn:00076732n ; 0.222222 ; 1 ; 0.222222 ; 0.307692 ; 0.444444 ; 0.444444 ; 0.181818 ; 0.4 ; 0.363636 ; 0.285714 ; 0.222222 ; 0.125 ; 0.125 ; 0.1 ; 0.285714 ; 0.125 ; 0.222222 ; 0.125 ; 0.125 ; 0.285714 ; 0.285714
fichier bn:00021475n ; 0.142857 ; 0.222222 ; 1 ; 0.166667 ; 0.25 ; 0.25 ; 0.25 ; 0.222222 ; 0.2 ; 0.5 ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.2
données bn:00025314n ; 0.0769231 ; 0.307692 ; 0.166667 ; 1 ; 0.6 ; 0.6 ; 0.333333 ; 0.7 ; 0.2 ; 0.2 ; 0.4 ; 0.0909091 ; 0.0909091 ; 0.166667 ; 0.0909091 ; 0.0909091 ; 0.0769231 ; 0.2 ; 0.2 ; 0.2 ; 0.2
site bn:00047172n ; 0.111111 ; 0.444444 ; 0.25 ; 0.6 ; 1 ; 1 ; 0.2 ; 0.444444 ; 0.272727 ; 0.333333 ; 0.25 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.333333
client web bn:00013447n ; 0.111111 ; 0.444444 ; 0.25 ; 0.6 ; 1 ; 1 ; 0.2 ; 0.444444 ; 0.272727 ; 0.333333 ; 0.25 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.333333
langage de script bn:01431715n ; 0.111111 ; 0.181818 ; 0.25 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.444444 ; 0.0769231 ; 0.142857 ; 0.666667 ; 0.142857 ; 0.142857 ; 0.25 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333
nombre bn:00058285n ; 0.1 ; 0.4 ; 0.222222 ; 0.7 ; 0.444444 ; 0.444444 ; 0.444444 ; 1 ; 0.153846 ; 0.285714 ; 0.571429 ; 0.125 ; 0.125 ; 0.222222 ; 0.125 ; 0.125 ; 0.1 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.285714
afficher bn:00087013v ; 0.5 ; 0.363636 ; 0.2 ; 0.2 ; 0.272727 ; 0.272727 ; 0.0769231 ; 0.153846 ; 1 ; 0.25 ; 0.0909091 ; 0.25 ; 0.111111 ; 0.0909091 ; 0.25 ; 0.111111 ; 0.2 ; 0.111111 ; 0.111111 ; 0.25 ; 0.111111
serveur bn:00044916n ; 0.2 ; 0.285714 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.285714 ; 0.25 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
