X ; php bn:01753580n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; base de donnees bn:00025333n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; sélectionner bn:00084931v ; méthode get bn:00045088n ; code bn:00020354n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; fois bn:00032768n ; chaîne bn:00074685n ; syntaxe bn:00062118n ; personne bn:00046516n ; langage bn:00049910n ; méthode bn:01641329n ; pouvoir bn:00084450v ; timestamp bn:03603649n ; pouvoir bn:00084451v ; impossible bn:00104687a ; client bn:00019764n ; file bn:00065682n ; echo bn:03626250n ; rue bn:00074595n ; exception bn:00032118n ; wamp bn:01708928n ; symfony bn:02798620n ; doctype bn:15839327n ; realisateur bn:00027369n ; informatique bn:00100175a
php bn:01753580n ; 1 ; 0.333333 ; 0.2 ; 0.0909091 ; 0.125 ; 0.142857 ; 0.142857 ; 0.0909091 ; 0.142857 ; 0.142857 ; 0.2 ; 0.125 ; 0.5 ; 0.0909091 ; 0.0740741 ; 0.0740741 ; 0.142857 ; 0.0740741 ; 0.2 ; 0.0555556 ; 0.111111 ; 0.333333 ; 0.2 ; 0.2 ; 0.0909091 ; 0.117647 ; 0.2 ; 0.142857 ; 0.5 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2
texte bn:00076732n ; 0.333333 ; 1 ; 0.2 ; 0.2 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.0909091 ; 0.125 ; 0.2 ; 0.0909091 ; 0.0740741 ; 0.0740741 ; 0.333333 ; 0.0740741 ; 0.2 ; 0.117647 ; 0.111111 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.117647 ; 0.2 ; 0.142857 ; 0.5 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.5 ; 0.5
fichier bn:00021475n ; 0.2 ; 0.2 ; 1 ; 0.142857 ; 0.1 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.166667 ; 0.571429 ; 0.142857 ; 0.142857 ; 0.137931 ; 0.137931 ; 0.2 ; 0.137931 ; 0.333333 ; 0.0952381 ; 0.5 ; 0.2 ; 0.333333 ; 0.111111 ; 0.142857 ; 0.0454545 ; 0.0666667 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25
données bn:00025314n ; 0.0909091 ; 0.2 ; 0.142857 ; 1 ; 0.571429 ; 0.5 ; 0.5 ; 0.333333 ; 0.5 ; 0.0909091 ; 0.166667 ; 0.1 ; 0.142857 ; 0.142857 ; 0.32 ; 0.32 ; 0.5 ; 0.32 ; 0.333333 ; 0.533333 ; 0.2 ; 0.0909091 ; 0.142857 ; 0.111111 ; 0.333333 ; 0.210526 ; 0.142857 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.5 ; 0.25 ; 0.25 ; 0.25 ; 0.25
base de donnees bn:00025333n ; 0.125 ; 0.285714 ; 0.1 ; 0.571429 ; 1 ; 0.285714 ; 0.285714 ; 0.222222 ; 0.285714 ; 0.0588235 ; 0.307692 ; 0.0769231 ; 0.222222 ; 0.1 ; 0.258065 ; 0.258065 ; 0.285714 ; 0.258065 ; 0.222222 ; 0.380952 ; 0.153846 ; 0.0588235 ; 0.1 ; 0.0666667 ; 0.222222 ; 0.380952 ; 0.222222 ; 0.125 ; 0.142857 ; 0.125 ; 0.285714 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857
site bn:00047172n ; 0.142857 ; 0.333333 ; 0.2 ; 0.5 ; 0.285714 ; 1 ; 1 ; 0.2 ; 0.333333 ; 0.142857 ; 0.0909091 ; 0.125 ; 0.2 ; 0.2 ; 0.16 ; 0.16 ; 0.333333 ; 0.16 ; 0.5 ; 0.266667 ; 0.111111 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.117647 ; 0.0909091 ; 0.142857 ; 0.2 ; 0.142857 ; 1 ; 0.2 ; 0.2 ; 0.5 ; 0.5
client web bn:00013447n ; 0.142857 ; 0.333333 ; 0.2 ; 0.5 ; 0.285714 ; 1 ; 1 ; 0.2 ; 0.333333 ; 0.142857 ; 0.0909091 ; 0.125 ; 0.2 ; 0.2 ; 0.16 ; 0.16 ; 0.333333 ; 0.16 ; 0.5 ; 0.266667 ; 0.111111 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.117647 ; 0.0909091 ; 0.142857 ; 0.2 ; 0.142857 ; 1 ; 0.2 ; 0.2 ; 0.5 ; 0.5
langage de script bn:01431715n ; 0.0909091 ; 0.2 ; 0.333333 ; 0.333333 ; 0.222222 ; 0.2 ; 0.2 ; 1 ; 0.5 ; 0.2 ; 0.166667 ; 0.222222 ; 0.0666667 ; 0.142857 ; 0.137931 ; 0.137931 ; 0.5 ; 0.137931 ; 0.142857 ; 0.210526 ; 0.5 ; 0.0909091 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.0952381 ; 0.142857 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.25
nombre bn:00058285n ; 0.142857 ; 0.333333 ; 0.2 ; 0.5 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 0.142857 ; 0.0909091 ; 0.125 ; 0.0909091 ; 0.0909091 ; 0.16 ; 0.16 ; 1 ; 0.16 ; 0.2 ; 0.266667 ; 0.25 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.117647 ; 0.2 ; 0.333333 ; 0.2 ; 0.142857 ; 0.333333 ; 0.5 ; 0.5 ; 0.5 ; 0.5
sélectionner bn:00084931v ; 0.142857 ; 0.142857 ; 0.2 ; 0.0909091 ; 0.0588235 ; 0.142857 ; 0.142857 ; 0.2 ; 0.142857 ; 1 ; 0.0909091 ; 0.285714 ; 0.0909091 ; 0.5 ; 0.0740741 ; 0.0740741 ; 0.142857 ; 0.0740741 ; 0.0909091 ; 0.117647 ; 0.111111 ; 0.333333 ; 0.2 ; 0.5 ; 0.2 ; 0.117647 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2
