X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
php bn:01753580n ; 0.0740741 ; 0 ; 0.0740741 ; 0 ; 0 ; 0 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.0740741 ; 0 ; 0 ; 0.0740741 ; 0
fichier bn:00021475n ; 0.0740741 ; 0 ; 0 ; 0 ; 0 ; 0.111111 ; 0.111111
données bn:00025314n ; 0 ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.148148 ; 0
base de donnees bn:00025333n ; 0 ; 0 ; 0.148148 ; 0.148148 ; 0.185185 ; 0.222222 ; 0
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.0740741 ; 0.0740741 ; 0
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.0740741 ; 0.0740741 ; 0
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.111111 ; 0 ; 0.148148 ; 0.111111
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0740741 ; 0 ; 0.0740741 ; 0
code bn:00020354n ; 0.111111 ; 0.148148 ; 0 ; 0 ; 0 ; 0.185185 ; 0.185185
afficher bn:00087013v ; 0.111111 ; 0 ; 0.148148 ; 0 ; 0.111111 ; 0 ; 0
nécessaire bn:00107182a ; 0 ; 0.148148 ; 0 ; 0 ; 0.111111 ; 0 ; 0.111111
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.0740741 ; 0 ; 0.0740741 ; 0
langage bn:00049910n ; 0 ; 0.185185 ; 0 ; 0.185185 ; 0.185185 ; 0.222222 ; 0
pouvoir bn:00084451v ; 0 ; 0.037037 ; 0 ; 0 ; 0 ; 0 ; 0
echo bn:03626250n ; 0 ; 0.0740741 ; 0 ; 0.0740741 ; 0 ; 0 ; 0
rue bn:00074595n ; 0 ; 0 ; 0.037037 ; 0 ; 0 ; 0 ; 0
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0.037037 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.037037 ; 0 ; 0 ; 0
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.037037 ; 0
informatique bn:00100175a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.037037 ; 0
