X ; php bn:01753580n ; mysql bn:01225760n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; types bn:00016413n ; session bn:03751534n ; base de donnees bn:00025333n ; entités bn:00031027n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; sélectionner bn:00084931v ; post bn:01500184n ; méthode get bn:00045088n ; code bn:00020354n ; utilisateur bn:00079373n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; fois bn:00032768n ; programmation bn:00021493n ; class bn:03598962n ; commentaires bn:00020978n ; composer bn:14766022n ; chaîne bn:00074685n ; syntaxe bn:00062118n ; personne bn:00046516n ; définition bn:00025928n ; langage bn:00049910n ; mode bn:00033729n ; configuration bn:03088982n ; xml bn:02771436n ; postgresql bn:01709156n ; web bn:00080772n ; méthode bn:01641329n ; bits bn:00010731n ; foreach bn:03463379n ; pouvoir bn:00084450v ; information bn:00046705n ; timestamp bn:03603649n ; easyphp bn:14837849n ; pouvoir bn:00084451v ; impossible bn:00104687a ; en-tête bn:00043309n ; client bn:00019764n ; file bn:00065682n ; echo bn:03626250n ; rue bn:00074595n ; exception bn:00032118n ; wamp bn:01708928n ; symfony bn:02798620n ; doctype bn:15839327n ; realisateur bn:00027369n ; informatique bn:00100175a
php bn:01753580n ; 1 ; 0.2 ; 0.1 ; 0.2 ; 0.1 ; 0.2 ; 0.2 ; 0.1 ; 0.2 ; 0.5 ; 0.0833333 ; 0.142857 ; 0.047619 ; 0.2 ; 0.5 ; 0.333333 ; 0.2 ; 0.5 ; 0.2 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.142857 ; 0.142857 ; 0.2 ; 0.2 ; 0.0909091 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.222222 ; 0.2 ; 0.5 ; 0.333333 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.2
mysql bn:01225760n ; 0.2 ; 1 ; 0.111111 ; 0.111111 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 0.0909091 ; 0.5 ; 0.111111 ; 1 ; 0.333333 ; 0.2 ; 0.111111 ; 0.333333 ; 0.111111 ; 0.5 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
texte bn:00076732n ; 0.1 ; 0.111111 ; 1 ; 0.181818 ; 0.388889 ; 0.0526316 ; 0.111111 ; 0.388889 ; 0.111111 ; 0.111111 ; 0.481481 ; 0.1 ; 0.384615 ; 0.111111 ; 0.111111 ; 0.1 ; 0.181818 ; 0.111111 ; 0.444444 ; 0.1 ; 0.1 ; 0.1 ; 0.111111 ; 0.111111 ; 0.0526316 ; 0.0526316 ; 0.1 ; 0.1 ; 0.111111 ; 0.111111 ; 0.181818 ; 0.0526316 ; 0.0526316 ; 0.0526316 ; 0.111111 ; 0.111111 ; 0.222222 ; 0.0526316 ; 0.111111 ; 0.0526316 ; 0.111111 ; 0.111111 ; 0.0526316 ; 0.388889 ; 0.111111 ; 0.111111 ; 0.1 ; 0.111111 ; 0.1 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.0526316 ; 0.0526316 ; 0.111111 ; 0.111111
fichier bn:00021475n ; 0.2 ; 0.111111 ; 0.181818 ; 1 ; 0.153846 ; 0.25 ; 0.25 ; 0.153846 ; 0.111111 ; 0.25 ; 0.363636 ; 0.2 ; 0.181818 ; 0.111111 ; 0.25 ; 0.2 ; 0.333333 ; 0.25 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.111111 ; 0.111111 ; 0.25 ; 0.111111 ; 0.2 ; 0.2 ; 0.111111 ; 0.25 ; 0.142857 ; 0.25 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.111111 ; 0.111111 ; 0.25 ; 0.153846 ; 0.111111 ; 0.25 ; 0.0909091 ; 0.111111 ; 0.2 ; 0.25 ; 0.111111 ; 0.25 ; 0.111111 ; 0.111111 ; 0.25 ; 0.111111
données bn:00025314n ; 0.1 ; 0.285714 ; 0.388889 ; 0.153846 ; 1 ; 0.125 ; 0.285714 ; 1 ; 0.285714 ; 0.125 ; 0.318182 ; 0.222222 ; 0.388889 ; 0.285714 ; 0.125 ; 0.222222 ; 0.0714286 ; 0.125 ; 0.363636 ; 0.222222 ; 0.222222 ; 0.222222 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.1 ; 0.222222 ; 0.285714 ; 0.285714 ; 0.363636 ; 0.125 ; 0.125 ; 0.125 ; 0.285714 ; 0.285714 ; 0.222222 ; 0.125 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.4 ; 0.285714 ; 0.125 ; 0.222222 ; 0.125 ; 0.1 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.285714
types bn:00016413n ; 0.2 ; 0.333333 ; 0.0526316 ; 0.25 ; 0.125 ; 1 ; 0.333333 ; 0.125 ; 0.333333 ; 0.333333 ; 0.0909091 ; 0.5 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.2 ; 0.25 ; 0.333333 ; 0.111111 ; 0.5 ; 0.5 ; 0.5 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.5 ; 0.5 ; 0.333333 ; 0.333333 ; 0.25 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.125 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
session bn:03751534n ; 0.2 ; 0.333333 ; 0.111111 ; 0.25 ; 0.285714 ; 0.333333 ; 1 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.5 ; 0.111111 ; 0.333333 ; 0.25 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 1 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
base de donnees bn:00025333n ; 0.1 ; 0.285714 ; 0.388889 ; 0.153846 ; 1 ; 0.125 ; 0.285714 ; 1 ; 0.285714 ; 0.125 ; 0.318182 ; 0.222222 ; 0.388889 ; 0.285714 ; 0.125 ; 0.222222 ; 0.0714286 ; 0.125 ; 0.363636 ; 0.222222 ; 0.222222 ; 0.222222 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.1 ; 0.222222 ; 0.285714 ; 0.285714 ; 0.363636 ; 0.125 ; 0.125 ; 0.125 ; 0.285714 ; 0.285714 ; 0.222222 ; 0.125 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.4 ; 0.285714 ; 0.125 ; 0.222222 ; 0.125 ; 0.1 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.285714
entités bn:00031027n ; 0.2 ; 1 ; 0.111111 ; 0.111111 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 0.0909091 ; 0.5 ; 0.111111 ; 1 ; 0.333333 ; 0.2 ; 0.111111 ; 0.333333 ; 0.111111 ; 0.5 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
site bn:00047172n ; 0.5 ; 0.333333 ; 0.111111 ; 0.25 ; 0.125 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 1 ; 0.0909091 ; 0.2 ; 0.0526316 ; 0.333333 ; 1 ; 0.2 ; 0.25 ; 1 ; 0.25 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
client web bn:00013447n ; 0.0833333 ; 0.0909091 ; 0.481481 ; 0.363636 ; 0.318182 ; 0.0909091 ; 0.0909091 ; 0.318182 ; 0.0909091 ; 0.0909091 ; 1 ; 0.181818 ; 0.481481 ; 0.0909091 ; 0.0909091 ; 0.0833333 ; 0.153846 ; 0.0909091 ; 0.363636 ; 0.181818 ; 0.181818 ; 0.181818 ; 0.0434783 ; 0.0434783 ; 0.0909091 ; 0.0434783 ; 0.0833333 ; 0.181818 ; 0.0909091 ; 0.0909091 ; 0.363636 ; 0.0909091 ; 0.0434783 ; 0.0434783 ; 0.0909091 ; 0.0909091 ; 0.0833333 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0434783 ; 0.0909091 ; 0.318182 ; 0.0909091 ; 0.0909091 ; 0.0833333 ; 0.0434783 ; 0.0833333 ; 0.0909091 ; 0.0434783 ; 0.0909091 ; 0.0434783 ; 0.0434783 ; 0.0909091 ; 0.0909091
langage de script bn:01431715n ; 0.142857 ; 0.5 ; 0.1 ; 0.2 ; 0.222222 ; 0.5 ; 0.2 ; 0.222222 ; 0.5 ; 0.2 ; 0.181818 ; 1 ; 0.222222 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.0909091 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.142857 ; 0.5 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.5 ; 0.222222 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
nombre bn:00058285n ; 0.047619 ; 0.111111 ; 0.384615 ; 0.181818 ; 0.388889 ; 0.111111 ; 0.111111 ; 0.388889 ; 0.111111 ; 0.0526316 ; 0.481481 ; 0.222222 ; 1 ; 0.111111 ; 0.0526316 ; 0.1 ; 0.181818 ; 0.0526316 ; 0.181818 ; 0.222222 ; 0.222222 ; 0.222222 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.0526316 ; 0.222222 ; 0.222222 ; 0.111111 ; 0.111111 ; 0.444444 ; 0.111111 ; 0.0526316 ; 0.0526316 ; 0.111111 ; 0.111111 ; 0.222222 ; 0.111111 ; 0.0526316 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.190476 ; 0.111111 ; 0.0526316 ; 0.1 ; 0.111111 ; 0.222222 ; 0.111111 ; 0.111111 ; 0.0526316 ; 0.0526316 ; 0.0526316 ; 0.0526316 ; 0.111111
sélectionner bn:00084931v ; 0.2 ; 1 ; 0.111111 ; 0.111111 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 0.0909091 ; 0.5 ; 0.111111 ; 1 ; 0.333333 ; 0.2 ; 0.111111 ; 0.333333 ; 0.111111 ; 0.5 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
post bn:01500184n ; 0.5 ; 0.333333 ; 0.111111 ; 0.25 ; 0.125 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 1 ; 0.0909091 ; 0.2 ; 0.0526316 ; 0.333333 ; 1 ; 0.2 ; 0.25 ; 1 ; 0.25 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
