Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;8;0;8;;C11,C15,C17,C19,C3,C5,C6,CJA,;
1;7;1;7;utilisateur bn:00079373n,;C11,C15,C17,C3,C5,C6,CJA,;
2;6;1;6;programmation bn:00021493n,;C11,C15,C17,C19,C5,C6,;
3;7;1;7;définition bn:00025928n,;C11,C17,C19,C3,C5,C6,CJA,;
4;5;1;5;configuration bn:03088982n,;C11,C15,C17,C19,C3,;
5;5;1;5;file bn:00065682n,;C15,C17,C19,C6,CJA,;
6;6;2;6;entités bn:00031027n,utilisateur bn:00079373n,;C15,C17,C3,C5,C6,CJA,;
7;6;2;6;méthode get bn:00045088n,définition bn:00025928n,;C11,C17,C19,C3,C6,CJA,;
8;5;2;5;utilisateur bn:00079373n,programmation bn:00021493n,;C11,C15,C17,C5,C6,;
9;5;2;5;utilisateur bn:00079373n,composer bn:14766022n,;C11,C15,C17,C6,CJA,;
10;6;2;6;utilisateur bn:00079373n,définition bn:00025928n,;C11,C17,C3,C5,C6,CJA,;
11;4;2;4;utilisateur bn:00079373n,configuration bn:03088982n,;C11,C15,C17,C3,;
12;5;2;5;programmation bn:00021493n,définition bn:00025928n,;C11,C17,C19,C5,C6,;
13;4;2;4;programmation bn:00021493n,configuration bn:03088982n,;C11,C15,C17,C19,;
14;6;2;6;définition bn:00025928n,information bn:00046705n,;C17,C19,C3,C5,C6,CJA,;
15;6;3;6;mysql bn:01225760n,java bn:00048043n,classe bn:03608262n,;C15,C17,C19,C3,C5,C6,;
16;5;3;5;entités bn:00031027n,utilisateur bn:00079373n,en-tête bn:00043309n,;C15,C17,C3,C6,CJA,;
17;4;3;4;méthode get bn:00045088n,programmation bn:00021493n,définition bn:00025928n,;C11,C17,C19,C6,;
18;4;3;4;méthode get bn:00045088n,définition bn:00025928n,configuration bn:03088982n,;C11,C17,C19,C3,;
19;5;3;5;méthode get bn:00045088n,définition bn:00025928n,information bn:00046705n,;C17,C19,C3,C6,CJA,;
20;4;3;4;utilisateur bn:00079373n,programmation bn:00021493n,composer bn:14766022n,;C11,C15,C17,C6,;
21;4;3;4;utilisateur bn:00079373n,programmation bn:00021493n,définition bn:00025928n,;C11,C17,C5,C6,;
22;5;4;5;mysql bn:01225760n,programmation bn:00021493n,java bn:00048043n,classe bn:03608262n,;C15,C17,C19,C5,C6,;
23;5;4;5;données bn:00025314n,base de donnees bn:00025333n,définition bn:00025928n,information bn:00046705n,;C17,C19,C3,C5,CJA,;
24;7;4;7;types bn:00016413n,fois bn:00032768n,syntaxe bn:00062118n,mode bn:00033729n,;C11,C15,C19,C3,C5,C6,CJA,;
25;5;4;5;entités bn:00031027n,utilisateur bn:00079373n,définition bn:00025928n,information bn:00046705n,;C17,C3,C5,C6,CJA,;
26;5;4;5;méthode get bn:00045088n,utilisateur bn:00079373n,afficher bn:00087013v,définition bn:00025928n,;C11,C17,C3,C6,CJA,;
27;3;4;3;méthode get bn:00045088n,programmation bn:00021493n,définition bn:00025928n,configuration bn:03088982n,;C11,C17,C19,;
28;4;4;4;méthode get bn:00045088n,définition bn:00025928n,information bn:00046705n,file bn:00065682n,;C17,C19,C6,CJA,;
29;3;4;3;utilisateur bn:00079373n,programmation bn:00021493n,composer bn:14766022n,configuration bn:03088982n,;C11,C15,C17,;
30;5;5;5;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,java bn:00048043n,classe bn:03608262n,;C15,C17,C3,C5,C6,;
31;4;5;4;mysql bn:01225760n,programmation bn:00021493n,java bn:00048043n,file bn:00065682n,classe bn:03608262n,;C15,C17,C19,C6,;
32;5;5;5;mysql bn:01225760n,définition bn:00025928n,information bn:00046705n,java bn:00048043n,classe bn:03608262n,;C17,C19,C3,C5,C6,;
33;4;5;4;mysql bn:01225760n,configuration bn:03088982n,client bn:00019764n,java bn:00048043n,classe bn:03608262n,;C15,C17,C19,C3,;
34;4;5;4;texte bn:00076732n,entités bn:00031027n,utilisateur bn:00079373n,définition bn:00025928n,information bn:00046705n,;C17,C5,C6,CJA,;
35;4;5;4;données bn:00025314n,base de donnees bn:00025333n,méthode get bn:00045088n,définition bn:00025928n,information bn:00046705n,;C17,C19,C3,CJA,;
36;5;5;5;types bn:00016413n,fois bn:00032768n,programmation bn:00021493n,syntaxe bn:00062118n,mode bn:00033729n,;C11,C15,C19,C5,C6,;
37;5;5;5;types bn:00016413n,fois bn:00032768n,commentaires bn:00020978n,syntaxe bn:00062118n,mode bn:00033729n,;C11,C15,C19,C3,C5,;
38;6;5;6;types bn:00016413n,fois bn:00032768n,syntaxe bn:00062118n,définition bn:00025928n,mode bn:00033729n,;C11,C19,C3,C5,C6,CJA,;
39;5;5;5;types bn:00016413n,fois bn:00032768n,syntaxe bn:00062118n,langage bn:00049910n,mode bn:00033729n,;C15,C19,C3,C5,CJA,;
40;5;5;5;types bn:00016413n,fois bn:00032768n,syntaxe bn:00062118n,mode bn:00033729n,web bn:00080772n,;C15,C19,C3,C6,CJA,;
41;4;5;4;entités bn:00031027n,utilisateur bn:00079373n,composer bn:14766022n,en-tête bn:00043309n,file bn:00065682n,;C15,C17,C6,CJA,;
42;4;5;4;méthode get bn:00045088n,utilisateur bn:00079373n,afficher bn:00087013v,composer bn:14766022n,définition bn:00025928n,;C11,C17,C6,CJA,;
43;4;5;4;méthode get bn:00045088n,utilisateur bn:00079373n,afficher bn:00087013v,définition bn:00025928n,xml bn:02771436n,;C11,C17,C3,C6,;
44;4;6;4;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,programmation bn:00021493n,java bn:00048043n,classe bn:03608262n,;C15,C17,C5,C6,;
45;4;6;4;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,en-tête bn:00043309n,java bn:00048043n,classe bn:03608262n,;C15,C17,C3,C6,;
46;4;6;4;mysql bn:01225760n,méthode get bn:00045088n,définition bn:00025928n,information bn:00046705n,java bn:00048043n,classe bn:03608262n,;C17,C19,C3,C6,;
47;4;6;4;mysql bn:01225760n,programmation bn:00021493n,définition bn:00025928n,information bn:00046705n,java bn:00048043n,classe bn:03608262n,;C17,C19,C5,C6,;
