X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
php bn:01753580n ; 0.0228571 ; 0 ; 0.0228571 ; 0 ; 0 ; 0 ; 0.0228571 ; 0
mysql bn:01225760n ; 0 ; 0.154286 ; 0.154286 ; 0.165714 ; 0.165714 ; 0.16 ; 0.177143 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.0457143 ; 0 ; 0 ; 0.0457143 ; 0.0457143 ; 0.0457143
fichier bn:00021475n ; 0.0457143 ; 0 ; 0 ; 0 ; 0 ; 0.0457143 ; 0.0457143 ; 0.0457143
données bn:00025314n ; 0 ; 0 ; 0.0857143 ; 0.0857143 ; 0.0914286 ; 0.0857143 ; 0 ; 0.0857143
types bn:00016413n ; 0.262857 ; 0.28 ; 0 ; 0.251429 ; 0.308571 ; 0.302857 ; 0.297143 ; 0.257143
session bn:03751534n ; 0.0914286 ; 0 ; 0 ; 0.0914286 ; 0.0914286 ; 0.0914286 ; 0.0914286 ; 0
base de donnees bn:00025333n ; 0 ; 0 ; 0.0857143 ; 0.0857143 ; 0.0914286 ; 0.0857143 ; 0 ; 0.0857143
entités bn:00031027n ; 0 ; 0.142857 ; 0.142857 ; 0 ; 0.165714 ; 0.154286 ; 0.177143 ; 0.154286
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.0228571 ; 0.0228571 ; 0 ; 0.0228571
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.0457143 ; 0.0457143 ; 0.0457143 ; 0.0457143
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.0228571 ; 0 ; 0.0228571 ; 0.0228571 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0228571 ; 0 ; 0.0228571 ; 0 ; 0.0228571
sélectionner bn:00084931v ; 0 ; 0.0228571 ; 0 ; 0 ; 0 ; 0 ; 0.0228571 ; 0.0228571
post bn:01500184n ; 0.171429 ; 0.171429 ; 0 ; 0 ; 0.171429 ; 0.182857 ; 0.177143 ; 0.171429
méthode get bn:00045088n ; 0.131429 ; 0 ; 0.148571 ; 0.142857 ; 0.16 ; 0 ; 0.165714 ; 0.137143
code bn:00020354n ; 0.0914286 ; 0.0914286 ; 0 ; 0 ; 0 ; 0.0914286 ; 0.0914286 ; 0.0914286
utilisateur bn:00079373n ; 0.251429 ; 0.257143 ; 0.222857 ; 0 ; 0.28 ; 0.268571 ; 0.32 ; 0.262857
afficher bn:00087013v ; 0.08 ; 0 ; 0.08 ; 0 ; 0.0857143 ; 0 ; 0.0914286 ; 0.08
nécessaire bn:00107182a ; 0 ; 0.0457143 ; 0 ; 0 ; 0.0457143 ; 0 ; 0.0457143 ; 0.0457143
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0114286 ; 0.0114286
fois bn:00032768n ; 0.262857 ; 0.28 ; 0 ; 0.251429 ; 0.308571 ; 0.302857 ; 0.297143 ; 0.257143
programmation bn:00021493n ; 0.148571 ; 0.148571 ; 0.142857 ; 0.154286 ; 0 ; 0.148571 ; 0.171429 ; 0
class bn:03598962n ; 0.0457143 ; 0.0457143 ; 0 ; 0.0457143 ; 0 ; 0.0457143 ; 0 ; 0
commentaires bn:00020978n ; 0.0914286 ; 0.0914286 ; 0 ; 0.0914286 ; 0.0914286 ; 0.0914286 ; 0 ; 0
composer bn:14766022n ; 0.08 ; 0.08 ; 0.0742857 ; 0 ; 0 ; 0 ; 0.0914286 ; 0.0742857
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.0114286 ; 0 ; 0.0114286 ; 0 ; 0
syntaxe bn:00062118n ; 0.262857 ; 0.28 ; 0 ; 0.251429 ; 0.308571 ; 0.302857 ; 0.297143 ; 0.257143
