Objects;Weight
php bn:01753580n;0.153846
texte bn:00076732n;0.423077
fichier bn:00021475n;0.153846
données bn:00025314n;0.346154
base de donnees bn:00025333n;0.461538
site bn:00047172n;0.192308
client web bn:00013447n;0.384615
langage de script bn:01431715n;0.307692
nombre bn:00058285n;0.269231
code bn:00020354n;0.0769231
serveur bn:00044916n;0.153846
chaîne bn:00074685n;0.153846
hiérarchie bn:00044017n;0.0769231
pouvoir bn:00084451v;0.0769231
echo bn:03626250n;0.230769
void bn:01326821n;0.0769231
exception bn:00032118n;0.153846
symfony bn:02798620n;0.0769231
doctype bn:15839327n;0.0769231
environnement de développement bn:00748100n;0.0769231
realisateur bn:00027369n;0.0769231
