X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
php bn:01753580n ; 0.4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.153846 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.214286 ; 0 ; 0 ; 0.315789 ; 0.294118 ; 0.352941
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.153846 ; 0.142857
données bn:00025314n ; 0 ; 0 ; 0 ; 0.285714 ; 0.166667 ; 0.352941 ; 0 ; 0.3125
base de donnees bn:00025333n ; 0 ; 0 ; 0.2 ; 0.3125 ; 0.214286 ; 0.444444 ; 0 ; 0.411765
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.111111 ; 0.1875 ; 0 ; 0.214286
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.153846 ; 0.333333 ; 0.3125 ; 0.375
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.307692 ; 0 ; 0.222222 ; 0.266667 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.230769 ; 0 ; 0.235294 ; 0 ; 0.1875
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0833333 ; 0
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.153846 ; 0.142857
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.181818 ; 0 ; 0.125 ; 0 ; 0
hiérarchie bn:00044017n ; 0.25 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
pouvoir bn:00084451v ; 0 ; 0.2 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
echo bn:03626250n ; 0 ; 0.25 ; 0 ; 0.25 ; 0 ; 0 ; 0.214286 ; 0
void bn:01326821n ; 0 ; 0.2 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
exception bn:00032118n ; 0 ; 0.333333 ; 0.25 ; 0 ; 0 ; 0 ; 0 ; 0
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0.1 ; 0 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.1 ; 0 ; 0 ; 0 ; 0
environnement de développement bn:00748100n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0769231
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0666667 ; 0 ; 0
