Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;7;0;7;;C11,C15,C17,C19,C3,C5,C6,;
1;6;1;6;mysql bn:01225760n,;C15,C17,C19,C3,C5,C6,;
2;6;1;6;utilisateur bn:00079373n,;C11,C15,C17,C3,C5,C6,;
3;6;1;6;programmation bn:00021493n,;C11,C15,C17,C19,C5,C6,;
4;6;1;6;définition bn:00025928n,;C11,C17,C19,C3,C5,C6,;
5;5;1;5;configuration bn:03088982n,;C11,C15,C17,C19,C3,;
6;5;2;5;mysql bn:01225760n,programmation bn:00021493n,;C15,C17,C19,C5,C6,;
7;5;2;5;site bn:00047172n,utilisateur bn:00079373n,;C11,C15,C17,C3,C5,;
8;5;2;5;méthode get bn:00045088n,définition bn:00025928n,;C11,C17,C19,C3,C6,;
9;5;2;5;utilisateur bn:00079373n,programmation bn:00021493n,;C11,C15,C17,C5,C6,;
10;5;2;5;utilisateur bn:00079373n,définition bn:00025928n,;C11,C17,C3,C5,C6,;
11;5;2;5;programmation bn:00021493n,définition bn:00025928n,;C11,C17,C19,C5,C6,;
12;4;2;4;programmation bn:00021493n,configuration bn:03088982n,;C11,C15,C17,C19,;
13;5;3;5;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,;C15,C17,C3,C5,C6,;
14;4;3;4;mysql bn:01225760n,programmation bn:00021493n,file bn:00065682n,;C15,C17,C19,C6,;
15;5;3;5;mysql bn:01225760n,définition bn:00025928n,information bn:00046705n,;C17,C19,C3,C5,C6,;
16;4;3;4;mysql bn:01225760n,configuration bn:03088982n,client bn:00019764n,;C15,C17,C19,C3,;
17;4;3;4;site bn:00047172n,utilisateur bn:00079373n,programmation bn:00021493n,;C11,C15,C17,C5,;
18;4;3;4;site bn:00047172n,utilisateur bn:00079373n,définition bn:00025928n,;C11,C17,C3,C5,;
19;4;3;4;site bn:00047172n,utilisateur bn:00079373n,configuration bn:03088982n,;C11,C15,C17,C3,;
20;4;3;4;méthode get bn:00045088n,programmation bn:00021493n,définition bn:00025928n,;C11,C17,C19,C6,;
21;4;3;4;méthode get bn:00045088n,définition bn:00025928n,configuration bn:03088982n,;C11,C17,C19,C3,;
22;4;3;4;utilisateur bn:00079373n,programmation bn:00021493n,composer bn:14766022n,;C11,C15,C17,C6,;
23;4;3;4;utilisateur bn:00079373n,programmation bn:00021493n,définition bn:00025928n,;C11,C17,C5,C6,;
24;4;4;4;mysql bn:01225760n,entités bn:00031027n,site bn:00047172n,utilisateur bn:00079373n,;C15,C17,C3,C5,;
25;4;4;4;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,programmation bn:00021493n,;C15,C17,C5,C6,;
26;4;4;4;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,en-tête bn:00043309n,;C15,C17,C3,C6,;
27;4;4;4;mysql bn:01225760n,méthode get bn:00045088n,définition bn:00025928n,information bn:00046705n,;C17,C19,C3,C6,;
28;4;4;4;mysql bn:01225760n,programmation bn:00021493n,définition bn:00025928n,information bn:00046705n,;C17,C19,C5,C6,;
29;6;4;6;types bn:00016413n,fois bn:00032768n,syntaxe bn:00062118n,mode bn:00033729n,;C11,C15,C19,C3,C5,C6,;
30;3;4;3;site bn:00047172n,utilisateur bn:00079373n,programmation bn:00021493n,définition bn:00025928n,;C11,C17,C5,;
31;3;4;3;méthode get bn:00045088n,programmation bn:00021493n,définition bn:00025928n,configuration bn:03088982n,;C11,C17,C19,;
32;4;5;4;mysql bn:01225760n,données bn:00025314n,base de donnees bn:00025333n,définition bn:00025928n,information bn:00046705n,;C17,C19,C3,C5,;
33;5;5;5;mysql bn:01225760n,types bn:00016413n,fois bn:00032768n,syntaxe bn:00062118n,mode bn:00033729n,;C15,C19,C3,C5,C6,;
34;3;5;3;mysql bn:01225760n,entités bn:00031027n,site bn:00047172n,utilisateur bn:00079373n,programmation bn:00021493n,;C15,C17,C5,;
35;4;5;4;mysql bn:01225760n,entités bn:00031027n,utilisateur bn:00079373n,définition bn:00025928n,information bn:00046705n,;C17,C3,C5,C6,;
36;3;5;3;mysql bn:01225760n,programmation bn:00021493n,configuration bn:03088982n,client bn:00019764n,file bn:00065682n,;C15,C17,C19,;
37;5;5;5;types bn:00016413n,fois bn:00032768n,programmation bn:00021493n,syntaxe bn:00062118n,mode bn:00033729n,;C11,C15,C19,C5,C6,;
38;5;5;5;types bn:00016413n,fois bn:00032768n,commentaires bn:00020978n,syntaxe bn:00062118n,mode bn:00033729n,;C11,C15,C19,C3,C5,;
39;3;5;3;site bn:00047172n,utilisateur bn:00079373n,programmation bn:00021493n,composer bn:14766022n,configuration bn:03088982n,;C11,C15,C17,;
40;4;5;4;méthode get bn:00045088n,utilisateur bn:00079373n,afficher bn:00087013v,définition bn:00025928n,xml bn:02771436n,;C11,C17,C3,C6,;
41;3;6;3;mysql bn:01225760n,données bn:00025314n,base de donnees bn:00025333n,programmation bn:00021493n,définition bn:00025928n,information bn:00046705n,;C17,C19,C5,;
42;4;6;4;mysql bn:01225760n,types bn:00016413n,fois bn:00032768n,programmation bn:00021493n,syntaxe bn:00062118n,mode bn:00033729n,;C15,C19,C5,C6,;
43;4;6;4;mysql bn:01225760n,types bn:00016413n,fois bn:00032768n,syntaxe bn:00062118n,mode bn:00033729n,web bn:00080772n,;C15,C19,C3,C6,;
44;3;6;3;mysql bn:01225760n,méthode get bn:00045088n,programmation bn:00021493n,définition bn:00025928n,information bn:00046705n,file bn:00065682n,;C17,C19,C6,;
45;5;6;5;types bn:00016413n,session bn:03751534n,fois bn:00032768n,syntaxe bn:00062118n,définition bn:00025928n,mode bn:00033729n,;C11,C19,C3,C5,C6,;
46;3;7;3;mysql bn:01225760n,texte bn:00076732n,entités bn:00031027n,utilisateur bn:00079373n,programmation bn:00021493n,définition bn:00025928n,information bn:00046705n,;C17,C5,C6,;
