X ; php bn:01753580n ; mysql bn:01225760n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; types bn:00016413n ; session bn:03751534n ; base de donnees bn:00025333n ; entités bn:00031027n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; sélectionner bn:00084931v ; post bn:01500184n ; méthode get bn:00045088n ; code bn:00020354n ; utilisateur bn:00079373n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; fois bn:00032768n ; programmation bn:00021493n ; class bn:03598962n ; commentaires bn:00020978n ; composer bn:14766022n ; chaîne bn:00074685n ; syntaxe bn:00062118n ; personne bn:00046516n ; définition bn:00025928n ; langage bn:00049910n ; mode bn:00033729n ; configuration bn:03088982n ; xml bn:02771436n ; web bn:00080772n ; méthode bn:01641329n ; bits bn:00010731n ; foreach bn:03463379n ; pouvoir bn:00084450v ; information bn:00046705n ; varchar bn:01838409n ; timestamp bn:03603649n ; easyphp bn:14837849n ; insert bn:03795444n ; pouvoir bn:00084451v ; impossible bn:00104687a ; en-tête bn:00043309n ; client bn:00019764n ; file bn:00065682n ; echo bn:03626250n ; rue bn:00074595n ; exception bn:00032118n ; wamp bn:01708928n ; symfony bn:02798620n ; doctype bn:15839327n ; realisateur bn:00027369n ; null bn:15898583n
php bn:01753580n ; 1 ; 0.0615385 ; 0.333333 ; 0.2 ; 0.0909091 ; 0.0615385 ; 0.111111 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.0909091 ; 0.2 ; 0.114286 ; 0.25 ; 0.2 ; 0.129032 ; 0.5 ; 0.142857 ; 0.25 ; 0.0615385 ; 0.135593 ; 0.0909091 ; 0.0526316 ; 0.5 ; 0.0909091 ; 0.0615385 ; 0.142857 ; 0.129032 ; 0.0434783 ; 0.0615385 ; 0.111111 ; 0.5 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.114286 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.5 ; 0.2 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.0909091
mysql bn:01225760n ; 0.0615385 ; 1 ; 0.131148 ; 0.115942 ; 0.262295 ; 0.355556 ; 0.207792 ; 0.262295 ; 0.52459 ; 0.207792 ; 0.131148 ; 0.131148 ; 0.0655738 ; 0.0655738 ; 0.210526 ; 0.207792 ; 0.115942 ; 0.351648 ; 0.115942 ; 0.131148 ; 0.0327869 ; 0.355556 ; 0.348315 ; 0.115942 ; 0.207792 ; 0.115942 ; 0.0655738 ; 0.355556 ; 0.0615385 ; 0.351648 ; 0.262295 ; 0.355556 ; 0.207792 ; 0.115942 ; 0.262295 ; 0.115942 ; 0.115942 ; 0.210526 ; 0.031746 ; 0.52459 ; 0.115942 ; 0.115942 ; 0.115942 ; 0.115942 ; 0.0327869 ; 0.262295 ; 0.262295 ; 0.262295 ; 0.262295 ; 0.131148 ; 0.0655738 ; 0.0655738 ; 0.0655738 ; 0.0327869 ; 0.0327869 ; 0.0327869 ; 0.0655738
texte bn:00076732n ; 0.333333 ; 0.131148 ; 1 ; 0.2 ; 0.2 ; 0.0615385 ; 0.111111 ; 0.2 ; 0.25 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.114286 ; 0.111111 ; 0.2 ; 0.129032 ; 0.2 ; 0.142857 ; 0.25 ; 0.0615385 ; 0.135593 ; 0.0909091 ; 0.0526316 ; 0.2 ; 0.2 ; 0.0615385 ; 0.142857 ; 0.129032 ; 0.0909091 ; 0.0615385 ; 0.0526316 ; 0.2 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.114286 ; 0.0909091 ; 0.25 ; 0.0909091 ; 0.2 ; 0.0434783 ; 0.0434783 ; 0.111111 ; 0.2 ; 0.2 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.5 ; 0.2 ; 0.2 ; 0.111111 ; 0.111111 ; 0.25 ; 0.2
fichier bn:00021475n ; 0.2 ; 0.115942 ; 0.2 ; 1 ; 0.142857 ; 0.262295 ; 0.5 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.111111 ; 0.111111 ; 0.516129 ; 0.2 ; 0.333333 ; 0.258065 ; 0.333333 ; 0.2 ; 0.125 ; 0.262295 ; 0.119403 ; 0.142857 ; 0.2 ; 0.142857 ; 0.111111 ; 0.262295 ; 0.5 ; 0.258065 ; 0.142857 ; 0.262295 ; 0.0909091 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.516129 ; 0.111111 ; 0.2 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.0588235 ; 0.333333 ; 0.142857 ; 0.0666667 ; 0.0666667 ; 0.0909091 ; 0.111111 ; 0.0526316 ; 0.25 ; 0.0588235 ; 0.0588235 ; 0.125 ; 0.111111
données bn:00025314n ; 0.0909091 ; 0.262295 ; 0.2 ; 0.142857 ; 1 ; 0.115942 ; 0.2 ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.25 ; 0.0526316 ; 0.0930233 ; 0.2 ; 0.0666667 ; 0.114286 ; 0.142857 ; 0.0909091 ; 0.0588235 ; 0.115942 ; 0.119403 ; 0.142857 ; 0.2 ; 0.0666667 ; 0.25 ; 0.115942 ; 0.2 ; 0.258065 ; 0.333333 ; 0.115942 ; 0.2 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.0930233 ; 0.0526316 ; 0.5 ; 0.333333 ; 0.0666667 ; 0.142857 ; 0.142857 ; 0.0588235 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.25 ; 0.125 ; 0.125 ; 0.125 ; 0.25
types bn:00016413n ; 0.0615385 ; 0.355556 ; 0.0615385 ; 0.262295 ; 0.115942 ; 1 ; 0.52459 ; 0.115942 ; 0.207792 ; 0.207792 ; 0.131148 ; 0.131148 ; 0.0655738 ; 0.0655738 ; 0.508197 ; 0.207792 ; 0.262295 ; 0.336957 ; 0.115942 ; 0.131148 ; 0.0327869 ; 1 ; 0.348315 ; 0.262295 ; 0.52459 ; 0.115942 ; 0.0655738 ; 1 ; 0.131148 ; 0.351648 ; 0.262295 ; 1 ; 0.207792 ; 0.115942 ; 0.262295 ; 0.262295 ; 0.262295 ; 0.508197 ; 0.0655738 ; 0.207792 ; 0.262295 ; 0.262295 ; 0.262295 ; 0.262295 ; 0.0327869 ; 0.262295 ; 0.115942 ; 0.115942 ; 0.115942 ; 0.131148 ; 0.031746 ; 0.031746 ; 0.0655738 ; 0.0327869 ; 0.0327869 ; 0.0327869 ; 0.0655738
session bn:03751534n ; 0.111111 ; 0.207792 ; 0.111111 ; 0.5 ; 0.2 ; 0.52459 ; 1 ; 0.2 ; 0.142857 ; 0.142857 ; 0.25 ; 0.25 ; 0.125 ; 0.0588235 ; 0.340426 ; 0.333333 ; 0.2 ; 0.205128 ; 0.2 ; 0.111111 ; 0.0625 ; 0.52459 ; 0.213333 ; 0.2 ; 0.333333 ; 0.0909091 ; 0.125 ; 0.52459 ; 0.25 ; 0.516129 ; 0.2 ; 0.52459 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.340426 ; 0.0588235 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.030303 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 0.0588235 ; 0.0285714 ; 0.125 ; 0.0625 ; 0.0625 ; 0.0625 ; 0.125
base de donnees bn:00025333n ; 0.0909091 ; 0.262295 ; 0.2 ; 0.142857 ; 1 ; 0.115942 ; 0.2 ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.25 ; 0.0526316 ; 0.0930233 ; 0.2 ; 0.0666667 ; 0.114286 ; 0.142857 ; 0.0909091 ; 0.0588235 ; 0.115942 ; 0.119403 ; 0.142857 ; 0.2 ; 0.0666667 ; 0.25 ; 0.115942 ; 0.2 ; 0.258065 ; 0.333333 ; 0.115942 ; 0.2 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.0930233 ; 0.0526316 ; 0.5 ; 0.333333 ; 0.0666667 ; 0.142857 ; 0.142857 ; 0.0588235 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.25 ; 0.125 ; 0.125 ; 0.125 ; 0.25
entités bn:00031027n ; 0.111111 ; 0.52459 ; 0.25 ; 0.2 ; 0.2 ; 0.207792 ; 0.142857 ; 0.2 ; 1 ; 0.333333 ; 0.25 ; 0.111111 ; 0.0588235 ; 0.125 ; 0.340426 ; 0.142857 ; 0.2 ; 0.516129 ; 0.2 ; 0.25 ; 0.0625 ; 0.207792 ; 0.213333 ; 0.0909091 ; 0.142857 ; 0.2 ; 0.0588235 ; 0.207792 ; 0.111111 ; 0.205128 ; 0.2 ; 0.207792 ; 0.142857 ; 0.2 ; 0.2 ; 0.0909091 ; 0.2 ; 0.340426 ; 0.0588235 ; 0.333333 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0625 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.111111 ; 0.125 ; 0.125 ; 0.125 ; 0.030303 ; 0.030303 ; 0.0625 ; 0.0588235
site bn:00047172n ; 0.111111 ; 0.207792 ; 0.111111 ; 0.2 ; 0.2 ; 0.207792 ; 0.142857 ; 0.2 ; 0.333333 ; 1 ; 0.111111 ; 0.0526316 ; 0.0588235 ; 0.0588235 ; 0.340426 ; 0.142857 ; 0.2 ; 0.516129 ; 0.2 ; 0.111111 ; 0.030303 ; 0.207792 ; 0.213333 ; 0.2 ; 0.333333 ; 0.2 ; 0.0588235 ; 0.207792 ; 0.25 ; 0.205128 ; 0.2 ; 0.207792 ; 0.333333 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.5 ; 0.340426 ; 0.125 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.0625 ; 0.2 ; 0.2 ; 0.2 ; 0.0909091 ; 0.0526316 ; 0.0588235 ; 0.125 ; 0.125 ; 0.030303 ; 0.030303 ; 0.0625 ; 0.0588235
