X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
php bn:01753580n ; 0.0714286 ; 0 ; 0.0714286 ; 0 ; 0 ; 0 ; 0.0952381
texte bn:00076732n ; 0 ; 0 ; 0.0952381 ; 0 ; 0 ; 0.0952381 ; 0.0952381
fichier bn:00021475n ; 0.0952381 ; 0 ; 0 ; 0 ; 0 ; 0.0952381 ; 0.0952381
données bn:00025314n ; 0 ; 0 ; 0 ; 0.0952381 ; 0.0952381 ; 0.0952381 ; 0
base de donnees bn:00025333n ; 0 ; 0 ; 0.119048 ; 0.142857 ; 0.166667 ; 0.142857 ; 0
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.047619 ; 0.047619 ; 0
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.0952381 ; 0.0952381 ; 0.0952381
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.0952381 ; 0 ; 0.0952381 ; 0.0952381
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.047619 ; 0 ; 0.047619 ; 0
sélectionner bn:00084931v ; 0 ; 0.047619 ; 0 ; 0 ; 0 ; 0 ; 0.047619
méthode get bn:00045088n ; 0.166667 ; 0 ; 0.166667 ; 0.142857 ; 0.190476 ; 0 ; 0.214286
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0238095
afficher bn:00087013v ; 0.119048 ; 0 ; 0.119048 ; 0 ; 0.119048 ; 0 ; 0.142857
nécessaire bn:00107182a ; 0 ; 0.0952381 ; 0 ; 0 ; 0.0952381 ; 0 ; 0.0952381
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0238095
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.047619 ; 0 ; 0.047619 ; 0
personne bn:00046516n ; 0.0952381 ; 0 ; 0 ; 0 ; 0.0952381 ; 0.0952381 ; 0
langage bn:00049910n ; 0 ; 0.0952381 ; 0 ; 0.142857 ; 0.142857 ; 0.119048 ; 0
méthode bn:01641329n ; 0.142857 ; 0 ; 0 ; 0.142857 ; 0 ; 0.166667 ; 0.190476
pouvoir bn:00084450v ; 0.047619 ; 0.047619 ; 0 ; 0 ; 0 ; 0 ; 0
pouvoir bn:00084451v ; 0 ; 0.0238095 ; 0 ; 0 ; 0 ; 0 ; 0
echo bn:03626250n ; 0 ; 0.0952381 ; 0 ; 0.0952381 ; 0 ; 0 ; 0.0952381
rue bn:00074595n ; 0 ; 0 ; 0.047619 ; 0 ; 0 ; 0 ; 0.047619
exception bn:00032118n ; 0 ; 0.047619 ; 0.047619 ; 0 ; 0 ; 0 ; 0
wamp bn:01708928n ; 0 ; 0 ; 0 ; 0 ; 0.047619 ; 0.047619 ; 0
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0.0238095 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.0238095 ; 0 ; 0 ; 0
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0238095 ; 0
null bn:15898583n ; 0 ; 0 ; 0 ; 0.047619 ; 0 ; 0.047619 ; 0
