Objects;Weight
php bn:01753580n;0.115385
texte bn:00076732n;0.230769
fichier bn:00021475n;0.230769
données bn:00025314n;0.269231
base de donnees bn:00025333n;0.346154
site bn:00047172n;0.153846
client web bn:00013447n;0.307692
langage de script bn:01431715n;0.307692
nombre bn:00058285n;0.153846
code bn:00020354n;0.0769231
nécessaire bn:00107182a;0.307692
serveur bn:00044916n;0.0769231
chaîne bn:00074685n;0.153846
langage bn:00049910n;0.423077
pouvoir bn:00084451v;0.0769231
echo bn:03626250n;0.307692
symfony bn:02798620n;0.0769231
doctype bn:15839327n;0.0769231
realisateur bn:00027369n;0.0769231
