X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
php bn:01753580n ; 0.0512821 ; 0 ; 0.0547945 ; 0 ; 0 ; 0 ; 0.0425532 ; 0
mysql bn:01225760n ; 0 ; 0.261682 ; 0.277228 ; 0.285714 ; 0.252101 ; 0.254545 ; 0.271186 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.0547945 ; 0 ; 0 ; 0.0487805 ; 0 ; 0.0526316
fichier bn:00021475n ; 0.097561 ; 0 ; 0 ; 0 ; 0 ; 0.0930233 ; 0.0816327 ; 0.1
données bn:00025314n ; 0 ; 0 ; 0.176471 ; 0.164835 ; 0.153846 ; 0.159574 ; 0 ; 0.170455
types bn:00016413n ; 0.360902 ; 0.368421 ; 0 ; 0.338235 ; 0.390071 ; 0.401515 ; 0.340136 ; 0.356061
session bn:03751534n ; 0.177778 ; 0 ; 0 ; 0.175824 ; 0.152381 ; 0.170213 ; 0.150943 ; 0
base de donnees bn:00025333n ; 0 ; 0 ; 0.176471 ; 0.164835 ; 0.153846 ; 0.159574 ; 0 ; 0.170455
entités bn:00031027n ; 0 ; 0.235849 ; 0.237624 ; 0 ; 0.25 ; 0.240741 ; 0.258621 ; 0.254902
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.0430108 ; 0.0487805 ; 0 ; 0.0526316
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.0430108 ; 0.0487805 ; 0 ; 0.0526316
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.0506329 ; 0 ; 0.0487805 ; 0.0425532 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0506329 ; 0 ; 0.0487805 ; 0 ; 0.0526316
sélectionner bn:00084931v ; 0 ; 0.0506329 ; 0 ; 0 ; 0 ; 0 ; 0.0425532 ; 0.0526316
post bn:01500184n ; 0.273585 ; 0.271028 ; 0 ; 0 ; 0.239669 ; 0.287037 ; 0.247934 ; 0.291262
méthode get bn:00045088n ; 0.247619 ; 0 ; 0.272727 ; 0.233645 ; 0.247863 ; 0 ; 0.235294 ; 0.252427
code bn:00020354n ; 0.177778 ; 0.175824 ; 0 ; 0 ; 0 ; 0.170213 ; 0.150943 ; 0.181818
utilisateur bn:00079373n ; 0.346154 ; 0.333333 ; 0.307692 ; 0 ; 0.347518 ; 0.335821 ; 0.394161 ; 0.373016
afficher bn:00087013v ; 0.097561 ; 0 ; 0.103896 ; 0 ; 0.0824742 ; 0 ; 0 ; 0.1
nécessaire bn:00107182a ; 0 ; 0.0963855 ; 0 ; 0 ; 0.0824742 ; 0 ; 0.0816327 ; 0.1
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0136986
fois bn:00032768n ; 0.247619 ; 0.257143 ; 0 ; 0.245283 ; 0.258621 ; 0.273585 ; 0 ; 0.240385
programmation bn:00021493n ; 0.25 ; 0.247619 ; 0.25 ; 0.259615 ; 0 ; 0.240741 ; 0.258621 ; 0
class bn:03598962n ; 0.097561 ; 0.0963855 ; 0 ; 0.0963855 ; 0 ; 0.0930233 ; 0 ; 0
commentaires bn:00020978n ; 0.177778 ; 0.175824 ; 0 ; 0.175824 ; 0.152381 ; 0.170213 ; 0 ; 0
composer bn:14766022n ; 0.168539 ; 0.153846 ; 0.164706 ; 0 ; 0 ; 0 ; 0.153846 ; 0.159091
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.025974 ; 0 ; 0.025 ; 0 ; 0
syntaxe bn:00062118n ; 0.247619 ; 0.257143 ; 0 ; 0.245283 ; 0.258621 ; 0.273585 ; 0 ; 0.240385
hiérarchie bn:00044017n ; 0.0133333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
définition bn:00025928n ; 0.335878 ; 0 ; 0.338583 ; 0.333333 ; 0.386861 ; 0.325926 ; 0.35461 ; 0.341085
langage bn:00049910n ; 0 ; 0.164835 ; 0 ; 0.164835 ; 0.153846 ; 0.159574 ; 0 ; 0.170455
mise bn:00016287n ; 0.097561 ; 0.0963855 ; 0 ; 0 ; 0.0824742 ; 0 ; 0.0816327 ; 0
mode bn:00033729n ; 0.360902 ; 0.368421 ; 0 ; 0.338235 ; 0.390071 ; 0.401515 ; 0.340136 ; 0.356061
configuration bn:03088982n ; 0.177778 ; 0.175824 ; 0.188235 ; 0.175824 ; 0.152381 ; 0 ; 0 ; 0
xml bn:02771436n ; 0.097561 ; 0 ; 0.103896 ; 0 ; 0.0824742 ; 0 ; 0.0816327 ; 0
postgresql bn:01709156n ; 0.097561 ; 0.0963855 ; 0.103896 ; 0.0963855 ; 0 ; 0 ; 0 ; 0
web bn:00080772n ; 0 ; 0.175824 ; 0 ; 0.175824 ; 0.152381 ; 0 ; 0.150943 ; 0.181818
méthode bn:01641329n ; 0.097561 ; 0 ; 0 ; 0.0963855 ; 0 ; 0.0930233 ; 0.0816327 ; 0
bits bn:00010731n ; 0.166667 ; 0.164835 ; 0 ; 0 ; 0.142857 ; 0.172043 ; 0 ; 0.170455
foreach bn:03463379n ; 0.273585 ; 0.271028 ; 0 ; 0 ; 0.239669 ; 0.287037 ; 0.247934 ; 0.291262
pouvoir bn:00084450v ; 0.0263158 ; 0.025974 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
information bn:00046705n ; 0 ; 0 ; 0.176471 ; 0.164835 ; 0.153846 ; 0.159574 ; 0 ; 0.170455
timestamp bn:03603649n ; 0.0512821 ; 0.0506329 ; 0 ; 0 ; 0 ; 0.0487805 ; 0 ; 0
easyphp bn:14837849n ; 0.097561 ; 0.0963855 ; 0 ; 0.0963855 ; 0.0824742 ; 0 ; 0 ; 0
pouvoir bn:00084451v ; 0 ; 0.0131579 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
impossible bn:00104687a ; 0 ; 0.0963855 ; 0 ; 0 ; 0.0824742 ; 0.0930233 ; 0 ; 0.1
public bn:00109211a ; 0.097561 ; 0.0963855 ; 0 ; 0 ; 0.0824742 ; 0.0930233 ; 0 ; 0
en-tête bn:00043309n ; 0 ; 0.153846 ; 0.164706 ; 0 ; 0.144231 ; 0 ; 0.153846 ; 0.159091
client bn:00019764n ; 0 ; 0.175824 ; 0.188235 ; 0.175824 ; 0.152381 ; 0 ; 0.150943 ; 0
java bn:00048043n ; 0 ; 0.261682 ; 0.277228 ; 0.285714 ; 0.252101 ; 0.254545 ; 0.271186 ; 0
file bn:00065682n ; 0 ; 0.153846 ; 0.164706 ; 0.166667 ; 0 ; 0 ; 0.153846 ; 0.159091
echo bn:03626250n ; 0 ; 0.025974 ; 0 ; 0.025974 ; 0 ; 0 ; 0 ; 0
rue bn:00074595n ; 0 ; 0 ; 0.0142857 ; 0 ; 0 ; 0 ; 0 ; 0
void bn:01326821n ; 0 ; 0.0131579 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
