X ; php bn:01753580n ; mysql bn:01225760n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; types bn:00016413n ; session bn:03751534n ; base de donnees bn:00025333n ; entités bn:00031027n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; sélectionner bn:00084931v ; post bn:01500184n ; méthode get bn:00045088n ; code bn:00020354n ; utilisateur bn:00079373n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; fois bn:00032768n ; programmation bn:00021493n ; class bn:03598962n ; commentaires bn:00020978n ; composer bn:14766022n ; chaîne bn:00074685n ; syntaxe bn:00062118n ; hiérarchie bn:00044017n ; définition bn:00025928n ; langage bn:00049910n ; mise bn:00016287n ; mode bn:00033729n ; configuration bn:03088982n ; xml bn:02771436n ; postgresql bn:01709156n ; web bn:00080772n ; méthode bn:01641329n ; bits bn:00010731n ; foreach bn:03463379n ; pouvoir bn:00084450v ; information bn:00046705n ; timestamp bn:03603649n ; easyphp bn:14837849n ; pouvoir bn:00084451v ; impossible bn:00104687a ; public bn:00109211a ; en-tête bn:00043309n ; client bn:00019764n ; java bn:00048043n ; file bn:00065682n ; echo bn:03626250n ; rue bn:00074595n ; void bn:01326821n ; classe bn:03608262n ; exception bn:00032118n ; wamp bn:01708928n ; symfony bn:02798620n ; doctype bn:15839327n ; environnement de développement bn:00748100n ; realisateur bn:00027369n ; informatique bn:00100175a
php bn:01753580n ; 1 ; 0.333333 ; 0.333333 ; 0.125 ; 0.125 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.05 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.125 ; 0.333333 ; 0.111111 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
mysql bn:01225760n ; 0.333333 ; 1 ; 1 ; 0.125 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 0.333333 ; 0.105263 ; 0.5 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.111111 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
texte bn:00076732n ; 0.333333 ; 1 ; 1 ; 0.125 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 0.333333 ; 0.105263 ; 0.5 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.111111 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
fichier bn:00021475n ; 0.125 ; 0.125 ; 0.125 ; 1 ; 0.166667 ; 0.285714 ; 0.285714 ; 0.1 ; 0.125 ; 0.285714 ; 0.368421 ; 0.222222 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.4 ; 0.285714 ; 0.363636 ; 0.222222 ; 0.285714 ; 0.222222 ; 0.125 ; 0.1 ; 0.222222 ; 0.125 ; 0.222222 ; 0.222222 ; 0.125 ; 0.285714 ; 0.153846 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.1 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.125 ; 0.125 ; 0.285714 ; 0.166667 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.222222 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.285714 ; 0.285714 ; 0.125
données bn:00025314n ; 0.125 ; 0.285714 ; 0.285714 ; 0.166667 ; 1 ; 0.125 ; 0.285714 ; 0.571429 ; 0.285714 ; 0.125 ; 0.368421 ; 0.222222 ; 0.285714 ; 0.285714 ; 0.125 ; 0.125 ; 0.0769231 ; 0.125 ; 0.363636 ; 0.222222 ; 0.125 ; 0.222222 ; 0.125 ; 0.1 ; 0.1 ; 0.125 ; 0.1 ; 0.222222 ; 0.125 ; 0.285714 ; 0.363636 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.285714 ; 0.285714 ; 0.1 ; 0.125 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.125 ; 0.4 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.1 ; 0.285714 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.285714
types bn:00016413n ; 0.333333 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.125 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.105263 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.333333 ; 0.111111 ; 0.5 ; 1 ; 0.5 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.5 ; 0.5 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
session bn:03751534n ; 0.333333 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.285714 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.105263 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.25 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 1 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
base de donnees bn:00025333n ; 0.2 ; 0.5 ; 0.5 ; 0.1 ; 0.571429 ; 0.2 ; 0.2 ; 1 ; 0.5 ; 0.2 ; 0.210526 ; 0.333333 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.1 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.142857 ; 0.142857 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.571429 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5
entités bn:00031027n ; 0.333333 ; 1 ; 1 ; 0.125 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 0.333333 ; 0.105263 ; 0.5 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.125 ; 0.333333 ; 0.111111 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.285714 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
site bn:00047172n ; 0.333333 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.125 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.105263 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.285714 ; 1 ; 0.25 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333
