X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
php bn:01753580n ; 0.0454545 ; 0 ; 0.0454545 ; 0 ; 0 ; 0 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.0454545 ; 0 ; 0 ; 0.0454545 ; 0
fichier bn:00021475n ; 0.0909091 ; 0 ; 0 ; 0 ; 0 ; 0.0909091 ; 0.0909091
données bn:00025314n ; 0 ; 0 ; 0 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0
base de donnees bn:00025333n ; 0 ; 0 ; 0.113636 ; 0.136364 ; 0.159091 ; 0.136364 ; 0
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.0454545 ; 0.0454545 ; 0
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.0454545 ; 0.0454545 ; 0
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.0909091 ; 0 ; 0.0909091 ; 0.0909091
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0454545 ; 0 ; 0.0454545 ; 0
sélectionner bn:00084931v ; 0 ; 0.0454545 ; 0 ; 0 ; 0 ; 0 ; 0.0454545
méthode get bn:00045088n ; 0.204545 ; 0 ; 0.136364 ; 0.181818 ; 0.204545 ; 0 ; 0.136364
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0227273
afficher bn:00087013v ; 0.0909091 ; 0 ; 0.0909091 ; 0 ; 0.0909091 ; 0 ; 0
nécessaire bn:00107182a ; 0 ; 0.0909091 ; 0 ; 0 ; 0.0909091 ; 0 ; 0.0909091
fois bn:00032768n ; 0.204545 ; 0.204545 ; 0 ; 0.227273 ; 0.227273 ; 0.25 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.0454545 ; 0 ; 0.0454545 ; 0
syntaxe bn:00062118n ; 0.204545 ; 0.204545 ; 0 ; 0.227273 ; 0.227273 ; 0.25 ; 0
langage bn:00049910n ; 0 ; 0.136364 ; 0 ; 0.136364 ; 0.159091 ; 0.159091 ; 0
méthode bn:01641329n ; 0.181818 ; 0 ; 0 ; 0.181818 ; 0 ; 0.181818 ; 0.181818
pouvoir bn:00084450v ; 0.0454545 ; 0.0454545 ; 0 ; 0 ; 0 ; 0 ; 0
timestamp bn:03603649n ; 0.0909091 ; 0.0909091 ; 0 ; 0 ; 0 ; 0.0909091 ; 0
pouvoir bn:00084451v ; 0 ; 0.0227273 ; 0 ; 0 ; 0 ; 0 ; 0
impossible bn:00104687a ; 0 ; 0.0909091 ; 0 ; 0 ; 0.0909091 ; 0.0909091 ; 0
echo bn:03626250n ; 0 ; 0.0454545 ; 0 ; 0.0454545 ; 0 ; 0 ; 0
rue bn:00074595n ; 0 ; 0 ; 0.0227273 ; 0 ; 0 ; 0 ; 0
exception bn:00032118n ; 0 ; 0.0454545 ; 0.0454545 ; 0 ; 0 ; 0 ; 0
wamp bn:01708928n ; 0 ; 0 ; 0 ; 0 ; 0.0454545 ; 0.0454545 ; 0
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0.0227273 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.0227273 ; 0 ; 0 ; 0
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0227273 ; 0
informatique bn:00100175a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0227273 ; 0
