Objects;Weight
php bn:01753580n;0.166667
mysql bn:01225760n;0.166667
texte bn:00076732n;0.166667
fichier bn:00021475n;0.166667
données bn:00025314n;0.166667
types bn:00016413n;0.166667
session bn:03751534n;0.166667
base de donnees bn:00025333n;0.166667
entités bn:00031027n;0.166667
site bn:00047172n;0.166667
langage de script bn:01431715n;0.166667
nombre bn:00058285n;0.166667
sélectionner bn:00084931v;0.166667
post bn:01500184n;0.166667
méthode get bn:00045088n;0.166667
code bn:00020354n;0.166667
utilisateur bn:00079373n;0.166667
afficher bn:00087013v;0.166667
nécessaire bn:00107182a;0.333333
serveur bn:00044916n;0.166667
fois bn:00032768n;0.333333
programmation bn:00021493n;0.166667
class bn:03598962n;0.166667
commentaires bn:00020978n;0.166667
composer bn:14766022n;0.166667
chaîne bn:00074685n;0.333333
syntaxe bn:00062118n;0.333333
définition bn:00025928n;0.166667
langage bn:00049910n;0.166667
mode bn:00033729n;0.166667
configuration bn:03088982n;0.166667
xml bn:02771436n;0.166667
postgresql bn:01709156n;0.166667
web bn:00080772n;0.166667
méthode bn:01641329n;0.166667
bits bn:00010731n;0.166667
foreach bn:03463379n;0.166667
pouvoir bn:00084450v;0.166667
information bn:00046705n;0.166667
timestamp bn:03603649n;0.166667
easyphp bn:14837849n;0.166667
impossible bn:00104687a;0.166667
en-tête bn:00043309n;0.166667
client bn:00019764n;0.166667
file bn:00065682n;0.166667
exception bn:00032118n;0.166667
wamp bn:01708928n;0.166667
