X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
page web bn:00080778n ; 0.0326087 ; 0.0434783 ; 0 ; 0 ; 0 ; 0.0326087 ; 0
page web statiques bn:03576307n ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
navigateur bn:00013447n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
serveur web bn:02705179n ; 0.173913 ; 0.173913 ; 0.173913 ; 0.173913 ; 0 ; 0 ; 0.173913
fichier bn:00021475n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
disque dur bn:00073359n ; 0.0434783 ; 0.0434783 ; 0 ; 0 ; 0.0434783 ; 0 ; 0
client bn:00019764n ; 0.26087 ; 0.347826 ; 0.26087 ; 0.26087 ; 0.26087 ; 0.184783 ; 0
client serveur bn:03496583n ; 0.0434783 ; 0.0434783 ; 0 ; 0 ; 0 ; 0 ; 0.0434783
base de donnée bn:00025333n ; 0.23913 ; 0.347826 ; 0 ; 0.23913 ; 0.228261 ; 0.195652 ; 0.23913
donnée bn:00025314n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
ensemble bn:00114766r ; 0.0217391 ; 0.0217391 ; 0 ; 0 ; 0 ; 0 ; 0
php bn:01753580n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
javascript bn:00055423n ; 0.173913 ; 0.173913 ; 0.173913 ; 0.173913 ; 0 ; 0 ; 0.173913
perl bn:01723165n ; 0.0869565 ; 0.0869565 ; 0 ; 0.0869565 ; 0 ; 0 ; 0.0869565
python bn:01713224n ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
java bn:00048043n ; 0.0869565 ; 0.0869565 ; 0.0869565 ; 0 ; 0.0869565 ; 0 ; 0
code bn:00020354n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
code source bn:00072947n ; 0.0108696 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
fichier texte bn:00028018n ; 0.0869565 ; 0 ; 0.0869565 ; 0.0869565 ; 0.0869565 ; 0 ; 0
