X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
page web bn:00080778n ; 0.0625 ; 0.0597015 ; 0 ; 0 ; 0 ; 0.0789474 ; 0
page web statiques bn:03576307n ; 0.0222222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
navigateur bn:00013447n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
serveur web bn:02705179n ; 0.266667 ; 0.2 ; 0.262295 ; 0.266667 ; 0 ; 0 ; 0.271186
fichier bn:00021475n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
disque dur bn:00073359n ; 0.0833333 ; 0.0588235 ; 0 ; 0 ; 0.0869565 ; 0 ; 0
client bn:00019764n ; 0.347826 ; 0.395062 ; 0.342857 ; 0.347826 ; 0.358209 ; 0.257576 ; 0
client serveur bn:03496583n ; 0.0833333 ; 0.0588235 ; 0 ; 0 ; 0 ; 0 ; 0.0851064
base de donnée bn:00025333n ; 0.318841 ; 0.405063 ; 0 ; 0.318841 ; 0.308824 ; 0.285714 ; 0.323529
donnée bn:00025314n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
ensemble bn:00114766r ; 0.0434783 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0
php bn:01753580n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
javascript bn:00055423n ; 0.266667 ; 0.2 ; 0.262295 ; 0.266667 ; 0 ; 0 ; 0.271186
perl bn:01723165n ; 0.153846 ; 0.111111 ; 0 ; 0.153846 ; 0 ; 0 ; 0.156863
python bn:01713224n ; 0.0222222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
java bn:00048043n ; 0.153846 ; 0.111111 ; 0.150943 ; 0 ; 0.16 ; 0 ; 0
code bn:00020354n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
code source bn:00072947n ; 0.0222222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
fichier texte bn:00028018n ; 0.153846 ; 0 ; 0.150943 ; 0.153846 ; 0.16 ; 0 ; 0
texte bn:00076732n ; 0.378378 ; 0.355556 ; 0.391892 ; 0.378378 ; 0.351351 ; 0 ; 0.346667
mise en forme bn:01681906n ; 0.0434783 ; 0 ; 0 ; 0.0434783 ; 0 ; 0 ; 0
concerner bn:00083240v ; 0.153846 ; 0.111111 ; 0 ; 0.153846 ; 0.16 ; 0 ; 0
commentaire bn:00020978n ; 0.342857 ; 0.390244 ; 0.338028 ; 0.342857 ; 0 ; 0.272727 ; 0.367647
délimiter bn:00086464v ; 0.210526 ; 0.219178 ; 0.206897 ; 0.210526 ; 0 ; 0.18 ; 0
affichage bn:00010421n ; 0.378378 ; 0.355556 ; 0.391892 ; 0.378378 ; 0.351351 ; 0 ; 0.346667
gras bn:00011848n ; 0.0434783 ; 0 ; 0 ; 0.0434783 ; 0 ; 0 ; 0
fois bn:00032768n ; 0.314286 ; 0.4 ; 0.328571 ; 0 ; 0.323529 ; 0.28125 ; 0.338235
chemin bn:03131414n ; 0.0833333 ; 0.0588235 ; 0 ; 0 ; 0 ; 0 ; 0.0851064
lien hypertextes bn:00045513n ; 0.342857 ; 0.390244 ; 0.338028 ; 0.342857 ; 0 ; 0.272727 ; 0.367647
url bn:00079080n ; 0.237288 ; 0.207792 ; 0 ; 0.237288 ; 0.224138 ; 0 ; 0.220339
textuels bn:00111786a ; 0.0222222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
case à cocher bn:03157691n ; 0.153846 ; 0 ; 0.150943 ; 0.153846 ; 0 ; 0 ; 0.156863
page web dynamique bn:00937946n ; 0.0222222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
post bn:01500184n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
champ de saisie bn:03113401n ; 0.342857 ; 0.390244 ; 0.338028 ; 0.342857 ; 0 ; 0.272727 ; 0.367647
size bn:03645138n ; 0.0625 ; 0.0597015 ; 0 ; 0 ; 0 ; 0.0789474 ; 0
nombre bn:00058285n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
text bn:14981519n ; 0.342857 ; 0.390244 ; 0.338028 ; 0.342857 ; 0 ; 0.272727 ; 0.367647
vide bn:00087578v ; 0.0434783 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0
liste déroulante bn:00028831n ; 0.0434783 ; 0 ; 0 ; 0.0434783 ; 0 ; 0 ; 0
sélectionner bn:00084931v ; 0.0434783 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0
déclencher bn:00082306v ; 0.0222222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
réinitialisation bn:00067306n ; 0.0434783 ; 0 ; 0.0425532 ; 0 ; 0 ; 0 ; 0
langage bn:00049910n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
langage impératif bn:01246770n ; 0.0222222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
impératif bn:00104644a ; 0.0222222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
zones bn:00005513n ; 0.0434783 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0444444
utilisateur bn:00079373n ; 0.153846 ; 0.111111 ; 0 ; 0.153846 ; 0 ; 0 ; 0.156863
affectation bn:02806034n ; 0.153846 ; 0.111111 ; 0.150943 ; 0 ; 0.16 ; 0 ; 0
booléen bn:00294693n ; 0.347826 ; 0.395062 ; 0.342857 ; 0.347826 ; 0.358209 ; 0.257576 ; 0
réalité bn:00066414n ; 0.0222222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
concatène bn:00085508v ; 0.0222222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
addition bn:00001296n ; 0.0833333 ; 0.0588235 ; 0 ; 0 ; 0 ; 0 ; 0.0851064
soustraction bn:00055233n ; 0.0833333 ; 0.0588235 ; 0 ; 0 ; 0 ; 0 ; 0.0851064
multiplié bn:00090977v ; 0.0222222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
modulo bn:00553864n ; 0.0833333 ; 0.0588235 ; 0 ; 0 ; 0 ; 0 ; 0.0851064
égalité bn:00031284n ; 0.0434783 ; 0 ; 0 ; 0.0434783 ; 0 ; 0 ; 0
logiques bn:00051845n ; 0.314286 ; 0.4 ; 0.328571 ; 0 ; 0.323529 ; 0.28125 ; 0.338235
syntaxe bn:00062118n ; 0.153846 ; 0.111111 ; 0 ; 0.153846 ; 0 ; 0 ; 0.156863
case bn:04777941n ; 0.233333 ; 0.205128 ; 0.25 ; 0 ; 0.241379 ; 0 ; 0.237288
associer bn:00082868v ; 0.0833333 ; 0.0588235 ; 0 ; 0 ; 0 ; 0 ; 0.0851064
personne bn:00046516n ; 0.206897 ; 0.216216 ; 0 ; 0.206897 ; 0 ; 0.2 ; 0.232143
prenom bn:15996005n ; 0.189655 ; 0.219178 ; 0 ; 0 ; 0.196429 ; 0.204082 ; 0.214286
structure de contrôle bn:00047734n ; 0.0833333 ; 0 ; 0.0816327 ; 0 ; 0 ; 0 ; 0.0851064
définition bn:00025928n ; 0.153846 ; 0.111111 ; 0 ; 0.153846 ; 0 ; 0 ; 0.156863
initialiser bn:00089742v ; 0.0833333 ; 0 ; 0.0816327 ; 0 ; 0.0869565 ; 0 ; 0
dépendre bn:00086606v ; 0.0434783 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0
méthode post bn:00045088n ; 0.478261 ; 0.695652 ; 0.48913 ; 0.478261 ; 0.456522 ; 0.369565 ; 0.467391
fermeture bn:16858148n ; 0.318841 ; 0.405063 ; 0 ; 0.318841 ; 0.308824 ; 0.285714 ; 0.323529
passwd bn:14874750n ; 0.0222222 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
machine bn:00054050n ; 0.0434783 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0
mysql bn:01225760n ; 0.153846 ; 0.111111 ; 0 ; 0.153846 ; 0 ; 0 ; 0.156863
