X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
page web bn:00080778n ; 0 ; 0.0645161 ; 0 ; 0 ; 0 ; 0.1 ; 0
navigateur bn:00013447n ; 0 ; 0 ; 0.297297 ; 0.275 ; 0.333333 ; 0.28125 ; 0.268293
serveur web bn:02705179n ; 0 ; 0 ; 0.137931 ; 0.125 ; 0 ; 0 ; 0.121212
fichier bn:00021475n ; 0.192308 ; 0.2 ; 0 ; 0 ; 0 ; 0.192308 ; 0.2
client bn:00019764n ; 0.1 ; 0 ; 0 ; 0.0666667 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0 ; 0.0666667 ; 0.105263 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0 ; 0.137931 ; 0.125 ; 0.190476 ; 0 ; 0
php bn:01753580n ; 0.307692 ; 0.216216 ; 0 ; 0.222222 ; 0 ; 0 ; 0.216216
code bn:00020354n ; 0 ; 0.121212 ; 0 ; 0.125 ; 0 ; 0 ; 0.121212
texte bn:00076732n ; 0 ; 0.27907 ; 0.378378 ; 0.317073 ; 0.30303 ; 0 ; 0.27907
concerner bn:00083240v ; 0 ; 0.121212 ; 0 ; 0.125 ; 0.190476 ; 0 ; 0
commentaire bn:00020978n ; 0.294118 ; 0.341463 ; 0 ; 0.317073 ; 0 ; 0.294118 ; 0.341463
délimiter bn:00086464v ; 0 ; 0.121212 ; 0 ; 0.125 ; 0 ; 0.181818 ; 0
fois bn:00032768n ; 0.258065 ; 0.282051 ; 0.314286 ; 0 ; 0.1875 ; 0 ; 0.25
url bn:00079080n ; 0.307692 ; 0.216216 ; 0 ; 0.222222 ; 0 ; 0 ; 0.216216
case à cocher bn:03157691n ; 0.181818 ; 0 ; 0 ; 0.125 ; 0 ; 0 ; 0.121212
post bn:01500184n ; 0 ; 0 ; 0.0740741 ; 0 ; 0 ; 0 ; 0.0645161
nombre bn:00058285n ; 0 ; 0.189189 ; 0 ; 0.228571 ; 0.28 ; 0.269231 ; 0
text bn:14981519n ; 0.307692 ; 0.216216 ; 0.242424 ; 0.222222 ; 0 ; 0 ; 0
langage bn:00049910n ; 0.290323 ; 0.307692 ; 0.236842 ; 0 ; 0 ; 0.212121 ; 0.307692
utilisateur bn:00079373n ; 0 ; 0.121212 ; 0 ; 0.125 ; 0 ; 0 ; 0.121212
case bn:04777941n ; 0.269231 ; 0.222222 ; 0.212121 ; 0 ; 0 ; 0 ; 0.189189
associer bn:00082868v ; 0 ; 0.0645161 ; 0 ; 0 ; 0 ; 0 ; 0.0645161
personne bn:00046516n ; 0 ; 0.216216 ; 0 ; 0.222222 ; 0 ; 0.307692 ; 0.216216
méthode post bn:00045088n ; 0 ; 0 ; 0.193548 ; 0 ; 0.208333 ; 0.2 ; 0.171429
fermeture bn:16858148n ; 0.294118 ; 0.341463 ; 0 ; 0.317073 ; 0 ; 0.294118 ; 0.341463
machine bn:00054050n ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0
mysql bn:01225760n ; 0 ; 0 ; 0 ; 0.0344828 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0
jour bn:00000086n ; 0.1 ; 0.0645161 ; 0 ; 0 ; 0 ; 0 ; 0
site bn:00047172n ; 0.181818 ; 0 ; 0.137931 ; 0.125 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0.0645161 ; 0 ; 0 ; 0 ; 0.1 ; 0
header bn:00043309n ; 0 ; 0.0645161 ; 0 ; 0 ; 0 ; 0 ; 0.0645161
moteur bn:00030850n ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0
paris bn:00015540n ; 0 ; 0.0645161 ; 0 ; 0 ; 0 ; 0 ; 0.0645161
langage de script bn:01431715n ; 0 ; 0.0645161 ; 0.0740741 ; 0 ; 0 ; 0 ; 0
côté serveur bn:03816678n ; 0 ; 0.0645161 ; 0 ; 0 ; 0 ; 0 ; 0.0645161
opérateur bn:16281811n ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0
super bn:17336345n ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0
type bn:00016413n ; 0 ; 0 ; 0 ; 0 ; 0.0555556 ; 0 ; 0
foreach bn:03463379n ; 0 ; 0 ; 0.137931 ; 0.125 ; 0 ; 0 ; 0.121212
cle bn:04756252n ; 0 ; 0.216216 ; 0.242424 ; 0.222222 ; 0 ; 0 ; 0.216216
serveur bn:00044916n ; 0 ; 0.216216 ; 0 ; 0.222222 ; 0 ; 0.307692 ; 0.216216
interpréter bn:00089840v ; 0 ; 0.0645161 ; 0 ; 0 ; 0 ; 0.1 ; 0
transaction bn:01403911n ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0
côté client bn:03163702n ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0
classes bn:03608262n ; 0 ; 0.0645161 ; 0 ; 0 ; 0 ; 0 ; 0.0645161
bienvenue bn:00080852n ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0
class bn:03598962n ; 0 ; 0.0645161 ; 0 ; 0 ; 0 ; 0 ; 0.0645161
mot bn:00081546n ; 0 ; 0.121212 ; 0.137931 ; 0.125 ; 0 ; 0 ; 0
méthode bn:01641329n ; 0 ; 0 ; 0.297297 ; 0.275 ; 0.333333 ; 0.28125 ; 0.268293
session bn:03751534n ; 0 ; 0.121212 ; 0.137931 ; 0.125 ; 0 ; 0 ; 0
visiteur bn:03106425n ; 0 ; 0.0645161 ; 0 ; 0 ; 0 ; 0.1 ; 0
afficher bn:00087013v ; 0 ; 0.0645161 ; 0 ; 0.0666667 ; 0 ; 0 ; 0
pouvoir bn:00084451v ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0
mysqli bn:01438356n ; 0 ; 0.0645161 ; 0 ; 0 ; 0 ; 0 ; 0.0645161
france bn:00036202n ; 0 ; 0 ; 0.0384615 ; 0 ; 0 ; 0 ; 0
list bn:04720346n ; 0 ; 0 ; 0.0740741 ; 0 ; 0 ; 0 ; 0.0645161
timestamp bn:03603649n ; 0 ; 0 ; 0.0384615 ; 0 ; 0 ; 0 ; 0
accéder bn:00082209v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0333333
