X ; page web bn:00080778n ; navigateur bn:00013447n ; serveur web bn:02705179n ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; texte bn:00076732n ; concerner bn:00083240v ; commentaire bn:00020978n ; délimiter bn:00086464v ; fois bn:00032768n ; url bn:00079080n ; case à cocher bn:03157691n ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; langage bn:00049910n ; utilisateur bn:00079373n ; case bn:04777941n ; associer bn:00082868v ; personne bn:00046516n ; méthode post bn:00045088n ; fermeture bn:16858148n ; machine bn:00054050n ; mysql bn:01225760n ; salaire bn:15928884n ; jour bn:00000086n ; site bn:00047172n ; chaîne bn:00074685n ; header bn:00043309n ; moteur bn:00030850n ; paris bn:00015540n ; langage de script bn:01431715n ; côté serveur bn:03816678n ; opérateur bn:16281811n ; super bn:17336345n ; type bn:00016413n ; foreach bn:03463379n ; cle bn:04756252n ; serveur bn:00044916n ; interpréter bn:00089840v ; transaction bn:01403911n ; côté client bn:03163702n ; classes bn:03608262n ; bienvenue bn:00080852n ; class bn:03598962n ; mot bn:00081546n ; méthode bn:01641329n ; session bn:03751534n ; visiteur bn:03106425n ; afficher bn:00087013v ; pouvoir bn:00084451v ; mysqli bn:01438356n ; france bn:00036202n ; list bn:04720346n ; timestamp bn:03603649n ; accéder bn:00082209v
page web bn:00080778n ; 1 ; 0.08 ; 0.0909091 ; 0.307692 ; 0.142857 ; 0.142857 ; 0.0909091 ; 0.111111 ; 0.2 ; 0.0714286 ; 0.2 ; 0.153846 ; 0.5 ; 0.0869565 ; 0.111111 ; 0.0909091 ; 0.142857 ; 0.266667 ; 0.111111 ; 0.181818 ; 0.2 ; 0.117647 ; 0.333333 ; 0.25 ; 0.142857 ; 0.153846 ; 0.5 ; 0.2 ; 0.5 ; 0.333333 ; 0.0909091 ; 1 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.5 ; 0.2 ; 0.0909091 ; 0.111111 ; 0.25 ; 1 ; 0.5 ; 0.5 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 0.08 ; 0.2 ; 1 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 0.142857 ; 0.2 ; 0.2
navigateur bn:00013447n ; 0.08 ; 1 ; 0.347826 ; 0.125 ; 0.08 ; 0.173913 ; 0.347826 ; 0.114286 ; 0.148148 ; 0.4 ; 0.148148 ; 0.195122 ; 0.148148 ; 0.189189 ; 0.114286 ; 0.148148 ; 0.173913 ; 0.266667 ; 0.114286 ; 0.184211 ; 0.148148 ; 0.117647 ; 0.08 ; 0.258065 ; 0.521739 ; 0.195122 ; 0.0416667 ; 0.0869565 ; 0.0416667 ; 0.0384615 ; 0.148148 ; 0.08 ; 0.08 ; 0.0416667 ; 0.08 ; 0.08 ; 0.08 ; 0.0416667 ; 0.0416667 ; 0.0869565 ; 0.347826 ; 0.258065 ; 0.258065 ; 0.08 ; 0.0416667 ; 0.0416667 ; 0.08 ; 0.0416667 ; 0.08 ; 0.148148 ; 1 ; 0.148148 ; 0.08 ; 0.08 ; 0.0416667 ; 0.08 ; 0.0869565 ; 0.173913 ; 0.0869565 ; 0.0869565
serveur web bn:02705179n ; 0.0909091 ; 0.347826 ; 1 ; 0.105263 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.307692 ; 0.142857 ; 0.133333 ; 0.142857 ; 0.16 ; 0.2 ; 0.333333 ; 0.5 ; 0.0952381 ; 0.2 ; 0.153846 ; 0.333333 ; 0.210526 ; 0.2 ; 0.2 ; 0.25 ; 0.133333 ; 0.111111 ; 0.25 ; 0.111111 ; 0.0909091 ; 0.333333 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.2 ; 0.2 ; 0.2 ; 0.111111 ; 0.111111 ; 0.111111 ; 1 ; 0.5 ; 0.2 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.2 ; 0.111111 ; 0.2 ; 0.333333 ; 0.347826 ; 0.333333 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.2 ; 0.25 ; 0.5 ; 0.25 ; 0.25
fichier bn:00021475n ; 0.307692 ; 0.125 ; 0.105263 ; 1 ; 0.133333 ; 0.0625 ; 0.05 ; 0.380952 ; 0.235294 ; 0.114286 ; 0.105263 ; 0.5 ; 0.235294 ; 0.307692 ; 0.380952 ; 0.235294 ; 0.133333 ; 0.166667 ; 0.16 ; 0.590909 ; 0.235294 ; 0.4 ; 0.307692 ; 0.380952 ; 0.190476 ; 0.5 ; 0.153846 ; 0.0714286 ; 0.153846 ; 0.307692 ; 0.105263 ; 0.307692 ; 0.307692 ; 0.153846 ; 0.307692 ; 0.133333 ; 0.307692 ; 0.153846 ; 0.153846 ; 0.0714286 ; 0.105263 ; 0.16 ; 0.380952 ; 0.307692 ; 0.153846 ; 0.153846 ; 0.307692 ; 0.153846 ; 0.307692 ; 0.105263 ; 0.125 ; 0.105263 ; 0.307692 ; 0.133333 ; 0.153846 ; 0.307692 ; 0.0714286 ; 0.133333 ; 0.0714286 ; 0.153846
client bn:00019764n ; 0.142857 ; 0.08 ; 0.2 ; 0.133333 ; 1 ; 0.333333 ; 0.2 ; 0.25 ; 0.2 ; 0.0714286 ; 0.2 ; 0.153846 ; 0.2 ; 0.0869565 ; 0.25 ; 0.5 ; 0.142857 ; 0.117647 ; 0.25 ; 0.0833333 ; 0.2 ; 0.117647 ; 0.142857 ; 0.111111 ; 0.0666667 ; 0.153846 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.5 ; 0.142857 ; 0.142857 ; 0.2 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.111111 ; 0.111111 ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.2 ; 0.08 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.2 ; 0.2
base de donnée bn:00025333n ; 0.142857 ; 0.173913 ; 0.2 ; 0.0625 ; 0.333333 ; 1 ; 0.5 ; 0.111111 ; 0.2 ; 0.153846 ; 0.5 ; 0.0714286 ; 0.2 ; 0.0869565 ; 0.111111 ; 0.2 ; 0.142857 ; 0.266667 ; 0.111111 ; 0.04 ; 0.2 ; 0.0555556 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.0714286 ; 0.2 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.142857 ; 0.2 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.111111 ; 0.111111 ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.2 ; 0.173913 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.2 ; 0.2
donnée bn:00025314n ; 0.0909091 ; 0.347826 ; 0.333333 ; 0.05 ; 0.2 ; 0.5 ; 1 ; 0.0909091 ; 0.142857 ; 0.307692 ; 0.333333 ; 0.0625 ; 0.142857 ; 0.16 ; 0.0909091 ; 0.142857 ; 0.2 ; 0.210526 ; 0.2 ; 0.0714286 ; 0.142857 ; 0.0952381 ; 0.0909091 ; 0.0909091 ; 0.25 ; 0.0625 ; 0.111111 ; 0.25 ; 0.111111 ; 0.0909091 ; 0.333333 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.25 ; 0.333333 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.333333 ; 0.347826 ; 0.333333 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.25 ; 0.2 ; 0.25 ; 0.111111
php bn:01753580n ; 0.111111 ; 0.114286 ; 0.2 ; 0.380952 ; 0.25 ; 0.111111 ; 0.0909091 ; 1 ; 0.5 ; 0.235294 ; 0.2 ; 0.615385 ; 0.2 ; 0.275862 ; 1 ; 0.5 ; 0.111111 ; 0.148148 ; 0.333333 ; 0.266667 ; 0.5 ; 0.347826 ; 0.25 ; 0.333333 ; 0.0769231 ; 0.615385 ; 0.125 ; 0.125 ; 0.125 ; 0.25 ; 0.2 ; 0.111111 ; 0.25 ; 0.125 ; 0.25 ; 0.111111 ; 0.25 ; 0.125 ; 0.125 ; 0.0588235 ; 0.2 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.125 ; 0.125 ; 0.25 ; 0.125 ; 0.25 ; 0.2 ; 0.114286 ; 0.2 ; 0.111111 ; 0.25 ; 0.125 ; 0.25 ; 0.0588235 ; 0.111111 ; 0.0588235 ; 0.125
code bn:00020354n ; 0.2 ; 0.148148 ; 0.333333 ; 0.235294 ; 0.2 ; 0.2 ; 0.142857 ; 0.5 ; 1 ; 0.307692 ; 0.333333 ; 0.307692 ; 0.333333 ; 0.16 ; 0.5 ; 0.333333 ; 0.2 ; 0.210526 ; 0.2 ; 0.153846 ; 1 ; 0.210526 ; 0.5 ; 0.5 ; 0.111111 ; 0.307692 ; 0.25 ; 0.25 ; 0.25 ; 0.2 ; 0.142857 ; 0.2 ; 0.5 ; 0.25 ; 0.5 ; 0.2 ; 0.5 ; 0.25 ; 0.25 ; 0.111111 ; 0.333333 ; 0.5 ; 0.5 ; 0.2 ; 0.25 ; 0.25 ; 0.5 ; 0.25 ; 0.5 ; 0.333333 ; 0.148148 ; 0.333333 ; 0.2 ; 0.5 ; 0.25 ; 0.5 ; 0.111111 ; 0.2 ; 0.111111 ; 0.25
texte bn:00076732n ; 0.0714286 ; 0.4 ; 0.307692 ; 0.114286 ; 0.0714286 ; 0.153846 ; 0.307692 ; 0.235294 ; 0.307692 ; 1 ; 0.307692 ; 0.181818 ; 0.133333 ; 0.382353 ; 0.235294 ; 0.133333 ; 0.153846 ; 0.242424 ; 0.235294 ; 0.2 ; 0.307692 ; 0.242424 ; 0.153846 ; 0.235294 ; 0.225806 ; 0.181818 ; 0.0769231 ; 0.0769231 ; 0.0769231 ; 0.0714286 ; 0.133333 ; 0.0714286 ; 0.153846 ; 0.0769231 ; 0.153846 ; 0.153846 ; 0.153846 ; 0.0769231 ; 0.0769231 ; 0.0769231 ; 0.307692 ; 0.615385 ; 0.235294 ; 0.0714286 ; 0.0769231 ; 0.0769231 ; 0.153846 ; 0.0769231 ; 0.153846 ; 0.307692 ; 0.4 ; 0.307692 ; 0.0714286 ; 0.153846 ; 0.0769231 ; 0.153846 ; 0.0769231 ; 0.153846 ; 0.0769231 ; 0.0769231
