Objects;Weight
page web bn:00080778n;0.0540541
navigateur bn:00013447n;0.27027
serveur web bn:02705179n;0.216216
fichier bn:00021475n;0.216216
client bn:00019764n;0.108108
base de donnée bn:00025333n;0.108108
donnée bn:00025314n;0.216216
php bn:01753580n;0.108108
code bn:00020354n;0.216216
texte bn:00076732n;0.108108
concerner bn:00083240v;0.216216
délimiter bn:00086464v;0.189189
case à cocher bn:03157691n;0.216216
post bn:01500184n;0.108108
nombre bn:00058285n;0.351351
text bn:14981519n;0.351351
langage bn:00049910n;0.324324
utilisateur bn:00079373n;0.216216
associer bn:00082868v;0.108108
méthode post bn:00045088n;0.27027
machine bn:00054050n;0.0540541
mysql bn:01225760n;0.0540541
salaire bn:15928884n;0.0540541
jour bn:00000086n;0.108108
site bn:00047172n;0.189189
chaîne bn:00074685n;0.108108
header bn:00043309n;0.108108
moteur bn:00030850n;0.0540541
paris bn:00015540n;0.108108
langage de script bn:01431715n;0.108108
côté serveur bn:03816678n;0.108108
opérateur bn:16281811n;0.0540541
super bn:17336345n;0.0540541
type bn:00016413n;0.0540541
foreach bn:03463379n;0.216216
interpréter bn:00089840v;0.108108
transaction bn:01403911n;0.0540541
côté client bn:03163702n;0.0540541
classes bn:03608262n;0.108108
bienvenue bn:00080852n;0.0540541
class bn:03598962n;0.108108
mot bn:00081546n;0.216216
session bn:03751534n;0.0540541
visiteur bn:03106425n;0.108108
afficher bn:00087013v;0.108108
pouvoir bn:00084451v;0.0540541
mysqli bn:01438356n;0.108108
france bn:00036202n;0.0540541
list bn:04720346n;0.108108
timestamp bn:03603649n;0.0540541
accéder bn:00082209v;0.0540541
