Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;4;0;7;;C1.csv,C10.csv,C2.csv,C4.csv,C7.csv,C8.csv,C9.csv,;
1;3;1;3;donnée bn:00025314n,;C2.csv,C4.csv,C7.csv,;
2;3;1;3;case à cocher bn:03157691n,;C1.csv,C4.csv,C9.csv,;
3;4;1;4;nombre bn:00058285n,;C10.csv,C4.csv,C7.csv,C8.csv,;
4;4;1;4;text bn:14981519n,;C1.csv,C10.csv,C2.csv,C4.csv,;
5;4;1;4;langage bn:00049910n,;C1.csv,C10.csv,C8.csv,C9.csv,;
6;3;2;4;navigateur bn:00013447n,méthode post bn:00045088n,;C2.csv,C7.csv,C8.csv,C9.csv,;
7;3;2;3;serveur web bn:02705179n,foreach bn:03463379n,;C2.csv,C4.csv,C9.csv,;
8;3;2;3;fichier bn:00021475n,langage bn:00049910n,;C1.csv,C10.csv,C9.csv,;
9;3;2;3;code bn:00020354n,utilisateur bn:00079373n,;C10.csv,C4.csv,C9.csv,;
10;3;2;3;concerner bn:00083240v,nombre bn:00058285n,;C10.csv,C4.csv,C7.csv,;
11;3;2;3;délimiter bn:00086464v,nombre bn:00058285n,;C10.csv,C4.csv,C8.csv,;
12;3;2;3;text bn:14981519n,site bn:00047172n,;C1.csv,C2.csv,C4.csv,;
13;3;2;3;text bn:14981519n,mot bn:00081546n,;C10.csv,C2.csv,C4.csv,;
14;2;3;2;navigateur bn:00013447n,donnée bn:00025314n,méthode post bn:00045088n,;C2.csv,C7.csv,;
15;2;3;2;navigateur bn:00013447n,nombre bn:00058285n,méthode post bn:00045088n,;C7.csv,C8.csv,;
16;2;3;2;navigateur bn:00013447n,langage bn:00049910n,méthode post bn:00045088n,;C8.csv,C9.csv,;
17;2;3;2;fichier bn:00021475n,case à cocher bn:03157691n,langage bn:00049910n,;C1.csv,C9.csv,;
18;2;3;2;texte bn:00076732n,concerner bn:00083240v,nombre bn:00058285n,;C10.csv,C7.csv,;
19;2;3;2;text bn:14981519n,langage de script bn:01431715n,mot bn:00081546n,;C10.csv,C2.csv,;
20;2;4;2;fichier bn:00021475n,text bn:14981519n,langage bn:00049910n,jour bn:00000086n,;C1.csv,C10.csv,;
21;2;4;2;client bn:00019764n,case à cocher bn:03157691n,text bn:14981519n,site bn:00047172n,;C1.csv,C4.csv,;
22;2;4;2;base de donnée bn:00025333n,donnée bn:00025314n,concerner bn:00083240v,nombre bn:00058285n,;C4.csv,C7.csv,;
23;2;6;2;navigateur bn:00013447n,serveur web bn:02705179n,post bn:01500184n,méthode post bn:00045088n,foreach bn:03463379n,list bn:04720346n,;C2.csv,C9.csv,;
24;2;6;2;serveur web bn:02705179n,donnée bn:00025314n,text bn:14981519n,site bn:00047172n,foreach bn:03463379n,mot bn:00081546n,;C2.csv,C4.csv,;
25;2;6;2;serveur web bn:02705179n,php bn:01753580n,code bn:00020354n,case à cocher bn:03157691n,utilisateur bn:00079373n,foreach bn:03463379n,;C4.csv,C9.csv,;
26;2;6;2;délimiter bn:00086464v,nombre bn:00058285n,langage bn:00049910n,chaîne bn:00074685n,interpréter bn:00089840v,visiteur bn:03106425n,;C10.csv,C8.csv,;
27;1;7;1;fichier bn:00021475n,client bn:00019764n,case à cocher bn:03157691n,text bn:14981519n,langage bn:00049910n,jour bn:00000086n,site bn:00047172n,;C1.csv,;
28;1;8;1;navigateur bn:00013447n,base de donnée bn:00025333n,donnée bn:00025314n,texte bn:00076732n,concerner bn:00083240v,nombre bn:00058285n,méthode post bn:00045088n,type bn:00016413n,;C7.csv,;
29;2;8;2;code bn:00020354n,concerner bn:00083240v,délimiter bn:00086464v,nombre bn:00058285n,text bn:14981519n,utilisateur bn:00079373n,mot bn:00081546n,afficher bn:00087013v,;C10.csv,C4.csv,;
30;1;9;1;page web bn:00080778n,navigateur bn:00013447n,délimiter bn:00086464v,nombre bn:00058285n,langage bn:00049910n,méthode post bn:00045088n,chaîne bn:00074685n,interpréter bn:00089840v,visiteur bn:03106425n,;C8.csv,;
31;2;11;2;fichier bn:00021475n,code bn:00020354n,langage bn:00049910n,utilisateur bn:00079373n,associer bn:00082868v,header bn:00043309n,paris bn:00015540n,côté serveur bn:03816678n,classes bn:03608262n,class bn:03598962n,mysqli bn:01438356n,;C10.csv,C9.csv,;
32;1;13;1;navigateur bn:00013447n,serveur web bn:02705179n,donnée bn:00025314n,post bn:01500184n,text bn:14981519n,méthode post bn:00045088n,site bn:00047172n,langage de script bn:01431715n,foreach bn:03463379n,mot bn:00081546n,france bn:00036202n,list bn:04720346n,timestamp bn:03603649n,;C2.csv,;
33;1;18;1;serveur web bn:02705179n,client bn:00019764n,base de donnée bn:00025333n,donnée bn:00025314n,php bn:01753580n,code bn:00020354n,concerner bn:00083240v,délimiter bn:00086464v,case à cocher bn:03157691n,nombre bn:00058285n,text bn:14981519n,utilisateur bn:00079373n,mysql bn:01225760n,site bn:00047172n,foreach bn:03463379n,mot bn:00081546n,session bn:03751534n,afficher bn:00087013v,;C4.csv,;
34;1;20;1;navigateur bn:00013447n,serveur web bn:02705179n,fichier bn:00021475n,php bn:01753580n,code bn:00020354n,case à cocher bn:03157691n,post bn:01500184n,langage bn:00049910n,utilisateur bn:00079373n,associer bn:00082868v,méthode post bn:00045088n,header bn:00043309n,paris bn:00015540n,côté serveur bn:03816678n,foreach bn:03463379n,classes bn:03608262n,class bn:03598962n,mysqli bn:01438356n,list bn:04720346n,accéder bn:00082209v,;C9.csv,;
35;1;32;1;fichier bn:00021475n,code bn:00020354n,texte bn:00076732n,concerner bn:00083240v,délimiter bn:00086464v,nombre bn:00058285n,text bn:14981519n,langage bn:00049910n,utilisateur bn:00079373n,associer bn:00082868v,machine bn:00054050n,salaire bn:15928884n,jour bn:00000086n,chaîne bn:00074685n,header bn:00043309n,moteur bn:00030850n,paris bn:00015540n,langage de script bn:01431715n,côté serveur bn:03816678n,opérateur bn:16281811n,super bn:17336345n,interpréter bn:00089840v,transaction bn:01403911n,côté client bn:03163702n,classes bn:03608262n,bienvenue bn:00080852n,class bn:03598962n,mot bn:00081546n,visiteur bn:03106425n,afficher bn:00087013v,pouvoir bn:00084451v,mysqli bn:01438356n,;C10.csv,;
