X ; page web bn:00080778n ; navigateur bn:00013447n ; serveur web bn:02705179n ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; texte bn:00076732n ; concerner bn:00083240v ; délimiter bn:00086464v ; case à cocher bn:03157691n ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; langage bn:00049910n ; utilisateur bn:00079373n ; associer bn:00082868v ; méthode post bn:00045088n ; machine bn:00054050n ; mysql bn:01225760n ; salaire bn:15928884n ; jour bn:00000086n ; site bn:00047172n ; chaîne bn:00074685n ; header bn:00043309n ; moteur bn:00030850n ; paris bn:00015540n ; langage de script bn:01431715n ; côté serveur bn:03816678n ; opérateur bn:16281811n ; super bn:17336345n ; type bn:00016413n ; foreach bn:03463379n ; interpréter bn:00089840v ; transaction bn:01403911n ; côté client bn:03163702n ; classes bn:03608262n ; bienvenue bn:00080852n ; class bn:03598962n ; mot bn:00081546n ; session bn:03751534n ; visiteur bn:03106425n ; afficher bn:00087013v ; pouvoir bn:00084451v ; mysqli bn:01438356n ; france bn:00036202n ; list bn:04720346n ; timestamp bn:03603649n ; accéder bn:00082209v
page web bn:00080778n ; 1 ; 0.2 ; 0.111111 ; 0.111111 ; 0.2 ; 0.2 ; 0.111111 ; 0.2 ; 0.111111 ; 0.2 ; 0.111111 ; 0.285714 ; 0.111111 ; 0.2 ; 0.153846 ; 0.0714286 ; 0.166667 ; 0.111111 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.125 ; 0.5 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.5 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.111111 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333
navigateur bn:00013447n ; 0.2 ; 1 ; 0.285714 ; 0.125 ; 0.0769231 ; 0.166667 ; 0.285714 ; 0.166667 ; 0.125 ; 0.166667 ; 0.125 ; 0.133333 ; 0.125 ; 0.4 ; 0.210526 ; 0.0952381 ; 0.222222 ; 0.125 ; 0.166667 ; 1 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0769231 ; 0.133333 ; 0.166667 ; 0.166667 ; 0.0909091 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.285714 ; 0.166667 ; 0.0909091 ; 0.0909091 ; 0.166667 ; 0.0909091 ; 0.166667 ; 0.125 ; 0.0909091 ; 0.166667 ; 0.0769231 ; 0.0909091 ; 0.166667 ; 0.2 ; 0.4 ; 0.2 ; 0.2
serveur web bn:02705179n ; 0.111111 ; 0.285714 ; 1 ; 0.142857 ; 0.2 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.0909091 ; 0.142857 ; 0.153846 ; 0.333333 ; 0.5 ; 0.105263 ; 0.235294 ; 0.111111 ; 0.333333 ; 0.2 ; 0.285714 ; 0.111111 ; 0.25 ; 0.111111 ; 0.0909091 ; 0.363636 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.2 ; 0.2 ; 0.2 ; 0.111111 ; 0.111111 ; 0.111111 ; 1 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.2 ; 0.111111 ; 0.2 ; 0.333333 ; 0.25 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.2 ; 0.25 ; 0.5 ; 0.25 ; 0.25
fichier bn:00021475n ; 0.111111 ; 0.125 ; 0.142857 ; 1 ; 0.2 ; 0.0909091 ; 0.0666667 ; 0.2 ; 0.333333 ; 0.2 ; 0.142857 ; 0.153846 ; 0.333333 ; 0.2 ; 0.105263 ; 0.235294 ; 0.666667 ; 0.333333 ; 0.5 ; 0.125 ; 0.25 ; 0.111111 ; 0.25 ; 0.5 ; 0.153846 ; 0.2 ; 0.5 ; 0.25 ; 0.5 ; 0.2 ; 0.5 ; 0.25 ; 0.25 ; 0.111111 ; 0.142857 ; 0.2 ; 0.25 ; 0.25 ; 0.5 ; 0.25 ; 0.5 ; 0.142857 ; 0.111111 ; 0.2 ; 0.2 ; 0.25 ; 0.5 ; 0.111111 ; 0.2 ; 0.111111 ; 0.25
client bn:00019764n ; 0.2 ; 0.0769231 ; 0.2 ; 0.2 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.142857 ; 0.2 ; 0.222222 ; 0.5 ; 0.142857 ; 0.133333 ; 0.307692 ; 0.142857 ; 0.2 ; 0.142857 ; 0.0769231 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.571429 ; 0.142857 ; 0.142857 ; 0.2 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.2 ; 0.5 ; 0.142857 ; 0.333333 ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.2 ; 0.2
base de donnée bn:00025333n ; 0.2 ; 0.166667 ; 0.2 ; 0.0909091 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 0.222222 ; 0.2 ; 0.142857 ; 0.307692 ; 0.133333 ; 0.0666667 ; 0.2 ; 0.142857 ; 0.166667 ; 0.2 ; 0.5 ; 0.2 ; 0.142857 ; 0.222222 ; 0.142857 ; 0.142857 ; 0.2 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.2 ; 0.5 ; 0.142857 ; 0.333333 ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.2 ; 0.2
donnée bn:00025314n ; 0.111111 ; 0.285714 ; 0.333333 ; 0.0666667 ; 0.2 ; 0.5 ; 1 ; 0.2 ; 0.142857 ; 0.2 ; 0.333333 ; 0.153846 ; 0.142857 ; 0.2 ; 0.235294 ; 0.235294 ; 0.0526316 ; 0.142857 ; 0.0909091 ; 0.285714 ; 0.111111 ; 0.25 ; 0.111111 ; 0.0909091 ; 0.363636 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.25 ; 0.333333 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.333333 ; 0.25 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.25 ; 0.2 ; 0.25 ; 0.111111
php bn:01753580n ; 0.2 ; 0.166667 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.5 ; 0.142857 ; 0.2 ; 0.222222 ; 0.5 ; 0.333333 ; 0.133333 ; 0.133333 ; 0.142857 ; 0.5 ; 0.333333 ; 0.166667 ; 0.2 ; 0.5 ; 0.2 ; 0.142857 ; 0.222222 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.142857 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.5 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.5
code bn:00020354n ; 0.111111 ; 0.125 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.142857 ; 0.5 ; 1 ; 0.2 ; 0.333333 ; 0.363636 ; 0.333333 ; 0.2 ; 0.235294 ; 0.235294 ; 0.25 ; 1 ; 0.5 ; 0.125 ; 0.25 ; 0.25 ; 0.25 ; 0.2 ; 0.153846 ; 0.2 ; 0.5 ; 0.25 ; 0.5 ; 0.2 ; 0.5 ; 0.25 ; 0.25 ; 0.111111 ; 0.333333 ; 0.2 ; 0.25 ; 0.25 ; 0.5 ; 0.25 ; 0.5 ; 0.333333 ; 0.25 ; 0.2 ; 0.5 ; 0.25 ; 0.5 ; 0.111111 ; 0.2 ; 0.111111 ; 0.25
texte bn:00076732n ; 0.2 ; 0.166667 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.142857 ; 0.2 ; 1 ; 0.5 ; 0.222222 ; 0.0909091 ; 0.142857 ; 0.307692 ; 0.133333 ; 0.142857 ; 0.2 ; 0.333333 ; 0.166667 ; 0.5 ; 0.2 ; 0.5 ; 0.333333 ; 0.1 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.5 ; 0.5 ; 0.0909091 ; 0.333333 ; 0.5 ; 0.5 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.5 ; 0.333333 ; 0.2 ; 0.142857 ; 0.2 ; 0.2
concerner bn:00083240v ; 0.111111 ; 0.125 ; 0.142857 ; 0.142857 ; 0.2 ; 0.5 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 1 ; 0.363636 ; 0.142857 ; 0.0909091 ; 0.615385 ; 0.235294 ; 0.111111 ; 0.333333 ; 0.2 ; 0.125 ; 0.25 ; 0.25 ; 0.25 ; 0.2 ; 0.153846 ; 0.2 ; 0.2 ; 0.25 ; 0.2 ; 0.2 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.142857 ; 0.2 ; 0.25 ; 0.25 ; 0.2 ; 0.25 ; 0.2 ; 0.333333 ; 0.25 ; 0.2 ; 0.5 ; 0.25 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.111111 ; 0.111111
délimiter bn:00086464v ; 0.285714 ; 0.133333 ; 0.153846 ; 0.153846 ; 0.222222 ; 0.222222 ; 0.153846 ; 0.222222 ; 0.363636 ; 0.222222 ; 0.363636 ; 1 ; 0.153846 ; 0.1 ; 0.538462 ; 0.25 ; 0.266667 ; 0.363636 ; 0.222222 ; 0.133333 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.222222 ; 0.166667 ; 0.571429 ; 0.222222 ; 0.285714 ; 0.222222 ; 0.222222 ; 0.222222 ; 0.285714 ; 0.285714 ; 0.125 ; 0.153846 ; 0.571429 ; 0.285714 ; 0.285714 ; 0.222222 ; 0.285714 ; 0.222222 ; 0.363636 ; 0.285714 ; 0.571429 ; 0.571429 ; 0.285714 ; 0.222222 ; 0.125 ; 0.1 ; 0.125 ; 0.125
case à cocher bn:03157691n ; 0.111111 ; 0.125 ; 0.333333 ; 0.333333 ; 0.5 ; 0.2 ; 0.142857 ; 0.5 ; 0.333333 ; 0.0909091 ; 0.142857 ; 0.153846 ; 1 ; 0.2 ; 0.105263 ; 0.235294 ; 0.25 ; 0.333333 ; 0.2 ; 0.125 ; 0.111111 ; 0.25 ; 0.111111 ; 0.2 ; 0.363636 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.2 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.2 ; 0.111111 ; 0.2 ; 0.142857 ; 0.25 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.2 ; 0.111111 ; 0.2 ; 0.111111 ; 0.25
post bn:01500184n ; 0.2 ; 0.4 ; 0.5 ; 0.2 ; 0.142857 ; 0.142857 ; 0.2 ; 0.333333 ; 0.2 ; 0.142857 ; 0.0909091 ; 0.1 ; 0.2 ; 1 ; 0.0625 ; 0.133333 ; 0.142857 ; 0.2 ; 0.333333 ; 0.4 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.222222 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.142857 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.142857 ; 0.142857 ; 0.2 ; 0.333333 ; 0.5 ; 1 ; 0.5 ; 0.5
nombre bn:00058285n ; 0.153846 ; 0.210526 ; 0.105263 ; 0.105263 ; 0.133333 ; 0.307692 ; 0.235294 ; 0.133333 ; 0.235294 ; 0.307692 ; 0.615385 ; 0.538462 ; 0.105263 ; 0.0625 ; 1 ; 0.181818 ; 0.190476 ; 0.235294 ; 0.133333 ; 0.210526 ; 0.153846 ; 0.153846 ; 0.153846 ; 0.133333 ; 0.111111 ; 0.307692 ; 0.133333 ; 0.153846 ; 0.133333 ; 0.133333 ; 0.133333 ; 0.153846 ; 0.153846 ; 0.153846 ; 0.105263 ; 0.307692 ; 0.153846 ; 0.153846 ; 0.133333 ; 0.153846 ; 0.133333 ; 0.235294 ; 0.153846 ; 0.307692 ; 0.307692 ; 0.153846 ; 0.133333 ; 0.0714286 ; 0.0625 ; 0.0714286 ; 0.0714286
text bn:14981519n ; 0.0714286 ; 0.0952381 ; 0.235294 ; 0.235294 ; 0.307692 ; 0.133333 ; 0.235294 ; 0.133333 ; 0.235294 ; 0.133333 ; 0.235294 ; 0.25 ; 0.235294 ; 0.133333 ; 0.181818 ; 1 ; 0.190476 ; 0.235294 ; 0.133333 ; 0.0952381 ; 0.153846 ; 0.153846 ; 0.153846 ; 0.307692 ; 0.538462 ; 0.133333 ; 0.133333 ; 0.153846 ; 0.133333 ; 0.307692 ; 0.133333 ; 0.153846 ; 0.153846 ; 0.0714286 ; 0.235294 ; 0.133333 ; 0.153846 ; 0.153846 ; 0.133333 ; 0.153846 ; 0.133333 ; 0.615385 ; 0.153846 ; 0.133333 ; 0.307692 ; 0.153846 ; 0.133333 ; 0.153846 ; 0.133333 ; 0.153846 ; 0.0714286
