X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
page web bn:00080778n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0416667 ; 0
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0416667
client bn:00019764n ; 0.0833333 ; 0 ; 0 ; 0.0833333 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0 ; 0.0833333 ; 0.0833333 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0 ; 0.166667 ; 0.166667 ; 0.166667 ; 0 ; 0
php bn:01753580n ; 0 ; 0 ; 0 ; 0.0833333 ; 0 ; 0 ; 0.0833333
délimiter bn:00086464v ; 0 ; 0.125 ; 0 ; 0.0833333 ; 0 ; 0.125 ; 0
post bn:01500184n ; 0 ; 0 ; 0.0833333 ; 0 ; 0 ; 0 ; 0.0833333
nombre bn:00058285n ; 0 ; 0.166667 ; 0 ; 0.166667 ; 0.166667 ; 0.208333 ; 0
méthode post bn:00045088n ; 0 ; 0 ; 0.166667 ; 0 ; 0.166667 ; 0.125 ; 0.125
machine bn:00054050n ; 0 ; 0.0416667 ; 0 ; 0 ; 0 ; 0 ; 0
mysql bn:01225760n ; 0 ; 0 ; 0 ; 0.0416667 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0.0416667 ; 0 ; 0 ; 0 ; 0 ; 0
site bn:00047172n ; 0.0833333 ; 0 ; 0.0833333 ; 0 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0.0833333 ; 0 ; 0 ; 0 ; 0.0833333 ; 0
moteur bn:00030850n ; 0 ; 0.0416667 ; 0 ; 0 ; 0 ; 0 ; 0
langage de script bn:01431715n ; 0 ; 0.0833333 ; 0.0833333 ; 0 ; 0 ; 0 ; 0
opérateur bn:16281811n ; 0 ; 0.0416667 ; 0 ; 0 ; 0 ; 0 ; 0
super bn:17336345n ; 0 ; 0.0416667 ; 0 ; 0 ; 0 ; 0 ; 0
type bn:00016413n ; 0 ; 0 ; 0 ; 0 ; 0.0416667 ; 0 ; 0
foreach bn:03463379n ; 0 ; 0 ; 0.166667 ; 0.166667 ; 0 ; 0 ; 0.166667
transaction bn:01403911n ; 0 ; 0.0416667 ; 0 ; 0 ; 0 ; 0 ; 0
côté client bn:03163702n ; 0 ; 0.0416667 ; 0 ; 0 ; 0 ; 0 ; 0
bienvenue bn:00080852n ; 0 ; 0.0416667 ; 0 ; 0 ; 0 ; 0 ; 0
session bn:03751534n ; 0 ; 0 ; 0 ; 0.0416667 ; 0 ; 0 ; 0
pouvoir bn:00084451v ; 0 ; 0.0416667 ; 0 ; 0 ; 0 ; 0 ; 0
france bn:00036202n ; 0 ; 0 ; 0.0416667 ; 0 ; 0 ; 0 ; 0
timestamp bn:03603649n ; 0 ; 0 ; 0.0416667 ; 0 ; 0 ; 0 ; 0
accéder bn:00082209v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0416667
