Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;5;0;7;;C1.csv,C10.csv,C2.csv,C4.csv,C7.csv,C8.csv,C9.csv,;
1;3;1;3;fichier bn:00021475n,;C2.csv,C4.csv,C7.csv,;
2;4;1;4;client bn:00019764n,;C10.csv,C2.csv,C7.csv,C8.csv,;
3;4;1;4;base de donnée bn:00025333n,;C1.csv,C10.csv,C8.csv,C9.csv,;
4;3;1;3;nombre bn:00058285n,;C1.csv,C2.csv,C9.csv,;
5;2;1;2;méthode post bn:00045088n,;C10.csv,C4.csv,;
6;4;1;4;site bn:00047172n,;C10.csv,C7.csv,C8.csv,C9.csv,;
7;2;1;2;langage de script bn:01431715n,;C4.csv,C9.csv,;
8;3;2;3;client bn:00019764n,php bn:01753580n,;C2.csv,C7.csv,C8.csv,;
9;2;2;2;base de donnée bn:00025333n,nombre bn:00058285n,;C1.csv,C9.csv,;
10;2;2;2;base de donnée bn:00025333n,salaire bn:15928884n,;C1.csv,C8.csv,;
11;2;2;2;délimiter bn:00086464v,nombre bn:00058285n,;C1.csv,C2.csv,;
12;2;3;2;navigateur bn:00013447n,serveur web bn:02705179n,base de donnée bn:00025333n,;C1.csv,C10.csv,;
13;2;3;2;fichier bn:00021475n,client bn:00019764n,php bn:01753580n,;C2.csv,C7.csv,;
14;3;3;3;client bn:00019764n,site bn:00047172n,foreach bn:03463379n,;C10.csv,C7.csv,C8.csv,;
15;3;3;3;base de donnée bn:00025333n,donnée bn:00025314n,site bn:00047172n,;C10.csv,C8.csv,C9.csv,;
16;1;4;1;fichier bn:00021475n,méthode post bn:00045088n,langage de script bn:01431715n,list bn:04720346n,;C4.csv,;
17;2;4;2;client bn:00019764n,php bn:01753580n,site bn:00047172n,foreach bn:03463379n,;C7.csv,C8.csv,;
18;2;4;2;base de donnée bn:00025333n,donnée bn:00025314n,text bn:14981519n,site bn:00047172n,;C8.csv,C9.csv,;
19;2;5;2;client bn:00019764n,base de donnée bn:00025333n,donnée bn:00025314n,site bn:00047172n,foreach bn:03463379n,;C10.csv,C8.csv,;
20;1;9;1;navigateur bn:00013447n,serveur web bn:02705179n,client bn:00019764n,base de donnée bn:00025333n,donnée bn:00025314n,méthode post bn:00045088n,site bn:00047172n,foreach bn:03463379n,méthode bn:01641329n,;C10.csv,;
21;1;11;1;fichier bn:00021475n,client bn:00019764n,php bn:01753580n,commentaire bn:00020978n,délimiter bn:00086464v,case à cocher bn:03157691n,nombre bn:00058285n,côté serveur bn:03816678n,serveur bn:00044916n,interpréter bn:00089840v,côté client bn:03163702n,;C2.csv,;
22;1;13;1;base de donnée bn:00025333n,donnée bn:00025314n,nombre bn:00058285n,text bn:14981519n,site bn:00047172n,moteur bn:00030850n,langage de script bn:01431715n,type bn:00016413n,transaction bn:01403911n,mot bn:00081546n,visiteur bn:03106425n,afficher bn:00087013v,pouvoir bn:00084451v,;C9.csv,;
23;1;14;1;page web bn:00080778n,navigateur bn:00013447n,serveur web bn:02705179n,base de donnée bn:00025333n,texte bn:00076732n,concerner bn:00083240v,délimiter bn:00086464v,nombre bn:00058285n,utilisateur bn:00079373n,associer bn:00082868v,personne bn:00046516n,machine bn:00054050n,mysql bn:01225760n,salaire bn:15928884n,;C1.csv,;
24;1;16;1;fichier bn:00021475n,client bn:00019764n,php bn:01753580n,url bn:00079080n,langage bn:00049910n,case bn:04777941n,fermeture bn:16858148n,site bn:00047172n,chaîne bn:00074685n,header bn:00043309n,super bn:17336345n,foreach bn:03463379n,session bn:03751534n,france bn:00036202n,timestamp bn:03603649n,accéder bn:00082209v,;C7.csv,;
25;1;19;1;client bn:00019764n,base de donnée bn:00025333n,donnée bn:00025314n,php bn:01753580n,code bn:00020354n,fois bn:00032768n,post bn:01500184n,text bn:14981519n,salaire bn:15928884n,jour bn:00000086n,site bn:00047172n,paris bn:00015540n,opérateur bn:16281811n,foreach bn:03463379n,cle bn:04756252n,classes bn:03608262n,bienvenue bn:00080852n,class bn:03598962n,mysqli bn:01438356n,;C8.csv,;
26;0;60;0;page web bn:00080778n,navigateur bn:00013447n,serveur web bn:02705179n,fichier bn:00021475n,client bn:00019764n,base de donnée bn:00025333n,donnée bn:00025314n,php bn:01753580n,code bn:00020354n,texte bn:00076732n,concerner bn:00083240v,commentaire bn:00020978n,délimiter bn:00086464v,fois bn:00032768n,url bn:00079080n,case à cocher bn:03157691n,post bn:01500184n,nombre bn:00058285n,text bn:14981519n,langage bn:00049910n,utilisateur bn:00079373n,case bn:04777941n,associer bn:00082868v,personne bn:00046516n,méthode post bn:00045088n,fermeture bn:16858148n,machine bn:00054050n,mysql bn:01225760n,salaire bn:15928884n,jour bn:00000086n,site bn:00047172n,chaîne bn:00074685n,header bn:00043309n,moteur bn:00030850n,paris bn:00015540n,langage de script bn:01431715n,côté serveur bn:03816678n,opérateur bn:16281811n,super bn:17336345n,type bn:00016413n,foreach bn:03463379n,cle bn:04756252n,serveur bn:00044916n,interpréter bn:00089840v,transaction bn:01403911n,côté client bn:03163702n,classes bn:03608262n,bienvenue bn:00080852n,class bn:03598962n,mot bn:00081546n,méthode bn:01641329n,session bn:03751534n,visiteur bn:03106425n,afficher bn:00087013v,pouvoir bn:00084451v,mysqli bn:01438356n,france bn:00036202n,list bn:04720346n,timestamp bn:03603649n,accéder bn:00082209v,;;
