X ; C1.csv ; C10.csv ; C2.csv ; C4.csv ; C7.csv ; C8.csv ; C9.csv
page web bn:00080778n ; 0 ; 0.016129 ; 0 ; 0 ; 0 ; 0 ; 0
page web statiques bn:03576307n ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
navigateur bn:00013447n ; 0 ; 0 ; 0.231884 ; 0.227273 ; 0.234375 ; 0.245902 ; 0.234375
serveur web bn:02705179n ; 0.16 ; 0 ; 0.129032 ; 0.137931 ; 0 ; 0 ; 0.142857
fichier bn:00021475n ; 0.206897 ; 0.219178 ; 0 ; 0.21875 ; 0.225806 ; 0.196721 ; 0
disque dur bn:00073359n ; 0.0869565 ; 0.0615385 ; 0 ; 0 ; 0.0769231 ; 0 ; 0
client bn:00019764n ; 0 ; 0.115942 ; 0.129032 ; 0 ; 0.142857 ; 0.150943 ; 0
client serveur bn:03496583n ; 0.0869565 ; 0.0615385 ; 0 ; 0 ; 0 ; 0 ; 0.0769231
base de donnée bn:00025333n ; 0.12 ; 0.119403 ; 0 ; 0 ; 0 ; 0.113208 ; 0.127273
donnée bn:00025314n ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
ensemble bn:00114766r ; 0.0454545 ; 0.031746 ; 0 ; 0 ; 0 ; 0 ; 0
php bn:01753580n ; 0.16 ; 0.115942 ; 0.129032 ; 0 ; 0.142857 ; 0 ; 0
javascript bn:00055423n ; 0.275862 ; 0.207792 ; 0.228571 ; 0.242424 ; 0 ; 0 ; 0.25
perl bn:01723165n ; 0.16 ; 0.115942 ; 0 ; 0.137931 ; 0 ; 0 ; 0.142857
python bn:01713224n ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
java bn:00048043n ; 0.16 ; 0.115942 ; 0.129032 ; 0 ; 0.142857 ; 0 ; 0
code bn:00020354n ; 0.364865 ; 0.348315 ; 0.361446 ; 0.3625 ; 0.3375 ; 0 ; 0.3375
code source bn:00072947n ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
fichier texte bn:00028018n ; 0.16 ; 0 ; 0.129032 ; 0.137931 ; 0.142857 ; 0 ; 0
texte bn:00076732n ; 0 ; 0.207792 ; 0.228571 ; 0.242424 ; 0.25 ; 0 ; 0.25
mise en forme bn:01681906n ; 0.0454545 ; 0 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
concerner bn:00083240v ; 0 ; 0.0615385 ; 0 ; 0.0740741 ; 0.0769231 ; 0 ; 0
commentaire bn:00020978n ; 0.206897 ; 0.219178 ; 0 ; 0.21875 ; 0 ; 0.196721 ; 0.225806
affichage bn:00010421n ; 0.364865 ; 0.348315 ; 0.361446 ; 0.3625 ; 0.3375 ; 0 ; 0.3375
gras bn:00011848n ; 0.0454545 ; 0 ; 0 ; 0.0384615 ; 0 ; 0 ; 0
fois bn:00032768n ; 0.241379 ; 0.213333 ; 0.217391 ; 0 ; 0.21875 ; 0 ; 0.21875
chemin bn:03131414n ; 0.0869565 ; 0.0615385 ; 0 ; 0 ; 0 ; 0 ; 0.0769231
lien hypertextes bn:00045513n ; 0.324324 ; 0.376471 ; 0.341463 ; 0.358974 ; 0 ; 0.311688 ; 0.368421
url bn:00079080n ; 0.16 ; 0.115942 ; 0 ; 0.137931 ; 0 ; 0 ; 0.142857
textuels bn:00111786a ; 0.0232558 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
case à cocher bn:03157691n ; 0.0869565 ; 0 ; 0 ; 0.0740741 ; 0 ; 0 ; 0.0769231
