X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
page web bn:00080778n ; 0 ; 0 ; 0.0297398 ; 0 ; 0.0297398 ; 0.0297398 ; 0 ; 0.0297398 ; 0 ; 0
navigateur bn:00013447n ; 0 ; 0.163569 ; 0.208178 ; 0.174721 ; 0.230483 ; 0.223048 ; 0.111524 ; 0.133829 ; 0.197026 ; 0
serveur web bn:02705179n ; 0 ; 0.0892193 ; 0.104089 ; 0.0966543 ; 0.104089 ; 0.104089 ; 0 ; 0 ; 0.0966543 ; 0
fichier bn:00021475n ; 0.0557621 ; 0 ; 0 ; 0 ; 0.0817844 ; 0.0780669 ; 0 ; 0.0594796 ; 0.0855019 ; 0.0892193
client bn:00019764n ; 0.0148699 ; 0 ; 0.0148699 ; 0.0148699 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0260223 ; 0.0223048 ; 0.0297398 ; 0 ; 0.0223048 ; 0 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0.0520446 ; 0.0520446 ; 0.0446097 ; 0.0594796 ; 0 ; 0.0446097 ; 0 ; 0 ; 0
php bn:01753580n ; 0.0966543 ; 0 ; 0.0966543 ; 0.107807 ; 0 ; 0.104089 ; 0 ; 0 ; 0.104089 ; 0.118959
code bn:00020354n ; 0.137546 ; 0.152416 ; 0 ; 0.182156 ; 0.215613 ; 0.215613 ; 0.0743494 ; 0 ; 0.178439 ; 0.208178
texte bn:00076732n ; 0 ; 0.219331 ; 0.256506 ; 0.230483 ; 0.286245 ; 0.27881 ; 0.126394 ; 0 ; 0.226766 ; 0.226766
concerner bn:00083240v ; 0 ; 0 ; 0.0892193 ; 0.0855019 ; 0.111524 ; 0.0966543 ; 0.0669145 ; 0 ; 0 ; 0.0817844
commentaire bn:00020978n ; 0.107807 ; 0 ; 0.152416 ; 0.152416 ; 0.159851 ; 0 ; 0 ; 0.107807 ; 0.156134 ; 0.174721
délimiter bn:00086464v ; 0 ; 0 ; 0.0594796 ; 0.0557621 ; 0 ; 0.0557621 ; 0 ; 0.0557621 ; 0 ; 0.0557621
fois bn:00032768n ; 0.137546 ; 0.185874 ; 0.208178 ; 0 ; 0.211896 ; 0.237918 ; 0.0855019 ; 0 ; 0.185874 ; 0.219331
url bn:00079080n ; 0.0966543 ; 0 ; 0.104089 ; 0.107807 ; 0.104089 ; 0 ; 0 ; 0 ; 0.0966543 ; 0.118959
case à cocher bn:03157691n ; 0.0297398 ; 0 ; 0 ; 0.0297398 ; 0 ; 0.0297398 ; 0 ; 0 ; 0.0297398 ; 0
post bn:01500184n ; 0 ; 0.0520446 ; 0.0557621 ; 0 ; 0.0520446 ; 0.0594796 ; 0 ; 0 ; 0.0520446 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0446097 ; 0.0520446 ; 0 ; 0.0297398 ; 0.0408922 ; 0 ; 0.0408922
text bn:14981519n ; 0.141264 ; 0.133829 ; 0.171004 ; 0.159851 ; 0.178439 ; 0.163569 ; 0 ; 0 ; 0 ; 0.178439
langage bn:00049910n ; 0.148699 ; 0.159851 ; 0.234201 ; 0 ; 0.230483 ; 0.256506 ; 0 ; 0.133829 ; 0.241636 ; 0.252788
zones bn:00005513n ; 0 ; 0 ; 0.00743494 ; 0 ; 0 ; 0.00743494 ; 0 ; 0 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0 ; 0.118959 ; 0.118959 ; 0.118959 ; 0.118959 ; 0 ; 0 ; 0.118959 ; 0.118959
case bn:04777941n ; 0.070632 ; 0.0817844 ; 0.0892193 ; 0 ; 0 ; 0.0966543 ; 0 ; 0 ; 0.0892193 ; 0.104089
associer bn:00082868v ; 0 ; 0 ; 0.0594796 ; 0 ; 0.0594796 ; 0.0594796 ; 0 ; 0 ; 0.0594796 ; 0.0594796
personne bn:00046516n ; 0 ; 0 ; 0.100372 ; 0.100372 ; 0.104089 ; 0 ; 0 ; 0.0966543 ; 0.107807 ; 0.104089
méthode post bn:00045088n ; 0 ; 0.0594796 ; 0.0669145 ; 0 ; 0 ; 0.0743494 ; 0.0408922 ; 0.0483271 ; 0.0669145 ; 0
fermeture bn:16858148n ; 0.189591 ; 0 ; 0.282528 ; 0.271375 ; 0.289963 ; 0.267658 ; 0 ; 0.185874 ; 0.29368 ; 0.32342
machine bn:00054050n ; 0 ; 0 ; 0.0297398 ; 0 ; 0.0297398 ; 0.0297398 ; 0 ; 0 ; 0 ; 0.0297398
mysql bn:01225760n ; 0 ; 0 ; 0.0297398 ; 0.0297398 ; 0.0297398 ; 0.0297398 ; 0 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00371747
jour bn:00000086n ; 0.0260223 ; 0 ; 0.0260223 ; 0 ; 0 ; 0.0260223 ; 0 ; 0 ; 0 ; 0.0297398
programmation bn:00021493n ; 0.130112 ; 0.115242 ; 0 ; 0.152416 ; 0.156134 ; 0.171004 ; 0 ; 0 ; 0.152416 ; 0.178439
site bn:00047172n ; 0.0520446 ; 0.0520446 ; 0.0557621 ; 0.0520446 ; 0.0594796 ; 0 ; 0 ; 0 ; 0 ; 0
