X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
page web bn:00080778n ; 0 ; 0 ; 0.0588235 ; 0 ; 0.0522876 ; 0.0544218 ; 0 ; 0.112676 ; 0 ; 0
navigateur bn:00013447n ; 0 ; 0.273292 ; 0.297872 ; 0.256831 ; 0.311558 ; 0.307692 ; 0.229008 ; 0.251748 ; 0.280423 ; 0
serveur web bn:02705179n ; 0 ; 0.198347 ; 0.179487 ; 0.180556 ; 0.16185 ; 0.167665 ; 0 ; 0 ; 0.166667 ; 0
fichier bn:00021475n ; 0.145631 ; 0 ; 0 ; 0 ; 0.130952 ; 0.128834 ; 0 ; 0.173913 ; 0.155405 ; 0.155844
client bn:00019764n ; 0.0519481 ; 0 ; 0.030303 ; 0.0338983 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0518519 ; 0.0491803 ; 0.0529801 ; 0 ; 0.113208 ; 0 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0.135922 ; 0.0985915 ; 0.0923077 ; 0.101911 ; 0 ; 0.196721 ; 0 ; 0 ; 0
php bn:01753580n ; 0.247619 ; 0 ; 0.1625 ; 0.202797 ; 0 ; 0.16568 ; 0 ; 0 ; 0.179487 ; 0.201258
code bn:00020354n ; 0.255172 ; 0.261146 ; 0 ; 0.281609 ; 0.295918 ; 0.305263 ; 0.149254 ; 0 ; 0.256684 ; 0.301075
texte bn:00076732n ; 0 ; 0.345029 ; 0.345 ; 0.321244 ; 0.368421 ; 0.365854 ; 0.223684 ; 0 ; 0.296117 ; 0.286385
concerner bn:00083240v ; 0 ; 0 ; 0.155844 ; 0.163121 ; 0.181818 ; 0.159509 ; 0.233766 ; 0 ; 0 ; 0.136646
commentaire bn:00020978n ; 0.221374 ; 0 ; 0.235632 ; 0.25625 ; 0.227513 ; 0 ; 0 ; 0.239669 ; 0.245614 ; 0.271676
délimiter bn:00086464v ; 0 ; 0 ; 0.111888 ; 0.115385 ; 0 ; 0.0967742 ; 0 ; 0.189873 ; 0 ; 0.100671
fois bn:00032768n ; 0.243421 ; 0.322581 ; 0.297872 ; 0 ; 0.279412 ; 0.335079 ; 0.166667 ; 0 ; 0.260417 ; 0.310526
url bn:00079080n ; 0.247619 ; 0 ; 0.177215 ; 0.202797 ; 0.16 ; 0 ; 0 ; 0 ; 0.164557 ; 0.201258
case à cocher bn:03157691n ; 0.0987654 ; 0 ; 0 ; 0.0655738 ; 0 ; 0.0544218 ; 0 ; 0 ; 0.0597015 ; 0
post bn:01500184n ; 0 ; 0.133333 ; 0.104895 ; 0 ; 0.0869565 ; 0.104575 ; 0 ; 0 ; 0.0985915 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0952381 ; 0.0903226 ; 0 ; 0.131148 ; 0.144737 ; 0 ; 0.0753425
text bn:14981519n ; 0.294574 ; 0.244898 ; 0.261364 ; 0.260606 ; 0.251309 ; 0.232804 ; 0 ; 0 ; 0 ; 0.268156
langage bn:00049910n ; 0.246914 ; 0.245714 ; 0.324742 ; 0 ; 0.292453 ; 0.346734 ; 0 ; 0.230769 ; 0.342105 ; 0.350515
zones bn:00005513n ; 0 ; 0 ; 0.0153846 ; 0 ; 0 ; 0.0141844 ; 0 ; 0 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0 ; 0.2 ; 0.219178 ; 0.180791 ; 0.187135 ; 0 ; 0 ; 0.202532 ; 0.193939
case bn:04777941n ; 0.180952 ; 0.186441 ; 0.154839 ; 0 ; 0 ; 0.158537 ; 0 ; 0 ; 0.156863 ; 0.179487
associer bn:00082868v ; 0 ; 0 ; 0.111111 ; 0 ; 0.0993789 ; 0.103226 ; 0 ; 0 ; 0.112676 ; 0.107383
personne bn:00046516n ; 0 ; 0 ; 0.169811 ; 0.186207 ; 0.16 ; 0 ; 0 ; 0.273684 ; 0.187097 ; 0.171779
méthode post bn:00045088n ; 0 ; 0.145455 ; 0.122449 ; 0 ; 0 ; 0.128205 ; 0.15493 ; 0.149425 ; 0.124138 ; 0
fermeture bn:16858148n ; 0.281768 ; 0 ; 0.36019 ; 0.365 ; 0.345133 ; 0.318584 ; 0 ; 0.290698 ; 0.383495 ; 0.42439
machine bn:00054050n ; 0 ; 0 ; 0.0588235 ; 0 ; 0.0522876 ; 0.0544218 ; 0 ; 0 ; 0 ; 0.0567376
mysql bn:01225760n ; 0 ; 0 ; 0.0588235 ; 0.0655738 ; 0.0522876 ; 0.0544218 ; 0 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00746269
jour bn:00000086n ; 0.0864198 ; 0 ; 0.0514706 ; 0 ; 0 ; 0.047619 ; 0 ; 0 ; 0 ; 0.0571429
programmation bn:00021493n ; 0.275591 ; 0.210884 ; 0 ; 0.253086 ; 0.21875 ; 0.252747 ; 0 ; 0 ; 0.235632 ; 0.275862
site bn:00047172n ; 0.157303 ; 0.133333 ; 0.104895 ; 0.107692 ; 0.100629 ; 0 ; 0 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0 ; 0.0268456 ; 0 ; 0 ; 0.0597015 ; 0 ; 0.0291971
header bn:00043309n ; 0 ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0544218 ; 0 ; 0 ; 0.0597015 ; 0.0567376
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.0655738 ; 0 ; 0 ; 0 ; 0.112676 ; 0.0597015 ; 0.0567376
moteur bn:00030850n ; 0 ; 0 ; 0.0588235 ; 0 ; 0.0522876 ; 0.0544218 ; 0 ; 0 ; 0 ; 0.0567376
configuration bn:03088982n ; 0 ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0307692 ; 0.0291971
paris bn:00015540n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.015625 ; 0.0148148
langage de script bn:01431715n ; 0 ; 0.0721649 ; 0 ; 0 ; 0.0457516 ; 0.0547945 ; 0 ; 0 ; 0 ; 0.0496454
côté serveur bn:03816678n ; 0 ; 0 ; 0.111111 ; 0 ; 0.0993789 ; 0.103226 ; 0 ; 0 ; 0.112676 ; 0.107383
opérateur bn:16281811n ; 0 ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0148148
super bn:17336345n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00746269
type bn:00016413n ; 0 ; 0 ; 0.0588235 ; 0 ; 0.0522876 ; 0.0544218 ; 0.150943 ; 0 ; 0 ; 0
foreach bn:03463379n ; 0 ; 0.198347 ; 0.179487 ; 0.180556 ; 0.16185 ; 0.167665 ; 0 ; 0 ; 0.166667 ; 0
cle bn:04756252n ; 0 ; 0.152381 ; 0.111111 ; 0.123077 ; 0 ; 0 ; 0 ; 0 ; 0.112676 ; 0.107383
serveur bn:00044916n ; 0 ; 0 ; 0.289617 ; 0.283237 ; 0.265 ; 0.253807 ; 0 ; 0.346457 ; 0.3 ; 0.26178
communication bn:00021221n ; 0 ; 0 ; 0 ; 0 ; 0.0136054 ; 0.0141844 ; 0 ; 0 ; 0 ; 0
interpréter bn:00089840v ; 0 ; 0 ; 0 ; 0 ; 0.0268456 ; 0 ; 0 ; 0.0597015 ; 0 ; 0.0291971
transaction bn:01403911n ; 0 ; 0 ; 0.030303 ; 0 ; 0.0268456 ; 0 ; 0 ; 0 ; 0 ; 0.0291971
côté client bn:03163702n ; 0 ; 0 ; 0.0588235 ; 0 ; 0.0522876 ; 0.0544218 ; 0 ; 0 ; 0 ; 0.0567376
classes bn:03608262n ; 0 ; 0 ; 0.111111 ; 0 ; 0.0993789 ; 0.103226 ; 0 ; 0 ; 0.112676 ; 0.107383
bienvenue bn:00080852n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0141844 ; 0 ; 0 ; 0 ; 0.0148148
class bn:03598962n ; 0 ; 0 ; 0 ; 0 ; 0.0268456 ; 0 ; 0 ; 0 ; 0.0307692 ; 0.0291971
mot bn:00081546n ; 0 ; 0.198347 ; 0.179487 ; 0.180556 ; 0.16185 ; 0.167665 ; 0 ; 0 ; 0 ; 0.159509
méthode bn:01641329n ; 0 ; 0.173228 ; 0 ; 0.167785 ; 0.184971 ; 0.177515 ; 0.179775 ; 0.194175 ; 0.169811 ; 0
session bn:03751534n ; 0 ; 0 ; 0.0588235 ; 0.0655738 ; 0.0522876 ; 0.0544218 ; 0 ; 0 ; 0 ; 0
visiteur bn:03106425n ; 0 ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0544218 ; 0 ; 0.112676 ; 0 ; 0.0567376
afficher bn:00087013v ; 0 ; 0 ; 0.0588235 ; 0.0655738 ; 0 ; 0.0544218 ; 0 ; 0 ; 0 ; 0.0567376
pouvoir bn:00084451v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00746269
mysqli bn:01438356n ; 0 ; 0 ; 0 ; 0 ; 0.0268456 ; 0 ; 0 ; 0 ; 0.0307692 ; 0.0291971
insert bn:03795444n ; 0 ; 0 ; 0.0588235 ; 0 ; 0 ; 0 ; 0 ; 0.112676 ; 0.0597015 ; 0.0567376
france bn:00036202n ; 0 ; 0.0111111 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
pointeur bn:03222272n ; 0 ; 0 ; 0.00775194 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
list bn:04720346n ; 0 ; 0.0430108 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0307692 ; 0
casse bn:03225002n ; 0 ; 0 ; 0 ; 0 ; 0.00684932 ; 0 ; 0 ; 0 ; 0 ; 0
timestamp bn:03603649n ; 0 ; 0.0430108 ; 0 ; 0 ; 0.0268456 ; 0.027972 ; 0 ; 0 ; 0 ; 0
xml bn:02771436n ; 0 ; 0 ; 0.0153846 ; 0 ; 0 ; 0.0141844 ; 0 ; 0 ; 0 ; 0
echo bn:03626250n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00714286 ; 0 ; 0 ; 0 ; 0
files bn:00065682n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0141844 ; 0.0425532 ; 0 ; 0 ; 0
varchar bn:01838409n ; 0 ; 0 ; 0.0153846 ; 0 ; 0.0136054 ; 0 ; 0 ; 0 ; 0 ; 0
valeur bn:00079508n ; 0 ; 0 ; 0.00775194 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
composer bn:14766022n ; 0 ; 0 ; 0 ; 0.0172414 ; 0 ; 0.0141844 ; 0 ; 0 ; 0 ; 0
null bn:15898583n ; 0 ; 0 ; 0 ; 0 ; 0.0136054 ; 0 ; 0 ; 0 ; 0.015625 ; 0
généralité bn:00041249n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00714286 ; 0 ; 0 ; 0 ; 0
autre bn:00108013a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00714286 ; 0 ; 0 ; 0 ; 0
avoir accès bn:00082209v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0141844 ; 0 ; 0 ; 0.015625 ; 0
