X ; page web bn:00080778n ; navigateur bn:00013447n ; serveur web bn:02705179n ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; texte bn:00076732n ; concerner bn:00083240v ; commentaire bn:00020978n ; délimiter bn:00086464v ; fois bn:00032768n ; url bn:00079080n ; case à cocher bn:03157691n ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; langage bn:00049910n ; zones bn:00005513n ; utilisateur bn:00079373n ; case bn:04777941n ; associer bn:00082868v ; personne bn:00046516n ; méthode post bn:00045088n ; fermeture bn:16858148n ; machine bn:00054050n ; mysql bn:01225760n ; salaire bn:15928884n ; jour bn:00000086n ; programmation bn:00021493n ; site bn:00047172n ; chaîne bn:00074685n ; header bn:00043309n ; doctype bn:15839327n ; moteur bn:00030850n ; configuration bn:03088982n ; paris bn:00015540n ; langage de script bn:01431715n ; côté serveur bn:03816678n ; opérateur bn:16281811n ; super bn:17336345n ; type bn:00016413n ; foreach bn:03463379n ; cle bn:04756252n ; serveur bn:00044916n ; communication bn:00021221n ; interpréter bn:00089840v ; transaction bn:01403911n ; côté client bn:03163702n ; classes bn:03608262n ; bienvenue bn:00080852n ; class bn:03598962n ; mot bn:00081546n ; méthode bn:01641329n ; session bn:03751534n ; visiteur bn:03106425n ; afficher bn:00087013v ; pouvoir bn:00084451v ; mysqli bn:01438356n ; insert bn:03795444n ; france bn:00036202n ; pointeur bn:03222272n ; list bn:04720346n ; casse bn:03225002n ; timestamp bn:03603649n ; xml bn:02771436n ; echo bn:03626250n ; files bn:00065682n ; varchar bn:01838409n ; valeur bn:00079508n ; composer bn:14766022n ; null bn:15898583n ; généralité bn:00041249n ; autre bn:00108013a ; avoir accès bn:00082209v
page web bn:00080778n ; 1 ; 0.137931 ; 0.125 ; 0.150943 ; 0.0909091 ; 0.153846 ; 0.1 ; 0.0571429 ; 0.0330579 ; 0.0536913 ; 0.137931 ; 0.0842105 ; 0.205128 ; 0.0645161 ; 0.0571429 ; 0.0666667 ; 0.210526 ; 0.111111 ; 0.0784314 ; 0.124031 ; 0.25 ; 0.111111 ; 0.0634921 ; 0.2 ; 0.121212 ; 0.177778 ; 0.100629 ; 0.333333 ; 0.333333 ; 0.0588235 ; 0.148148 ; 0.039604 ; 0.0952381 ; 0.2 ; 0.142857 ; 0.0666667 ; 0.333333 ; 0.0909091 ; 0.0526316 ; 0.148148 ; 0.2 ; 0.111111 ; 0.0588235 ; 0.333333 ; 0.125 ; 0.0434783 ; 0.148148 ; 0.25 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.125 ; 0.117647 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.0588235 ; 0.0909091 ; 0.142857 ; 0.0588235 ; 0.125 ; 0.0909091 ; 0.125 ; 0.2 ; 0.25 ; 0.125 ; 0.111111 ; 0.25 ; 0.125 ; 0.111111 ; 0.111111 ; 0.125 ; 0.125 ; 0.111111
navigateur bn:00013447n ; 0.137931 ; 1 ; 0.482759 ; 0.110345 ; 0.0333333 ; 0.12069 ; 0.241379 ; 0.101266 ; 0.216216 ; 0.451977 ; 0.202899 ; 0.17341 ; 0.122137 ; 0.247312 ; 0.101266 ; 0.0645161 ; 0.258621 ; 0.102362 ; 0.166667 ; 0.25641 ; 0.0344828 ; 0.216216 ; 0.10596 ; 0.121212 ; 0.208333 ; 0.318966 ; 0.267281 ; 0.0645161 ; 0.137931 ; 0.00854701 ; 0.0314961 ; 0.158192 ; 0.123077 ; 0.0333333 ; 0.0645161 ; 0.0645161 ; 0.0645161 ; 0.0333333 ; 0.0169492 ; 0.0650407 ; 0.121212 ; 0.0169492 ; 0.00854701 ; 0.137931 ; 0.482759 ; 0.121212 ; 0.349398 ; 0.0344828 ; 0.0333333 ; 0.0333333 ; 0.0645161 ; 0.121212 ; 0.0169492 ; 0.0333333 ; 0.211268 ; 0.517241 ; 0.137931 ; 0.0645161 ; 0.0645161 ; 0.00854701 ; 0.0333333 ; 0.0645161 ; 0.0172414 ; 0.0172414 ; 0.0689655 ; 0.0172414 ; 0.0689655 ; 0.0344828 ; 0.0172414 ; 0.0344828 ; 0.0344828 ; 0.0172414 ; 0.0344828 ; 0.0344828 ; 0.0172414 ; 0.0172414 ; 0.0344828
serveur web bn:02705179n ; 0.125 ; 0.482759 ; 1 ; 0.0860215 ; 0.0666667 ; 0.129032 ; 0.235294 ; 0.163265 ; 0.20438 ; 0.397163 ; 0.177778 ; 0.125984 ; 0.101266 ; 0.211268 ; 0.163265 ; 0.125 ; 0.535714 ; 0.0526316 ; 0.25 ; 0.193548 ; 0.0714286 ; 0.363636 ; 0.175824 ; 0.222222 ; 0.163265 ; 0.207792 ; 0.174863 ; 0.125 ; 0.285714 ; 0.0175439 ; 0.0597015 ; 0.239316 ; 0.228571 ; 0.0322581 ; 0.125 ; 0.0588235 ; 0.125 ; 0.0666667 ; 0.0344828 ; 0.126984 ; 0.222222 ; 0.0344828 ; 0.0175439 ; 0.125 ; 1 ; 0.222222 ; 0.242424 ; 0.0714286 ; 0.0322581 ; 0.0666667 ; 0.125 ; 0.222222 ; 0.0344828 ; 0.0666667 ; 0.365854 ; 0.318182 ; 0.285714 ; 0.0588235 ; 0.125 ; 0.0175439 ; 0.0666667 ; 0.0588235 ; 0.0357143 ; 0.0357143 ; 0.142857 ; 0.0357143 ; 0.142857 ; 0.0714286 ; 0.0357143 ; 0.0344828 ; 0.0714286 ; 0.0357143 ; 0.0714286 ; 0.0714286 ; 0.0357143 ; 0.0357143 ; 0.0714286
fichier bn:00021475n ; 0.150943 ; 0.110345 ; 0.0860215 ; 1 ; 0.0392157 ; 0.0350877 ; 0.028169 ; 0.183908 ; 0.232 ; 0.0941176 ; 0.091954 ; 0.222222 ; 0.117647 ; 0.219697 ; 0.170455 ; 0.150943 ; 0.119403 ; 0.131148 ; 0.120968 ; 0.348837 ; 0.0425532 ; 0.172043 ; 0.2 ; 0.262295 ; 0.183908 ; 0.108108 ; 0.283019 ; 0.150943 ; 0.0701754 ; 0.0444444 ; 0.153846 ; 0.27619 ; 0.056338 ; 0.177778 ; 0.150943 ; 0.150943 ; 0.150943 ; 0.0816327 ; 0.0888889 ; 0.153846 ; 0.262295 ; 0.0425532 ; 0.0444444 ; 0.0701754 ; 0.0860215 ; 0.0547945 ; 0.243902 ; 0.0888889 ; 0.177778 ; 0.0816327 ; 0.150943 ; 0.262295 ; 0.0888889 ; 0.177778 ; 0.0860215 ; 0.179775 ; 0.0701754 ; 0.150943 ; 0.0701754 ; 0.0444444 ; 0.177778 ; 0.150943 ; 0.0217391 ; 0.0217391 ; 0.0392157 ; 0.0444444 ; 0.0816327 ; 0.0425532 ; 0.0444444 ; 0.0425532 ; 0.0425532 ; 0.0217391 ; 0.0425532 ; 0.0888889 ; 0.0444444 ; 0.0444444 ; 0.0888889
client bn:00019764n ; 0.0909091 ; 0.0333333 ; 0.0666667 ; 0.0392157 ; 1 ; 0.222222 ; 0.125 ; 0.137931 ; 0.0353982 ; 0.0275862 ; 0.0740741 ; 0.091954 ; 0.114286 ; 0.0333333 ; 0.137931 ; 0.2 ; 0.0555556 ; 0.0666667 ; 0.0851064 ; 0.0300752 ; 0.2 ; 0.0588235 ; 0.0727273 ; 0.0526316 ; 0.0645161 ; 0.0465116 ; 0.0503145 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.210526 ; 0.0430108 ; 0.266667 ; 0.0666667 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.142857 ; 0.0909091 ; 0.0454545 ; 0.0526316 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.0666667 ; 0.111111 ; 0.0357143 ; 0.0909091 ; 0.0666667 ; 0.142857 ; 0.0909091 ; 0.0526316 ; 0.0909091 ; 0.0666667 ; 0.0666667 ; 0.030303 ; 0.2 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.0666667 ; 0.0909091 ; 0.111111 ; 0.25 ; 0.142857 ; 0.111111 ; 0.0666667 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.2 ; 0.25 ; 0.2 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.0909091
base de donnée bn:00025333n ; 0.153846 ; 0.12069 ; 0.129032 ; 0.0350877 ; 0.222222 ; 1 ; 0.5 ; 0.0588235 ; 0.0603448 ; 0.0992908 ; 0.28 ; 0.0860215 ; 0.097561 ; 0.0655738 ; 0.125 ; 0.0714286 ; 0.1 ; 0.225806 ; 0.08 ; 0.028777 ; 0.125 ; 0.114286 ; 0.031746 ; 0.0952381 ; 0.125 ; 0.0851064 ; 0.0484848 ; 0.153846 ; 0.363636 ; 0.0666667 ; 0.0740741 ; 0.040404 ; 0.222222 ; 0.1 ; 0.0714286 ; 0.0714286 ; 0.153846 ; 0.1 ; 0.0588235 ; 0.0740741 ; 0.0952381 ; 0.125 ; 0.0666667 ; 0.363636 ; 0.129032 ; 0.0952381 ; 0.0701754 ; 0.125 ; 0.1 ; 0.222222 ; 0.153846 ; 0.0952381 ; 0.0588235 ; 0.1 ; 0.129032 ; 0.104478 ; 0.363636 ; 0.0714286 ; 0.153846 ; 0.0666667 ; 0.1 ; 0.0714286 ; 0.0666667 ; 0.142857 ; 0.1 ; 0.142857 ; 0.1 ; 0.125 ; 0.0666667 ; 0.125 ; 0.285714 ; 0.142857 ; 0.125 ; 0.125 ; 0.0666667 ; 0.0666667 ; 0.0588235
donnée bn:00025314n ; 0.1 ; 0.241379 ; 0.235294 ; 0.028169 ; 0.125 ; 0.5 ; 1 ; 0.0487805 ; 0.113821 ; 0.198582 ; 0.21875 ; 0.0747664 ; 0.0727273 ; 0.125 ; 0.102564 ; 0.047619 ; 0.16 ; 0.155556 ; 0.150943 ; 0.0536913 ; 0.0666667 ; 0.0952381 ; 0.0533333 ; 0.0714286 ; 0.102564 ; 0.140351 ; 0.0446927 ; 0.1 ; 0.222222 ; 0.0344828 ; 0.0487805 ; 0.0733945 ; 0.380952 ; 0.0588235 ; 0.047619 ; 0.047619 ; 0.1 ; 0.0588235 ; 0.0322581 ; 0.102564 ; 0.0714286 ; 0.0666667 ; 0.0344828 ; 0.222222 ; 0.235294 ; 0.153846 ; 0.0625 ; 0.0666667 ; 0.0588235 ; 0.125 ; 0.1 ; 0.0714286 ; 0.0322581 ; 0.0588235 ; 0.235294 ; 0.189189 ; 0.222222 ; 0.047619 ; 0.1 ; 0.0344828 ; 0.0588235 ; 0.047619 ; 0.0714286 ; 0.0714286 ; 0.125 ; 0.0714286 ; 0.125 ; 0.0666667 ; 0.0344828 ; 0.0666667 ; 0.142857 ; 0.0714286 ; 0.0666667 ; 0.0666667 ; 0.0344828 ; 0.0344828 ; 0.0322581
php bn:01753580n ; 0.0571429 ; 0.101266 ; 0.163265 ; 0.183908 ; 0.137931 ; 0.0588235 ; 0.0487805 ; 1 ; 0.237037 ; 0.191617 ; 0.173913 ; 0.26087 ; 0.219178 ; 0.2 ; 0.348837 ; 0.275862 ; 0.1 ; 0.0512821 ; 0.245902 ; 0.183544 ; 0.0689655 ; 0.355556 ; 0.3625 ; 0.216216 ; 0.16 ; 0.091954 ; 0.36478 ; 0.121212 ; 0.121212 ; 0.0344828 ; 0.258621 ; 0.278261 ; 0.1 ; 0.03125 ; 0.275862 ; 0.121212 ; 0.121212 ; 0.137931 ; 0.0689655 ; 0.057971 ; 0.216216 ; 0.0689655 ; 0.0344828 ; 0.0571429 ; 0.163265 ; 0.216216 ; 0.238806 ; 0.0333333 ; 0.03125 ; 0.0645161 ; 0.121212 ; 0.216216 ; 0.0689655 ; 0.0645161 ; 0.163265 ; 0.0727273 ; 0.121212 ; 0.121212 ; 0.275862 ; 0.0344828 ; 0.0645161 ; 0.121212 ; 0.0169492 ; 0.0344828 ; 0.0645161 ; 0.0169492 ; 0.03125 ; 0.0689655 ; 0.0344828 ; 0.0333333 ; 0.0333333 ; 0.0344828 ; 0.0689655 ; 0.0333333 ; 0.0344828 ; 0.0344828 ; 0.0689655
code bn:00020354n ; 0.0330579 ; 0.216216 ; 0.20438 ; 0.232 ; 0.0353982 ; 0.0603448 ; 0.113821 ; 0.237037 ; 1 ; 0.404494 ; 0.195489 ; 0.180723 ; 0.0606061 ; 0.363636 ; 0.218978 ; 0.146789 ; 0.120968 ; 0.108333 ; 0.309677 ; 0.252632 ; 0.018018 ; 0.22695 ; 0.203008 ; 0.128 ; 0.10596 ; 0.0895522 ; 0.27619 ; 0.0683761 ; 0.0683761 ; 0.0183486 ; 0.0689655 ; 0.816514 ; 0.120968 ; 0.0353982 ; 0.0683761 ; 0.0683761 ; 0.0683761 ; 0.0353982 ; 0.0366972 ; 0.137615 ; 0.128 ; 0.018018 ; 0.0183486 ; 0.0683761 ; 0.20438 ; 0.128 ; 0.172973 ; 0.0366972 ; 0.0353982 ; 0.0353982 ; 0.0683761 ; 0.128 ; 0.0366972 ; 0.0733945 ; 0.20438 ; 0.310078 ; 0.0683761 ; 0.0330579 ; 0.0683761 ; 0.0183486 ; 0.0733945 ; 0.0330579 ; 0.0183486 ; 0.00909091 ; 0.0353982 ; 0.0183486 ; 0.0733945 ; 0.018018 ; 0.0183486 ; 0.0366972 ; 0.018018 ; 0.00909091 ; 0.0366972 ; 0.0366972 ; 0.0183486 ; 0.0183486 ; 0.0366972
texte bn:00076732n ; 0.0536913 ; 0.451977 ; 0.397163 ; 0.0941176 ; 0.0275862 ; 0.0992908 ; 0.198582 ; 0.191617 ; 0.404494 ; 1 ; 0.35461 ; 0.163265 ; 0.102564 ; 0.44382 ; 0.191617 ; 0.0536913 ; 0.212766 ; 0.0855263 ; 0.312849 ; 0.273585 ; 0.0283688 ; 0.453901 ; 0.2 ; 0.22695 ; 0.191617 ; 0.155844 ; 0.271186 ; 0.113475 ; 0.113475 ; 0.0141844 ; 0.0540541 ; 0.306818 ; 0.103226 ; 0.0275862 ; 0.113475 ; 0.0536913 ; 0.113475 ; 0.0567376 ; 0.0283688 ; 0.106383 ; 0.22695 ; 0.0283688 ; 0.0141844 ; 0.113475 ; 0.397163 ; 0.22695 ; 0.345946 ; 0.0283688 ; 0.0275862 ; 0.0567376 ; 0.113475 ; 0.22695 ; 0.0283688 ; 0.0567376 ; 0.397163 ; 0.248447 ; 0.113475 ; 0.0536913 ; 0.113475 ; 0.0141844 ; 0.0567376 ; 0.0536913 ; 0.0141844 ; 0.0141844 ; 0.0567376 ; 0.0141844 ; 0.0567376 ; 0.0283688 ; 0.0141844 ; 0.0283688 ; 0.0283688 ; 0.0141844 ; 0.0283688 ; 0.0283688 ; 0.0141844 ; 0.0141844 ; 0.0283688
