X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
C1 ; 1 ; 0.333333 ; 0.142857 ; 0.125 ; 0.142857 ; 0.333333 ; 0.125 ; 0.125 ; 0.125 ; 0.285714
C2 ; 0.333333 ; 1 ; 0.2 ; 0.166667 ; 0.2 ; 0.2 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.166667
C3 ; 0.142857 ; 0.2 ; 1 ; 0.166667 ; 0.2 ; 0.2 ; 0.4 ; 0.166667 ; 0.166667 ; 0.166667
C4 ; 0.125 ; 0.166667 ; 0.166667 ; 1 ; 0.4 ; 0.166667 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.333333
C5 ; 0.142857 ; 0.2 ; 0.2 ; 0.4 ; 1 ; 0.2 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.4
C6 ; 0.333333 ; 0.2 ; 0.2 ; 0.166667 ; 0.2 ; 1 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.166667
C7 ; 0.125 ; 0.166667 ; 0.4 ; 0.142857 ; 0.166667 ; 0.166667 ; 1 ; 0.333333 ; 0.142857 ; 0.142857
C8 ; 0.125 ; 0.166667 ; 0.166667 ; 0.142857 ; 0.166667 ; 0.166667 ; 0.333333 ; 1 ; 0.333333 ; 0.142857
C9 ; 0.125 ; 0.166667 ; 0.166667 ; 0.333333 ; 0.166667 ; 0.166667 ; 0.142857 ; 0.333333 ; 1 ; 0.142857
C10 ; 0.285714 ; 0.166667 ; 0.166667 ; 0.333333 ; 0.4 ; 0.166667 ; 0.142857 ; 0.142857 ; 0.142857 ; 1
