X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
page web bn:00080778n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00490196
page web statiques bn:03576307n ; 0.00729927 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
navigateur bn:00013447n ; 0 ; 0 ; 0 ; 0.00719424 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0 ; 0.0224719 ; 0 ; 0.0350877 ; 0.037037 ; 0 ; 0
disque dur bn:00073359n ; 0.0555556 ; 0 ; 0 ; 0 ; 0 ; 0.0441989 ; 0.0677966 ; 0 ; 0 ; 0.0379147
client serveur bn:03496583n ; 0.105263 ; 0 ; 0 ; 0 ; 0.0842105 ; 0.0846561 ; 0 ; 0 ; 0.0829016 ; 0.0730594
base de donnée bn:00025333n ; 0.0416667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0535714 ; 0.0380435 ; 0.0382775
donnée bn:00025314n ; 0.00729927 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
ensemble bn:00114766r ; 0.0144928 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
php bn:01753580n ; 0.0285714 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0350877 ; 0 ; 0 ; 0.0193237
javascript bn:00055423n ; 0.327935 ; 0.294118 ; 0.32491 ; 0.289062 ; 0.330909 ; 0.37218 ; 0 ; 0 ; 0.327338 ; 0.307947
perl bn:01723165n ; 0.154762 ; 0 ; 0.136585 ; 0.152941 ; 0.137255 ; 0 ; 0 ; 0 ; 0.135266 ; 0.125
python bn:01713224n ; 0.0555556 ; 0 ; 0.0437158 ; 0 ; 0.043956 ; 0.0441989 ; 0 ; 0 ; 0 ; 0
java bn:00048043n ; 0.226804 ; 0.218605 ; 0.231111 ; 0 ; 0.210526 ; 0.244344 ; 0.239766 ; 0 ; 0 ; 0.177606
code bn:00020354n ; 0.0789474 ; 0.0804598 ; 0.0740741 ; 0 ; 0.0744681 ; 0 ; 0.0952381 ; 0 ; 0 ; 0
code source bn:00072947n ; 0.0285714 ; 0 ; 0 ; 0 ; 0.0224719 ; 0.0225989 ; 0 ; 0 ; 0 ; 0
fichier texte bn:00028018n ; 0.201058 ; 0.206731 ; 0.20362 ; 0.180412 ; 0.204545 ; 0.205479 ; 0.210843 ; 0 ; 0 ; 0
texte bn:00076732n ; 0 ; 0.047619 ; 0.0437158 ; 0.0547945 ; 0 ; 0 ; 0 ; 0 ; 0.0432432 ; 0
mise en forme bn:01681906n ; 0.0144928 ; 0 ; 0 ; 0.0142857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
concerner bn:00083240v ; 0 ; 0 ; 0.138614 ; 0.135294 ; 0.133663 ; 0.134328 ; 0.161972 ; 0 ; 0 ; 0.116883
commentaire bn:00020978n ; 0.197917 ; 0 ; 0.190265 ; 0.208333 ; 0.196429 ; 0 ; 0 ; 0.222222 ; 0.209821 ; 0.227273
affichage bn:00010421n ; 0.333333 ; 0.370717 ; 0.430818 ; 0.314465 ; 0.41875 ; 0.442675 ; 0.291391 ; 0 ; 0.360119 ; 0.376068
gras bn:00011848n ; 0.0285714 ; 0 ; 0.0223464 ; 0.028169 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
fois bn:00032768n ; 0.300412 ; 0.307692 ; 0.334586 ; 0 ; 0.330827 ; 0.357692 ; 0.27193 ; 0 ; 0.27957 ; 0.285235
chemin bn:03131414n ; 0.105263 ; 0 ; 0 ; 0 ; 0.0842105 ; 0.0846561 ; 0 ; 0 ; 0.0829016 ; 0.0730594
lien hypertextes bn:00045513n ; 0.255411 ; 0.246032 ; 0 ; 0.269565 ; 0.256705 ; 0.277344 ; 0 ; 0.252427 ; 0.313492 ; 0.293478
url bn:00079080n ; 0.154762 ; 0 ; 0.136585 ; 0.152941 ; 0.137255 ; 0 ; 0 ; 0 ; 0.135266 ; 0.125
textuels bn:00111786a ; 0.00729927 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
case à cocher bn:03157691n ; 0.0555556 ; 0 ; 0 ; 0.0547945 ; 0 ; 0.0441989 ; 0 ; 0 ; 0.0432432 ; 0
page web dynamique bn:00937946n ; 0.0144928 ; 0 ; 0 ; 0 ; 0 ; 0.0114286 ; 0 ; 0 ; 0 ; 0
post bn:01500184n ; 0.0555556 ; 0 ; 0 ; 0.0547945 ; 0 ; 0 ; 0.0677966 ; 0 ; 0 ; 0.0379147
champ de saisie bn:03113401n ; 0.136905 ; 0.143617 ; 0 ; 0.162651 ; 0 ; 0 ; 0 ; 0.177778 ; 0.131707 ; 0.141593
size bn:03645138n ; 0.0789474 ; 0 ; 0.0740741 ; 0 ; 0.0744681 ; 0 ; 0 ; 0.1 ; 0 ; 0.0744186
vide bn:00087578v ; 0.0144928 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0097561
liste déroulante bn:00028831n ; 0.0285714 ; 0 ; 0 ; 0.028169 ; 0 ; 0.0225989 ; 0 ; 0 ; 0 ; 0
sélectionner bn:00084931v ; 0.0285714 ; 0 ; 0 ; 0 ; 0 ; 0.0225989 ; 0 ; 0 ; 0 ; 0.0193237
déclencher bn:00082306v ; 0.0144928 ; 0 ; 0.0112994 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
réinitialisation bn:00067306n ; 0.0144928 ; 0.0123457 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
langage bn:00049910n ; 0.353135 ; 0.327217 ; 0.364742 ; 0.34202 ; 0.382716 ; 0.396875 ; 0 ; 0.277027 ; 0.427215 ; 0.467692
langage impératif bn:01246770n ; 0.00729927 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
impératif bn:00104644a ; 0.0144928 ; 0 ; 0 ; 0 ; 0 ; 0.0114286 ; 0 ; 0 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0 ; 0.154589 ; 0.188235 ; 0.15534 ; 0.156098 ; 0 ; 0 ; 0.15311 ; 0.13617
affectation bn:02806034n ; 0.144578 ; 0.138298 ; 0.139303 ; 0 ; 0 ; 0.135 ; 0.15493 ; 0 ; 0 ; 0.112554
booléen bn:00294693n ; 0.189189 ; 0.207921 ; 0.188073 ; 0.21978 ; 0 ; 0 ; 0.190184 ; 0.189873 ; 0 ; 0.200837
réalité bn:00066414n ; 0.0144928 ; 0 ; 0 ; 0 ; 0 ; 0.0114286 ; 0 ; 0 ; 0 ; 0
concatène bn:00085508v ; 0.00729927 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
addition bn:00001296n ; 0.105263 ; 0 ; 0.0837696 ; 0 ; 0 ; 0.0846561 ; 0 ; 0 ; 0.0829016 ; 0.0730594
soustraction bn:00055233n ; 0.0555556 ; 0 ; 0 ; 0 ; 0 ; 0.0441989 ; 0 ; 0 ; 0.0432432 ; 0.0379147
multiplié bn:00090977v ; 0.00729927 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
modulo bn:00553864n ; 0.0555556 ; 0 ; 0.0437158 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0432432 ; 0.0379147
égalité bn:00031284n ; 0.0285714 ; 0 ; 0 ; 0.028169 ; 0.0224719 ; 0 ; 0 ; 0 ; 0 ; 0
logiques bn:00051845n ; 0.312715 ; 0.335526 ; 0.366883 ; 0 ; 0.377049 ; 0.387417 ; 0.275986 ; 0.232394 ; 0.355769 ; 0.403125
syntaxe bn:00062118n ; 0.24 ; 0 ; 0.23176 ; 0.237624 ; 0.243478 ; 0.233766 ; 0 ; 0 ; 0.235043 ; 0.211538
case bn:04777941n ; 0.178571 ; 0.15625 ; 0.144928 ; 0 ; 0 ; 0.157635 ; 0 ; 0 ; 0.143541 ; 0.132479
associer bn:00082868v ; 0 ; 0 ; 0.0837696 ; 0 ; 0.0842105 ; 0.0846561 ; 0 ; 0 ; 0.0829016 ; 0.0730594
prenom bn:15996005n ; 0.170213 ; 0 ; 0 ; 0 ; 0.194444 ; 0.173516 ; 0.190184 ; 0.18239 ; 0.175676 ; 0.18595
structure de contrôle bn:00047734n ; 0.172619 ; 0.151042 ; 0.145631 ; 0 ; 0.146341 ; 0.158416 ; 0 ; 0 ; 0.138756 ; 0
définition bn:00025928n ; 0.24 ; 0 ; 0.23176 ; 0.237624 ; 0.243478 ; 0.233766 ; 0 ; 0 ; 0.235043 ; 0.211538
initialiser bn:00089742v ; 0.142857 ; 0.148936 ; 0.137931 ; 0 ; 0.138614 ; 0.139303 ; 0.169014 ; 0 ; 0 ; 0
dépendre bn:00086606v ; 0.0555556 ; 0 ; 0.0437158 ; 0 ; 0 ; 0.0441989 ; 0 ; 0 ; 0 ; 0.0379147
méthode post bn:00045088n ; 0.00729927 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
fermeture bn:16858148n ; 0.267782 ; 0 ; 0.280899 ; 0.281513 ; 0.321705 ; 0.273408 ; 0 ; 0.25463 ; 0.328185 ; 0.34058
passwd bn:14874750n ; 0.0144928 ; 0 ; 0 ; 0 ; 0.0113636 ; 0 ; 0 ; 0 ; 0 ; 0
