X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
C1 ; 1 ; 0.248945 ; 0.259109 ; 0.196507 ; 0.265306 ; 0.266393 ; 0.133641 ; 0.153846 ; 0.232283 ; 0.324219
C2 ; 0.248945 ; 1 ; 0.318898 ; 0.241667 ; 0.237037 ; 0.300781 ; 0.24424 ; 0.183857 ; 0.266917 ; 0.282686
C3 ; 0.259109 ; 0.318898 ; 1 ; 0.247012 ; 0.307116 ; 0.298507 ; 0.23913 ; 0.157676 ; 0.270758 ; 0.379562
C4 ; 0.196507 ; 0.241667 ; 0.247012 ; 1 ; 0.233202 ; 0.219608 ; 0.153488 ; 0.186275 ; 0.26506 ; 0.277154
C5 ; 0.265306 ; 0.237037 ; 0.307116 ; 0.233202 ; 1 ; 0.445833 ; 0.213675 ; 0.168067 ; 0.355212 ; 0.309028
C6 ; 0.266393 ; 0.300781 ; 0.298507 ; 0.219608 ; 0.445833 ; 1 ; 0.194093 ; 0.139918 ; 0.315789 ; 0.310105
C7 ; 0.133641 ; 0.24424 ; 0.23913 ; 0.153488 ; 0.213675 ; 0.194093 ; 1 ; 0.114583 ; 0.171429 ; 0.194656
C8 ; 0.153846 ; 0.183857 ; 0.157676 ; 0.186275 ; 0.168067 ; 0.139918 ; 0.114583 ; 1 ; 0.248889 ; 0.300847
C9 ; 0.232283 ; 0.266917 ; 0.270758 ; 0.26506 ; 0.355212 ; 0.315789 ; 0.171429 ; 0.248889 ; 1 ; 0.366906
C10 ; 0.324219 ; 0.282686 ; 0.379562 ; 0.277154 ; 0.309028 ; 0.310105 ; 0.194656 ; 0.300847 ; 0.366906 ; 1
