Objects;Weight
page web bn:00080778n;0.0509554
page web statiques bn:03576307n;0.00318471
navigateur bn:00013447n;0.33758
serveur web bn:02705179n;0.187898
fichier bn:00021475n;0.307325
disque dur bn:00073359n;0.0254777
client bn:00019764n;0.0509554
client serveur bn:03496583n;0.0509554
base de donnée bn:00025333n;0.323248
donnée bn:00025314n;0.593949
ensemble bn:00114766r;0.00636943
php bn:01753580n;0.340764
javascript bn:00055423n;0.369427
perl bn:01723165n;0.0987261
python bn:01713224n;0.0254777
java bn:00048043n;0.191083
code bn:00020354n;0.611465
code source bn:00072947n;0.0127389
fichier texte bn:00028018n;0.16879
texte bn:00076732n;0.359873
mise en forme bn:01681906n;0.00636943
concerner bn:00083240v;0.0955414
commentaire bn:00020978n;0.178344
délimiter bn:00086464v;0.0509554
affichage bn:00010421n;0.611465
gras bn:00011848n;0.0127389
fois bn:00032768n;0.355096
chemin bn:03131414n;0.0509554
lien hypertextes bn:00045513n;0.315287
url bn:00079080n;0.0987261
textuels bn:00111786a;0.00318471
case à cocher bn:03157691n;0.0254777
page web dynamique bn:00937946n;0.00636943
post bn:01500184n;0.611465
champ de saisie bn:03113401n;0.0955414
size bn:03645138n;0.0477707
nombre bn:00058285n;1
text bn:14981519n;0.187898
vide bn:00087578v;0.00636943
liste déroulante bn:00028831n;0.0127389
sélectionner bn:00084931v;0.0127389
déclencher bn:00082306v;0.00636943
réinitialisation bn:00067306n;0.00636943
langage bn:00049910n;0.598726
langage impératif bn:01246770n;0.00318471
impératif bn:00104644a;0.00636943
zones bn:00005513n;0.0254777
utilisateur bn:00079373n;0.101911
affectation bn:02806034n;0.0955414
booléen bn:00294693n;0.175159
réalité bn:00066414n;0.00636943
concatène bn:00085508v;0.00318471
addition bn:00001296n;0.0509554
soustraction bn:00055233n;0.0254777
multiplié bn:00090977v;0.00318471
modulo bn:00553864n;0.0254777
égalité bn:00031284n;0.0127389
logiques bn:00051845n;0.590764
syntaxe bn:00062118n;0.191083
case bn:04777941n;0.101911
associer bn:00082868v;0.0509554
personne bn:00046516n;0.101911
prenom bn:15996005n;0.173567
structure de contrôle bn:00047734n;0.101911
définition bn:00025928n;0.191083
initialiser bn:00089742v;0.0955414
dépendre bn:00086606v;0.0254777
méthode post bn:00045088n;0.178344
fermeture bn:16858148n;0.33121
passwd bn:14874750n;0.00636943
machine bn:00054050n;0.0254777
mysql bn:01225760n;0.101911
salaire bn:15928884n;0.00318471
phase bn:00061898n;0.0127389
être utile bn:00085368v;0.0127389
boucle while bn:03237310n;0.0254777
jour bn:00000086n;0.0254777
euro bn:00031888n;0.00636943
etc bn:00114282r;0.101911
programmation bn:00021493n;0.191083
site bn:00047172n;0.0254777
détruire bn:00084204v;0.0254777
second bn:00105773a;0.0127389
ordinateur bn:00021464n;0.0254777
développement web bn:03446093n;0.0254777
organisation bn:00059480n;0.00636943
premier bn:00103006a;0.0127389
devoir sur table bn:04973014n;0.00318471
semaine bn:00043484n;0.0127389
