Objects;Weight
page web bn:00080778n;0.126866
page web statiques bn:03576307n;0.00248756
navigateur bn:00013447n;1
serveur web bn:02705179n;0.496269
fichier bn:00021475n;1
disque dur bn:00073359n;0.0199005
client bn:00019764n;0.201493
client serveur bn:03496583n;0.039801
base de donnée bn:00025333n;0.584577
donnée bn:00025314n;1
ensemble bn:00114766r;0.00497512
php bn:01753580n;0.598259
javascript bn:00055423n;0.284826
perl bn:01723165n;0.0746269
python bn:01713224n;0.0199005
java bn:00048043n;0.245025
code bn:00020354n;1
code source bn:00072947n;0.0199005
fichier texte bn:00028018n;0.222637
texte bn:00076732n;0.723881
mise en forme bn:01681906n;0.00995025
concerner bn:00083240v;0.241294
commentaire bn:00020978n;0.380597
délimiter bn:00086464v;0.215174
affichage bn:00010421n;0.723881
gras bn:00011848n;0.00995025
fois bn:00032768n;0.609453
chemin bn:03131414n;0.039801
lien hypertextes bn:00045513n;0.218905
url bn:00079080n;0.221393
textuels bn:00111786a;0.00248756
case à cocher bn:03157691n;0.039801
page web dynamique bn:00937946n;0.00497512
post bn:01500184n;1
champ de saisie bn:03113401n;0.0621891
size bn:03645138n;0.0671642
nombre bn:00058285n;1
text bn:14981519n;0.70398
vide bn:00087578v;0.00995025
liste déroulante bn:00028831n;0.00995025
sélectionner bn:00084931v;0.0199005
déclencher bn:00082306v;0.00497512
réinitialisation bn:00067306n;0.00497512
langage bn:00049910n;1
langage impératif bn:01246770n;0.00248756
impératif bn:00104644a;0.00497512
zones bn:00005513n;0.0199005
utilisateur bn:00079373n;0.273632
affectation bn:02806034n;0.126866
booléen bn:00294693n;0.182836
réalité bn:00066414n;0.00497512
concatène bn:00085508v;0.00248756
addition bn:00001296n;0.039801
soustraction bn:00055233n;0.039801
multiplié bn:00090977v;0.00248756
modulo bn:00553864n;0.039801
égalité bn:00031284n;0.00995025
logiques bn:00051845n;0.609453
syntaxe bn:00062118n;0.273632
case bn:04777941n;0.231343
associer bn:00082868v;0.151741
personne bn:00046516n;0.225124
prenom bn:15996005n;0.109453
structure de contrôle bn:00047734n;0.146766
définition bn:00025928n;0.273632
initialiser bn:00089742v;0.125622
dépendre bn:00086606v;0.039801
méthode post bn:00045088n;1
fermeture bn:16858148n;0.584577
passwd bn:14874750n;0.00497512
machine bn:00054050n;0.0771144
mysql bn:01225760n;0.14801
salaire bn:15928884n;0.00870647
phase bn:00061898n;0.0199005
être utile bn:00085368v;0.0199005
boucle while bn:03237310n;0.0348259
jour bn:00000086n;0.0659204
euro bn:00031888n;0.00497512
etc bn:00114282r;0.079602
programmation bn:00021493n;0.496269
site bn:00047172n;1
détruire bn:00084204v;0.0186567
second bn:00105773a;0.00995025
ordinateur bn:00021464n;0.0199005
développement web bn:03446093n;0.0199005
organisation bn:00059480n;0.00995025
premier bn:00103006a;0.0199005
devoir sur table bn:04973014n;0.00248756
semaine bn:00043484n;0.00995025
devoir maison bn:00044563n;0.00248756
interrogation bn:00047208n;0.00995025
générale bn:00103507a;0.00995025
explication bn:00000741n;0.00248756
front office bn:16857738n;0.00248756
front bn:00013389n;0.00248756
xamp bn:02350502n;0.0199005
internet bn:00024712n;0.079602
faille de sécurité bn:00080285n;0.00497512
sql bn:02266432n;0.0721393
concret bn:00100206a;0.00497512
chaîne bn:00074685n;0.207711
header bn:00043309n;0.068408
head bn:02338897n;0.0199005
informatique bn:00100175a;0.0199005
doctype bn:15839327n;0.0348259
w3c bn:02673666n;0.039801
dtd bn:15232677n;0.0199005
firefox bn:01387235n;0.00497512
