X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10 ; CJA
page web bn:00080778n ; 0 ; 0 ; 0.0659898 ; 0 ; 0.057377 ; 0.0663717 ; 0 ; 0.146067 ; 0 ; 0 ; 0.0673077
navigateur bn:00013447n ; 0 ; 0.244131 ; 0.227092 ; 0 ; 0.20678 ; 0.255556 ; 0.264151 ; 0.212121 ; 0.205761 ; 0 ; 0.24031
serveur web bn:02705179n ; 0 ; 0.19797 ; 0.197425 ; 0.197044 ; 0.184783 ; 0.187739 ; 0 ; 0 ; 0.189189 ; 0 ; 0.197531
fichier bn:00021475n ; 0.14881 ; 0 ; 0 ; 0 ; 0.140741 ; 0.145669 ; 0 ; 0.1875 ; 0.172249 ; 0.174274 ; 0.152542
client bn:00019764n ; 0.0338983 ; 0 ; 0.0216216 ; 0.0268456 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0666667 ; 0.068323 ; 0.0622407 ; 0 ; 0.122222 ; 0 ; 0 ; 0 ; 0.0679612
donnée bn:00025314n ; 0 ; 0.145455 ; 0.115385 ; 0.107345 ; 0.115538 ; 0 ; 0.213592 ; 0 ; 0 ; 0 ; 0.119266
php bn:01753580n ; 0.178082 ; 0 ; 0.122066 ; 0.166667 ; 0 ; 0.115702 ; 0 ; 0 ; 0.142857 ; 0.13913 ; 0
java bn:00048043n ; 0.139394 ; 0.191011 ; 0.164384 ; 0 ; 0.147727 ; 0.157895 ; 0.184 ; 0 ; 0 ; 0.134694 ; 0
code bn:00020354n ; 0.25 ; 0.285156 ; 0 ; 0.282443 ; 0.350482 ; 0.343333 ; 0.157205 ; 0 ; 0.270463 ; 0.32107 ; 0.28
texte bn:00076732n ; 0 ; 0.327465 ; 0.350482 ; 0.292929 ; 0.392857 ; 0.391975 ; 0.222656 ; 0 ; 0.289809 ; 0.287791 ; 0.367089
concerner bn:00083240v ; 0 ; 0 ; 0.186957 ; 0.190955 ; 0.193309 ; 0.178295 ; 0.211679 ; 0 ; 0 ; 0.15625 ; 0.202532
commentaire bn:00020978n ; 0.170588 ; 0 ; 0.171806 ; 0.204188 ; 0.154412 ; 0 ; 0 ; 0.206107 ; 0.195238 ; 0.194215 ; 0
délimiter bn:00086464v ; 0 ; 0 ; 0.114833 ; 0.125714 ; 0 ; 0.109244 ; 0 ; 0.190476 ; 0 ; 0.117904 ; 0.108597
fois bn:00032768n ; 0.255639 ; 0.345865 ; 0.345638 ; 0 ; 0.328402 ; 0.389068 ; 0.195122 ; 0 ; 0.273927 ; 0.346032 ; 0.358553
