X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10 ; CJA
C1 ; 1 ; 0.14 ; 0.214953 ; 0.163743 ; 0.190476 ; 0.203046 ; 0.0212766 ; 0.0352113 ; 0.196629 ; 0.355932 ; 0.152174
C2 ; 0.14 ; 1 ; 0.234742 ; 0.128492 ; 0.210526 ; 0.263158 ; 0.195122 ; 0.0416667 ; 0.16129 ; 0.146226 ; 0.149733
C3 ; 0.214953 ; 0.234742 ; 1 ; 0.222689 ; 0.357143 ; 0.337398 ; 0.140097 ; 0.132701 ; 0.28692 ; 0.349593 ; 0.42723
C4 ; 0.163743 ; 0.128492 ; 0.222689 ; 1 ; 0.288991 ; 0.207207 ; 0.0736196 ; 0.126582 ; 0.22 ; 0.296651 ; 0.173913
C5 ; 0.190476 ; 0.210526 ; 0.357143 ; 0.288991 ; 1 ; 0.318182 ; 0.208556 ; 0.162437 ; 0.260684 ; 0.314286 ; 0.306667
C6 ; 0.203046 ; 0.263158 ; 0.337398 ; 0.207207 ; 0.318182 ; 1 ; 0.176796 ; 0.102041 ; 0.299539 ; 0.309322 ; 0.271493
C7 ; 0.0212766 ; 0.195122 ; 0.140097 ; 0.0736196 ; 0.208556 ; 0.176796 ; 1 ; 0.108108 ; 0.0924855 ; 0.0536585 ; 0.175
C8 ; 0.0352113 ; 0.0416667 ; 0.132701 ; 0.126582 ; 0.162437 ; 0.102041 ; 0.108108 ; 1 ; 0.170732 ; 0.123077 ; 0.143713
C9 ; 0.196629 ; 0.16129 ; 0.28692 ; 0.22 ; 0.260684 ; 0.299539 ; 0.0924855 ; 0.170732 ; 1 ; 0.289593 ; 0.206573
C10 ; 0.355932 ; 0.146226 ; 0.349593 ; 0.296651 ; 0.314286 ; 0.309322 ; 0.0536585 ; 0.123077 ; 0.289593 ; 1 ; 0.262222
CJA ; 0.152174 ; 0.149733 ; 0.42723 ; 0.173913 ; 0.306667 ; 0.271493 ; 0.175 ; 0.143713 ; 0.206573 ; 0.262222 ; 1
