X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10 ; CJA
navigateur bn:00013447n ; 0 ; 0.125874 ; 0.195804 ; 0 ; 0.223776 ; 0.20979 ; 0.160839 ; 0.125874 ; 0.160839 ; 0 ; 0.20979
fichier bn:00021475n ; 0.027972 ; 0 ; 0 ; 0 ; 0 ; 0.0559441 ; 0 ; 0 ; 0.0559441 ; 0.0559441 ; 0.0559441
client bn:00019764n ; 0.020979 ; 0 ; 0.027972 ; 0.020979 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0769231 ; 0.0769231 ; 0.0979021 ; 0 ; 0.0629371 ; 0 ; 0 ; 0 ; 0.0979021
donnée bn:00025314n ; 0 ; 0.0839161 ; 0.118881 ; 0.104895 ; 0.153846 ; 0 ; 0.104895 ; 0 ; 0 ; 0 ; 0.13986
php bn:01753580n ; 0 ; 0 ; 0.0559441 ; 0.0559441 ; 0 ; 0.0559441 ; 0 ; 0 ; 0.0559441 ; 0 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0.0559441 ; 0 ; 0.0559441 ; 0 ; 0 ; 0.0559441 ; 0.0559441 ; 0
commentaire bn:00020978n ; 0.041958 ; 0 ; 0.13986 ; 0.132867 ; 0.146853 ; 0 ; 0 ; 0.118881 ; 0.146853 ; 0.118881 ; 0
délimiter bn:00086464v ; 0 ; 0 ; 0.0979021 ; 0.111888 ; 0 ; 0.111888 ; 0 ; 0.0839161 ; 0 ; 0.0909091 ; 0.0979021
post bn:01500184n ; 0 ; 0.0699301 ; 0.111888 ; 0 ; 0.125874 ; 0.132867 ; 0 ; 0 ; 0.104895 ; 0 ; 0.104895
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0979021 ; 0.118881 ; 0 ; 0.0839161 ; 0.111888 ; 0 ; 0.0699301 ; 0.0909091
zones bn:00005513n ; 0 ; 0 ; 0.013986 ; 0 ; 0 ; 0.013986 ; 0 ; 0 ; 0 ; 0 ; 0
personne bn:00046516n ; 0 ; 0 ; 0.111888 ; 0.118881 ; 0.132867 ; 0 ; 0 ; 0.111888 ; 0.132867 ; 0.104895 ; 0
méthode post bn:00045088n ; 0 ; 0.0629371 ; 0.104895 ; 0 ; 0 ; 0.118881 ; 0.0839161 ; 0.0769231 ; 0.0839161 ; 0 ; 0.118881
mysql bn:01225760n ; 0 ; 0 ; 0.0559441 ; 0.0559441 ; 0.0559441 ; 0.0559441 ; 0 ; 0 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00699301 ; 0
site bn:00047172n ; 0.034965 ; 0.034965 ; 0.0629371 ; 0 ; 0.0559441 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0559441
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0 ; 0.027972 ; 0 ; 0 ; 0.027972 ; 0 ; 0.027972 ; 0
configuration bn:03088982n ; 0 ; 0 ; 0.027972 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.027972 ; 0.027972 ; 0
paris bn:00015540n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.013986 ; 0.013986 ; 0
langage de script bn:01431715n ; 0 ; 0.034965 ; 0 ; 0 ; 0.048951 ; 0.048951 ; 0 ; 0 ; 0 ; 0.034965 ; 0
opérateur bn:16281811n ; 0 ; 0 ; 0.013986 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.013986 ; 0
super bn:17336345n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00699301 ; 0
type bn:00016413n ; 0 ; 0 ; 0.0839161 ; 0 ; 0.0909091 ; 0.0909091 ; 0.0769231 ; 0 ; 0 ; 0 ; 0.104895
foreach bn:03463379n ; 0 ; 0.0979021 ; 0.195804 ; 0.167832 ; 0.20979 ; 0.202797 ; 0 ; 0 ; 0.160839 ; 0 ; 0.160839
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.013986 ; 0 ; 0 ; 0 ; 0 ; 0.013986
communication bn:00021221n ; 0 ; 0 ; 0 ; 0 ; 0.027972 ; 0.027972 ; 0 ; 0 ; 0 ; 0 ; 0.027972
interpréter bn:00089840v ; 0 ; 0 ; 0 ; 0 ; 0.027972 ; 0 ; 0 ; 0.027972 ; 0 ; 0.027972 ; 0
classes bn:03608262n ; 0 ; 0 ; 0.0909091 ; 0 ; 0.0909091 ; 0.0909091 ; 0 ; 0 ; 0.0979021 ; 0.0839161 ; 0
bienvenue bn:00080852n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.013986 ; 0 ; 0 ; 0 ; 0.013986 ; 0
class bn:03598962n ; 0 ; 0 ; 0 ; 0 ; 0.027972 ; 0 ; 0 ; 0 ; 0.027972 ; 0.027972 ; 0
méthode bn:01641329n ; 0 ; 0.0979021 ; 0 ; 0.118881 ; 0.174825 ; 0.132867 ; 0.0979021 ; 0.104895 ; 0.111888 ; 0 ; 0
session bn:03751534n ; 0 ; 0 ; 0.027972 ; 0 ; 0.027972 ; 0.027972 ; 0 ; 0 ; 0 ; 0 ; 0
pouvoir bn:00084451v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00699301 ; 0
mysqli bn:01438356n ; 0 ; 0 ; 0 ; 0 ; 0.027972 ; 0 ; 0 ; 0 ; 0.027972 ; 0.027972 ; 0
france bn:00036202n ; 0 ; 0.00699301 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
pointeur bn:03222272n ; 0 ; 0 ; 0.013986 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.013986
casse bn:03225002n ; 0 ; 0 ; 0 ; 0 ; 0.00699301 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
timestamp bn:03603649n ; 0 ; 0.027972 ; 0 ; 0 ; 0.027972 ; 0.027972 ; 0 ; 0 ; 0 ; 0 ; 0
exceptions bn:00032118n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00699301
xml bn:02771436n ; 0 ; 0 ; 0.013986 ; 0 ; 0 ; 0.013986 ; 0 ; 0 ; 0 ; 0 ; 0
echo bn:03626250n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00699301 ; 0 ; 0 ; 0 ; 0 ; 0
files bn:00065682n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.027972 ; 0.027972 ; 0 ; 0 ; 0 ; 0.027972
varchar bn:01838409n ; 0 ; 0 ; 0.013986 ; 0 ; 0.013986 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
mise bn:00016287n ; 0 ; 0 ; 0.027972 ; 0 ; 0 ; 0.027972 ; 0 ; 0 ; 0.027972 ; 0 ; 0
valeur bn:00079508n ; 0 ; 0 ; 0.013986 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.013986
composer bn:14766022n ; 0 ; 0 ; 0 ; 0.027972 ; 0 ; 0.027972 ; 0 ; 0 ; 0 ; 0 ; 0.027972
positionnement bn:00030615n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00699301
null bn:15898583n ; 0 ; 0 ; 0 ; 0 ; 0.027972 ; 0 ; 0 ; 0 ; 0.027972 ; 0 ; 0.027972
généralité bn:00041249n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00699301 ; 0 ; 0 ; 0 ; 0 ; 0
autre bn:00108013a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00699301 ; 0 ; 0 ; 0 ; 0 ; 0
avoir accès bn:00082209v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.013986 ; 0 ; 0 ; 0.013986 ; 0 ; 0
