Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;5;0;11;;C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,CJA,;
1;2;1;2;fichier bn:00021475n,;C9,CJA,;
2;3;1;3;client bn:00019764n,;C1,C3,C4,;
3;4;1;6;donnée bn:00025314n,;C2,C3,C4,C5,C7,CJA,;
4;2;1;3;php bn:01753580n,;C4,C6,C9,;
5;4;1;6;nombre bn:00058285n,;C4,C5,C7,C8,C10,CJA,;
6;2;1;2;zones bn:00005513n,;C3,C6,;
7;4;1;5;site bn:00047172n,;C1,C2,C3,C5,CJA,;
8;3;1;4;langage de script bn:01431715n,;C2,C5,C6,C10,;
9;2;1;2;serveur bn:00044916n,;C6,CJA,;
10;3;1;3;class bn:03598962n,;C5,C9,C10,;
11;2;2;2;client bn:00019764n,site bn:00047172n,;C1,C3,;
12;4;2;5;base de donnée bn:00025333n,donnée bn:00025314n,;C3,C4,C5,C7,CJA,;
13;3;2;4;donnée bn:00025314n,site bn:00047172n,;C2,C3,C5,CJA,;
14;3;2;3;nombre bn:00058285n,chaîne bn:00074685n,;C5,C8,C10,;
15;3;2;3;langage de script bn:01431715n,timestamp bn:03603649n,;C2,C5,C6,;
16;1;3;1;fichier bn:00021475n,php bn:01753580n,class bn:03598962n,;C9,;
17;2;3;2;client bn:00019764n,base de donnée bn:00025333n,donnée bn:00025314n,;C3,C4,;
18;3;3;4;base de donnée bn:00025333n,donnée bn:00025314n,nombre bn:00058285n,;C4,C5,C7,CJA,;
19;3;3;3;base de donnée bn:00025333n,donnée bn:00025314n,site bn:00047172n,;C3,C5,CJA,;
20;2;4;2;base de donnée bn:00025333n,donnée bn:00025314n,nombre bn:00058285n,site bn:00047172n,;C5,CJA,;
21;2;4;2;donnée bn:00025314n,site bn:00047172n,langage de script bn:01431715n,timestamp bn:03603649n,;C2,C5,;
22;2;4;2;nombre bn:00058285n,chaîne bn:00074685n,langage de script bn:01431715n,class bn:03598962n,;C5,C10,;
23;1;5;1;client bn:00019764n,base de donnée bn:00025333n,donnée bn:00025314n,php bn:01753580n,nombre bn:00058285n,;C4,;
24;1;5;1;client bn:00019764n,base de donnée bn:00025333n,donnée bn:00025314n,zones bn:00005513n,site bn:00047172n,;C3,;
25;1;5;1;donnée bn:00025314n,site bn:00047172n,langage de script bn:01431715n,france bn:00036202n,timestamp bn:03603649n,;C2,;
26;1;7;1;nombre bn:00058285n,salaire bn:15928884n,chaîne bn:00074685n,langage de script bn:01431715n,super bn:17336345n,class bn:03598962n,pouvoir bn:00084451v,;C10,;
27;1;8;1;fichier bn:00021475n,base de donnée bn:00025333n,donnée bn:00025314n,nombre bn:00058285n,site bn:00047172n,serveur bn:00044916n,exceptions bn:00032118n,positionnement bn:00030615n,;CJA,;
28;1;8;1;php bn:01753580n,zones bn:00005513n,langage de script bn:01431715n,serveur bn:00044916n,timestamp bn:03603649n,echo bn:03626250n,généralité bn:00041249n,autre bn:00108013a,;C6,;
29;1;9;1;base de donnée bn:00025333n,donnée bn:00025314n,nombre bn:00058285n,site bn:00047172n,chaîne bn:00074685n,langage de script bn:01431715n,class bn:03598962n,casse bn:03225002n,timestamp bn:03603649n,;C5,;
30;0;23;0;fichier bn:00021475n,client bn:00019764n,base de donnée bn:00025333n,donnée bn:00025314n,php bn:01753580n,nombre bn:00058285n,zones bn:00005513n,salaire bn:15928884n,site bn:00047172n,chaîne bn:00074685n,langage de script bn:01431715n,super bn:17336345n,serveur bn:00044916n,class bn:03598962n,pouvoir bn:00084451v,france bn:00036202n,casse bn:03225002n,timestamp bn:03603649n,exceptions bn:00032118n,echo bn:03626250n,positionnement bn:00030615n,généralité bn:00041249n,autre bn:00108013a,;;
