Concept ID;Level;Nb Obj;Nb Att;Objects;Attributes;
0;5;0;11;;C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,CJA,;
1;4;1;4;fichier bn:00021475n,;C2,C3,C4,C7,;
2;4;1;5;client bn:00019764n,;C2,C5,C7,C8,C10,;
3;2;1;2;commentaire bn:00020978n,;C2,CJA,;
4;4;1;5;post bn:01500184n,;C1,C4,C7,C8,C10,;
5;4;1;5;nombre bn:00058285n,;C1,C2,C3,C6,C9,;
6;4;1;4;méthode post bn:00045088n,;C1,C4,C5,C10,;
7;4;1;5;site bn:00047172n,;C6,C7,C8,C9,C10,;
8;4;1;4;langage de script bn:01431715n,;C3,C4,C7,C9,;
9;3;1;3;type bn:00016413n,;C2,C9,C10,;
10;3;1;3;class bn:03598962n,;C3,C8,CJA,;
11;2;1;3;méthode bn:01641329n,;C3,C10,CJA,;
12;2;2;2;fichier bn:00021475n,nombre bn:00058285n,;C2,C3,;
13;3;2;3;fichier bn:00021475n,langage de script bn:01431715n,;C3,C4,C7,;
14;3;2;4;client bn:00019764n,php bn:01753580n,;C2,C5,C7,C8,;
15;2;2;2;client bn:00019764n,méthode post bn:00045088n,;C5,C10,;
16;2;2;2;client bn:00019764n,type bn:00016413n,;C2,C10,;
17;4;2;5;base de donnée bn:00025333n,donnée bn:00025314n,;C1,C6,C8,C9,C10,;
18;2;2;2;code bn:00020354n,class bn:03598962n,;C3,C8,;
19;2;2;2;délimiter bn:00086464v,nombre bn:00058285n,;C1,C2,;
20;3;2;3;post bn:01500184n,méthode post bn:00045088n,;C1,C4,C10,;
21;2;2;2;nombre bn:00058285n,langage de script bn:01431715n,;C3,C9,;
22;2;2;2;nombre bn:00058285n,type bn:00016413n,;C2,C9,;
23;2;2;2;site bn:00047172n,langage de script bn:01431715n,;C7,C9,;
24;2;2;2;classes bn:03608262n,class bn:03598962n,;C8,CJA,;
25;2;3;2;fichier bn:00021475n,client bn:00019764n,php bn:01753580n,;C2,C7,;
26;3;3;3;base de donnée bn:00025333n,donnée bn:00025314n,post bn:01500184n,;C1,C8,C10,;
27;3;3;3;base de donnée bn:00025333n,donnée bn:00025314n,nombre bn:00058285n,;C1,C6,C9,;
28;3;3;3;base de donnée bn:00025333n,donnée bn:00025314n,mysql bn:01225760n,;C1,C9,C10,;
29;3;3;4;base de donnée bn:00025333n,donnée bn:00025314n,site bn:00047172n,;C6,C8,C9,C10,;
30;2;3;2;programmation bn:00021493n,class bn:03598962n,méthode bn:01641329n,;C3,CJA,;
31;2;4;2;fichier bn:00021475n,post bn:01500184n,langage bn:00049910n,langage de script bn:01431715n,;C4,C7,;
32;2;4;2;fichier bn:00021475n,chaîne bn:00074685n,langage de script bn:01431715n,timestamp bn:03603649n,;C3,C7,;
33;3;4;3;client bn:00019764n,post bn:01500184n,site bn:00047172n,foreach bn:03463379n,;C7,C8,C10,;
34;2;4;2;base de donnée bn:00025333n,donnée bn:00025314n,post bn:01500184n,salaire bn:15928884n,;C1,C8,;
35;2;4;2;base de donnée bn:00025333n,donnée bn:00025314n,nombre bn:00058285n,personne bn:00046516n,;C1,C6,;
36;2;4;2;base de donnée bn:00025333n,donnée bn:00025314n,text bn:14981519n,site bn:00047172n,;C8,C9,;
37;2;5;2;client bn:00019764n,php bn:01753580n,post bn:01500184n,site bn:00047172n,foreach bn:03463379n,;C7,C8,;
38;2;5;2;base de donnée bn:00025333n,donnée bn:00025314n,nombre bn:00058285n,zones bn:00005513n,mysql bn:01225760n,;C1,C9,;
39;2;5;2;base de donnée bn:00025333n,donnée bn:00025314n,nombre bn:00058285n,site bn:00047172n,pouvoir bn:00084451v,;C6,C9,;
40;2;5;2;base de donnée bn:00025333n,donnée bn:00025314n,mysql bn:01225760n,site bn:00047172n,type bn:00016413n,;C9,C10,;
41;2;6;2;client bn:00019764n,base de donnée bn:00025333n,donnée bn:00025314n,post bn:01500184n,site bn:00047172n,foreach bn:03463379n,;C8,C10,;
42;1;7;1;fichier bn:00021475n,post bn:01500184n,langage bn:00049910n,méthode post bn:00045088n,langage de script bn:01431715n,list bn:04720346n,positionnement bn:00030615n,;C4,;
