Objects;Weight
page web bn:00080778n;0.037037
navigateur bn:00013447n;0.0740741
serveur web bn:02705179n;0.0740741
fichier bn:00021475n;0.203704
client bn:00019764n;0.259259
base de donnée bn:00025333n;0.351852
donnée bn:00025314n;0.185185
php bn:01753580n;0.148148
java bn:00048043n;0.037037
code bn:00020354n;0.0740741
texte bn:00076732n;0.037037
concerner bn:00083240v;0.037037
commentaire bn:00020978n;0.0740741
délimiter bn:00086464v;0.0740741
fois bn:00032768n;0.037037
url bn:00079080n;0.037037
case à cocher bn:03157691n;0.037037
post bn:01500184n;0.277778
nombre bn:00058285n;0.277778
text bn:14981519n;0.0740741
langage bn:00049910n;0.037037
zones bn:00005513n;0.0740741
utilisateur bn:00079373n;0.037037
case bn:04777941n;0.037037
associer bn:00082868v;0.037037
personne bn:00046516n;0.0740741
méthode post bn:00045088n;0.12963
fermeture bn:16858148n;0.037037
machine bn:00054050n;0.037037
mysql bn:01225760n;0.148148
salaire bn:15928884n;0.0740741
jour bn:00000086n;0.037037
programmation bn:00021493n;0.0740741
site bn:00047172n;0.277778
chaîne bn:00074685n;0.0740741
header bn:00043309n;0.037037
doctype bn:15839327n;0.037037
moteur bn:00030850n;0.037037
configuration bn:03088982n;0.037037
paris bn:00015540n;0.037037
langage de script bn:01431715n;0.203704
côté serveur bn:03816678n;0.037037
opérateur bn:16281811n;0.037037
super bn:17336345n;0.037037
type bn:00016413n;0.148148
foreach bn:03463379n;0.12963
cle bn:04756252n;0.037037
serveur bn:00044916n;0.037037
communication bn:00021221n;0.037037
interpréter bn:00089840v;0.037037
transaction bn:01403911n;0.037037
côté client bn:03163702n;0.037037
classes bn:03608262n;0.0740741
bienvenue bn:00080852n;0.037037
class bn:03598962n;0.148148
mot bn:00081546n;0.037037
méthode bn:01641329n;0.0740741
session bn:03751534n;0.037037
visiteur bn:03106425n;0.037037
afficher bn:00087013v;0.037037
pouvoir bn:00084451v;0.0740741
mysqli bn:01438356n;0.037037
insert bn:03795444n;0.037037
public bn:00109211a;0.037037
france bn:00036202n;0.037037
pointeur bn:03222272n;0.037037
list bn:04720346n;0.037037
casse bn:03225002n;0.037037
timestamp bn:03603649n;0.0740741
exceptions bn:00032118n;0.037037
xml bn:02771436n;0.037037
echo bn:03626250n;0.037037
files bn:00065682n;0.037037
varchar bn:01838409n;0.037037
mise bn:00016287n;0.037037
valeur bn:00079508n;0.037037
composer bn:14766022n;0.037037
positionnement bn:00030615n;0.037037
null bn:15898583n;0.037037
généralité bn:00041249n;0.037037
autre bn:00108013a;0.037037
avoir accès bn:00082209v;0.037037
